#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$19,948,738,337|$1224.68|16,288,994|$268,768,819|-0.07%|-0.17%|3.87%|False|False
2|Ethereum|ETH|$4,409,247,719|$48.47|90,968,770|$38,139,230|-0.04%|0.04%|-0.65%|False|False
3|Ripple|XRP|$1,195,861,580|$0.031566|37,884,925,434|$8,084,949|-0.12%|-3.65%|-6.55%|True|False
4|Litecoin|LTC|$703,230,116|$13.85|50,769,175|$202,926,158|0.75%|20.35%|28.49%|False|False
5|Dash|DASH|$514,131,792|$70.94|7,247,471|$10,484,963|-0.13%|0.16%|-6.04%|False|False
6|Ethereum Classic|ETC|$292,291,022|$3.21|90,942,307|$6,406,826|0.31%|-0.08%|21.45%|False|False
7|Monero|XMR|$287,035,191|$20.02|14,340,683|$4,772,350|-0.01%|-1.55%|-2.72%|False|False
8|NEM|XEM|$277,891,575|$0.030877|8,999,999,999|$1,749,201|-0.53%|-4.80%|28.44%|True|False
9|Augur|REP|$129,910,784|$11.81|11,000,000|$1,300,661|-0.09%|5.05%|0.88%|True|False
10|MaidSafeCoin|MAID|$103,121,422|$0.227866|452,552,412|$1,186,827|0.16%|2.64%|13.73%|True|False
11|Golem|GNT|$79,363,775|$0.096785|820,000,000|$1,101,956|-0.08%|-3.23%|23.64%|True|False
12|PIVX|PIVX|$77,844,278|$1.47|53,096,958|$1,265,356|-0.49%|-10.94%|-28.17%|True|False
13|Zcash|ZEC|$77,594,113|$67.67|1,146,666|$4,254,462|-0.19%|-0.90%|-6.89%|False|False
14|Decred|DCR|$73,578,675|$15.54|4,734,302|$1,247,130|1.04%|7.60%|28.88%|False|False
15|BitConnect|BCC|$60,864,923|$9.94|6,121,967|$345,416|-0.17%|0.20%|-6.75%|False|False
16|Stratis|STRAT|$60,566,427|$0.615784|98,356,687|$1,411,906|0.11%|-7.37%|-13.30%|True|False
17|Factom|FCT|$55,153,552|$6.30|8,753,219|$1,442,542|-0.22%|-3.17%|7.71%|True|False
18|Dogecoin|DOGE|$53,316,882|$0.000489|109,076,327,000|$1,562,744|0.85%|7.75%|12.63%|False|False
19|Steem|STEEM|$53,046,762|$0.225573|235,164,817|$271,071|0.07%|-3.05%|7.62%|False|False
20|GameCredits|GAME|$51,049,654|$0.821564|62,137,150|$932,332|-0.23%|-1.17%|43.54%|False|False
21|Tether|USDT|$50,998,840|$0.931794|54,731,869|$17,319,157|-0.13%|-4.35%|-6.81%|True|False
22|Waves|WAVES|$48,964,280|$0.489643|100,000,000|$282,068|0.39%|5.59%|13.30%|True|False
23|DigixDAO|DGD|$39,903,645|$19.95|2,000,000|$213,267|0.28%|-7.50%|14.83%|True|False
24|Lisk|LSK|$38,707,320|$0.365001|106,047,154|$497,046|0.05%|-3.88%|14.40%|True|False
25|SingularDTV|SNGLS|$37,685,238|$0.062809|600,000,000|$62,227|-0.08%|-0.68%|-42.87%|True|False
26|Iconomi|ICN|$37,436,317|$0.430302|87,000,000|$164,220|-0.01%|4.23%|0.08%|True|False
27|Round|ROUND|$33,907,718|$0.039891|850,000,000|$32,181|-0.10%|-12.95%|16.16%|True|False
28|Stellar Lumens|XLM|$32,496,088|$0.003488|9,317,265,511|$627,843|-0.08%|-0.14%|3.49%|True|False
29|Bytecoin|BCN|$32,240,220|$0.000176|182,789,962,377|$37,778|-0.34%|-4.32%|27.98%|False|False
30|BitShares|BTS|$31,556,035|$0.012152|2,596,873,750|$1,174,579|0.11%|-1.81%|8.35%|True|False
31|Ardor|ARDR|$30,885,892|$0.030917|998,999,495|$227,407|-0.11%|3.88%|22.88%|True|False
32|RLC|RLC|$23,890,206|$0.331809|71,999,795|$203,631|-1.22%|7.63%|?|True|False
33|First Blood|1ST|$23,862,797|$0.278907|85,558,371|$194,478|-0.07%|-4.55%|-12.79%|True|False
34|Byteball|GBYTE|$20,239,510|$126.28|160,276|$79,170|2.06%|11.15%|18.16%|True|False
35|Nxt|NXT|$19,884,557|$0.019904|998,999,983|$307,691|-0.14%|-0.48%|16.41%|True|False
36|Peercoin|PPC|$19,784,316|$0.823406|24,027,423|$478,266|0.39%|3.60%|-2.05%|False|False
37|Storjcoin X|SJCX|$19,624,188|$0.383486|51,173,144|$199,956|0.03%|2.28%|15.38%|True|False
38|Siacoin|SC|$19,597,752|$0.000774|25,304,388,036|$186,508|-0.25%|-3.74%|-10.44%|False|False
39|Emercoin|EMC|$19,434,237|$0.486563|39,941,888|$273,180|1.03%|10.73%|11.67%|False|False
40|Ark|ARK|$19,365,785|$0.206568|93,750,000|$323,535|-0.30%|-11.39%|-35.24%|True|False
41|Melon|MLN|$17,811,758|$29.72|599,400|$192,054|-0.23%|-0.55%|2.57%|True|False
42|Komodo|KMD|$17,207,069|$0.170592|100,866,964|$49,035|0.17%|0.86%|15.89%|False|False
43|Lykke|LKK|$17,118,812|$0.130673|131,004,674|$122,272|0.34%|13.40%|103.14%|True|False
44|Nexus|NXS|$16,413,648|$0.336463|48,782,954|$54,638|0.06%|10.50%|1.62%|False|False
45|SysCoin|SYS|$16,083,873|$0.030679|524,264,446|$142,525|-0.03%|-3.20%|13.51%|False|False
46|ZCoin|XZC|$15,450,488|$7.95|1,942,629|$1,728,849|-0.59%|6.68%|12.71%|False|False
