#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 3,104,259,738|$ 220.26|14,093,896|$ 19,059,889|-0.29 %|-4.18 %|-1.85 %|False|False
2|Ripple|XRP|$ 256,298,058|$ 0.008032|31,908,551,587|$ 181,583|-0.43 %|-0.53 %|1.71 %|True|False
3|Litecoin|LTC|$ 52,257,631|$ 1.36|38,487,582|$ 1,050,922|-0.36 %|-4.13 %|-3.64 %|False|False
4|Dash|DASH|$ 15,885,199|$ 2.99|5,314,298|$ 62,975|-0.37 %|-7.26 %|3.97 %|False|False
5|Stellar|STR|$ 12,673,973|$ 0.002630|4,818,694,825|$ 4,945|-0.04 %|-1.25 %|-3.50 %|True|False
6|BitShares|BTS|$ 10,836,379|$ 0.004326|2,504,975,101|$ 33,760|-0.35 %|-4.94 %|-10.11 %|True|False
7|Dogecoin|DOGE|$ 9,971,698|$ 0.000101|99,165,204,840|$ 57,696|-0.23 %|-4.16 %|-5.80 %|False|False
8|MaidSafeCoin|MAID|$ 9,931,416|$ 0.021945|452,552,412|$ 8,116|-0.30 %|-2.28 %|-8.22 %|True|False
9|Nxt|NXT|$ 9,332,230|$ 0.009332|999,997,096|$ 17,963|-0.66 %|-3.67 %|1.11 %|True|False
10|BanxShares|BANX|$ 6,751,096|$ 1.34|5,023,577|$ 12,164|-0.29 %|-4.29 %|10.91 %|True|False
11|Peercoin|PPC|$ 4,999,412|$ 0.224611|22,258,129|$ 10,509|-0.28 %|-2.39 %|-4.63 %|False|False
12|Monero|XMR|$ 4,088,064|$ 0.554902|7,367,187|$ 72,930|-0.19 %|-2.18 %|-19.64 %|False|False
13|Bytecoin|BCN|$ 3,995,010|$ 0.000023|172,196,804,366|$ 6,315|-0.08 %|-6.75 %|4.31 %|False|False
14|Namecoin|NMC|$ 3,611,029|$ 0.316657|11,403,589|$ 3,225|-0.32 %|-2.47 %|-5.27 %|False|False
15|YbCoin|YBC|$ 2,909,413|$ 0.969804|3,000,000|$ 50,268|-0.16 %|-3.19 %|-8.00 %|True|False
16|PayCoin|XPY|$ 2,406,966|$ 0.154006|15,629,005|$ 12,848|-0.34 %|-8.43 %|-25.57 %|False|True
17|Counterparty|XCP|$ 2,255,240|$ 0.852205|2,646,359|$ 1,137|-0.42 %|-5.85 %|-9.20 %|True|False
18|NuShares|NSR|$ 2,072,696|$ 0.002538|816,591,451|$ 1,533|-0.45 %|-2.46 %|-7.66 %|True|False
19|MonaCoin|MONA|$ 1,774,878|$ 0.093334|19,016,514|$ 6,872|0.18 %|0.30 %|2.44 %|False|False
20|SuperNET|UNITY|$ 1,770,156|$ 2.17|816,061|$ 1,132|-0.52 %|-4.99 %|0.11 %|True|False
