#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 6,735,485,846|$ 512.18|13,150,669|$ 23,462,485|-0.27 %|4.02 %|-13.16 %|False|False
2|Litecoin|LTC|$ 154,913,862|$ 4.96|31,205,977|$ 1,587,005|-0.14 %|-0.52 %|-28.75 %|False|False
3|Ripple|XRP|$ 43,828,437|$ 0.005311|8,252,600,677|$ 85,308|-0.30 %|-0.96 %|2.64 %|True|False
4|Nxt|NXT|$ 30,310,238|$ 0.030310|999,997,096|$ 55,859|1.08 %|-5.88 %|-20.11 %|True|False
5|BitShares|BTS|$ 20,946,422|$ 0.010474|1,999,775,140|$ 294,195|-0.51 %|14.85 %|16.89 %|True|False
6|Peercoin|PPC|$ 17,879,852|$ 0.826002|21,646,265|$ 57,687|-0.28 %|7.68 %|-16.72 %|False|False
7|Dash|DASH|$ 12,817,766|$ 2.81|4,565,961|$ 370,769|-0.67 %|-18.30 %|-50.33 %|False|False
8|Dogecoin|DOGE|$ 11,901,578|$ 0.000132|89,928,546,138|$ 217,086|-0.33 %|10.28 %|-20.48 %|False|False
9|Namecoin|NMC|$ 10,301,470|$ 1.07|9,608,940|$ 39,345|-0.09 %|1.78 %|-26.64 %|False|False
10|MaidSafeCoin|MAID|$ 9,390,614|$ 0.020750|452,552,412|$ 2,351|-0.00 %|5.91 %|-22.15 %|True|False
11|BitShares PTS|PTS|$ 7,292,870|$ 4.39|1,662,166|$ 36,656|-0.25 %|1.05 %|2.83 %|True|False
12|Counterparty|XCP|$ 4,404,606|$ 1.66|2,648,556|$ 6,442|0.17 %|-5.99 %|-22.90 %|True|False
13|Monero|XMR|$ 4,295,070|$ 1.55|2,773,686|$ 92,160|-0.29 %|0.70 %|-25.59 %|False|False
14|XCurrency|XC|$ 3,757,404|$ 0.679725|5,527,831|$ 17,702|-1.24 %|-6.91 %|-27.88 %|True|False
15|BlackCoin|BLK|$ 3,688,485|$ 0.049409|74,651,544|$ 20,328|-0.06 %|2.89 %|-27.02 %|True|False
16|Bytecoin|BCN|$ 3,247,802|$ 0.000020|160,061,286,174|$ 4,145|-1.98 %|-14.26 %|20.04 %|False|False
17|Stellar|STR|$ 2,534,818|$ 0.002461|1,029,813,289|$ 104,884|-0.39 %|6.83 %|-29.53 %|True|False
18|MonaCoin|MONA|$ 2,371,122|$ 0.216285|10,962,950|$ 14,671|0.49 %|29.10 %|-20.05 %|False|False
19|BitcoinDark|BTCD|$ 2,260,456|$ 1.91|1,180,458|$ 25,966|0.00 %|-4.51 %|-15.45 %|False|False
20|Neutrino|NTR|$ 2,155,652|$ 0.010238|210,545,045|$ 118|-0.27 %|3.97 %|-27.38 %|False|False
21|Mastercoin (...|MSC|$ 2,020,111|$ 3.59|563,162|$ 1,873|-0.40 %|-12.33 %|-46.18 %|True|False
22|ReddCoin|RDD|$ 1,915,424|$ 0.000071|26,991,375,008|$ 17,674|0.05 %|10.41 %|-1.58 %|True|False
23|Quark|QRK|$ 1,691,020|$ 0.006815|248,122,364|$ 1,392|-0.27 %|-1.37 %|-23.41 %|False|False
24|VeriCoin|VRC|$ 1,658,997|$ 0.061858|26,819,411|$ 21,118|0.48 %|1.32 %|-11.47 %|False|False
25|Viacoin|VIA|$ 1,605,838|$ 0.151874|10,573,498|$ 61,235|-1.57 %|-15.35 %|-48.24 %|False|False
26|Feathercoin|FTC|$ 1,395,966|$ 0.027099|51,513,890|$ 4,096|0.33 %|3.30 %|-19.46 %|False|False
27|Primecoin|XPM|$ 1,278,975|$ 0.187619|6,816,874|$ 3,244|-0.66 %|-0.53 %|-30.90 %|False|False
28|Infinitecoin|IFC|$ 1,153,183|$ 0.000013|90,589,920,975|$ 2,311|0.20 %|3.80 %|-40.01 %|False|False
29|Zetacoin|ZET|$ 1,093,363|$ 0.006800|160,796,259|$ 3,688|0.27 %|4.95 %|-46.61 %|False|False
30|CloakCoin|CLOAK|$ 1,074,541|$ 0.237531|4,523,800|$ 83,725|1.16 %|-22.71 %|-75.00 %|True|False
31|Megacoin|MEC|$ 911,705|$ 0.036737|24,817,244|$ 2,788|-0.27 %|-1.70 %|-20.88 %|False|False
32|Qora|QORA|$ 911,273|$ 0.000091|10,000,000,000|$ 996|0.85 %|19.15 %|-28.47 %|True|False
33|Crypti|XCR|$ 892,449|$ 0.008924|100,000,000|$ 27,447|0.46 %|23.58 %|-7.14 %|True|False
34|YbCoin|YBC|$ 862,834|$ 0.463214|1,862,712|$ 8,029|-0.04 %|1.39 %|-17.60 %|True|False
35|Vertcoin|VTC|$ 810,049|$ 0.117232|6,909,800|$ 24,567|-2.29 %|-0.86 %|-26.65 %|False|False
36|Novacoin|NVC|$ 739,484|$ 0.936966|789,232|$ 4,956|-0.28 %|1.28 %|-17.42 %|False|False
37|PotCoin|POT|$ 665,621|$ 0.004681|142,194,775|$ 7,271|-0.37 %|0.40 %|-20.14 %|False|False
38|Ixcoin|IXC|$ 645,005|$ 0.031368|20,562,729|$ 2,094|-0.69 %|7.37 %|-14.80 %|True|False
39|Sync|SYNC|$ 624,707|$ 553.56|1,129|$ 7,400|-0.84 %|-7.60 %|-11.81 %|True|False
40|WorldCoin|WDC|$ 557,354|$ 0.008937|62,362,495|$ 4,259|-0.21 %|-10.73 %|-23.70 %|False|False
41|jl777hodl|JLH|$ 543,670|$ 0.054367|10,000,000|$ 2,162|2.96 %|-9.78 %|-53.72 %|True|False
42|NEMstake|NEM|$ 488,336|$ 630.11|775|$ 7,647|-0.42 %|-22.19 %|?|True|False
43|DigitalNote|XDN|$ 476,679|$ 0.000086|5,552,219,018|$ 35,634|-0.27 %|11.12 %|123.93 %|False|False
44|Karmacoin|KARM|$ 432,912|$ 0.000007|60,548,349,065|$ 441|-0.21 %|-5.11 %|-38.45 %|False|False
45|DNotes|NOTE|$ 425,061|$ 0.004724|89,980,021|$ 448|-0.42 %|1.16 %|-16.80 %|False|False
46|NautilusCoin|NAUT|$ 412,992|$ 0.085586|4,825,472|$ 17,611|-0.75 %|-14.86 %|2.67 %|True|False
47|Unobtanium|UNO|$ 394,201|$ 2.07|190,144|$ 1,571|-0.29 %|5.54 %|-15.22 %|False|False
48|Devcoin|DVC|$ 377,243|$ 0.000050|7,502,531,458|$ 388|-0.30 %|2.40 %|-21.07 %|False|False
49|MaxCoin|MAX|$ 367,810|$ 0.015245|24,126,972|$ 3,286|-0.09 %|3.07 %|-7.74 %|False|False
50|FIMKrypto|FIMK|$ 351,762|$ 0.000956|367,926,798|$ 23|-0.27 %|4.02 %|-21.84 %|True|False
51|Uro|URO|$ 350,627|$ 0.653962|536,158|$ 13,198|-1.10 %|-6.51 %|-30.94 %|False|False
