#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$12,346,014,952|$770.52|16,023,026|$56,120,495|-0.01%|-0.16%|4.98%|False|False
2|Ethereum|ETH|$679,896,251|$7.85|86,584,825|$9,545,222|-0.27%|-1.48%|-15.02%|False|False
3|Ripple|XRP|$236,220,241|$0.006564|35,987,750,899|$1,059,053|-0.06%|-2.98%|-11.53%|True|False
4|Litecoin|LTC|$191,152,116|$3.92|48,725,419|$1,260,699|-0.02%|-0.23%|0.56%|False|False
5|Monero|XMR|$112,380,759|$8.34|13,474,472|$1,670,096|0.10%|0.53%|8.40%|False|False
6|Ethereum Classic|ETC|$67,603,454|$0.781504|86,504,278|$340,220|0.08%|-0.15%|-1.56%|False|False
7|Dash|DASH|$60,960,690|$8.80|6,924,311|$925,136|-0.13%|1.17%|-1.68%|False|False
8|Steem|STEEM|$43,627,481|$0.192984|226,067,644|$154,460|-0.46%|9.17%|19.27%|False|False
9|Augur|REP|$36,887,245|$3.35|11,000,000|$68,507|-0.41%|2.14%|-19.38%|True|False
10|MaidSafeCoin|MAID|$31,768,623|$0.070199|452,552,412|$214,340|-0.31%|4.03%|0.51%|True|False
11|NEM|XEM|$30,870,455|$0.003430|8,999,999,999|$24,164|0.01%|-2.45%|-8.27%|True|False
12|Waves|WAVES|$24,153,355|$0.241534|100,000,000|$57,099|0.20%|0.32%|13.30%|True|False
13|Dogecoin|DOGE|$23,078,949|$0.000215|107,140,955,860|$66,187|-0.09%|-0.16%|-1.42%|False|False
14|Factom|FCT|$18,478,091|$2.11|8,753,219|$97,780|-0.07%|0.34%|-4.18%|True|False
15|DigixDAO|DGD|$15,760,516|$7.88|2,000,000|$13,139|0.01%|0.69%|-9.99%|True|False
16|Iconomi|ICN|$15,653,710|$0.179928|87,000,000|$40,679|-0.21%|1.69%|8.09%|True|False
17|Lisk|LSK|$15,278,474|$0.152785|100,000,000|$53,165|-0.04%|1.59%|-5.07%|True|False
18|Peerplays|PEERPLAYS|$15,257,877|$15.26|1,000,000|$469|0.08%|-0.30%|8.59%|True|False
19|GameCredits|GAME|$14,743,851|$0.249644|59,059,539|$702,017|1.27%|18.19%|36.56%|False|False
20|Gulden|NLG|$12,702,417|$0.037773|336,285,813|$154,469|-0.28%|-8.66%|-6.83%|False|True
21|Stellar Lumens|XLM|$10,861,238|$0.001585|6,851,353,993|$29,001|-0.15%|2.73%|-5.11%|True|False
22|BitShares|BTS|$9,417,392|$0.003654|2,577,325,417|$72,035|-0.24%|0.25%|-8.46%|True|False
23|ShadowCash|SDC|$9,404,346|$1.42|6,604,515|$60,390|-0.27%|-4.90%|-10.26%|True|False
24|Xaurum|XAUR|$9,289,090|$0.104491|88,898,647|$25,382|0.09%|4.60%|7.28%|True|False
25|Ardor|ARDR|$9,098,052|$0.009107|998,999,495|$18,334|-0.02%|1.23%|-4.29%|True|False
26|Zcash|ZEC|$8,619,016|$59.87|143,973|$800,729|-0.04%|0.80%|-23.14%|False|False
27|Golem Network...|GNT|$8,599,454|$0.012628|681,009,001|$8,231|-0.02%|3.86%|1.44%|True|False
28|KiloCoin|KLC|$7,837,257|$0.001743|4,495,711,110|$463|-0.01%|13.76%|264.98%|False|False
29|Emercoin|EMC|$7,772,203|$0.199059|39,044,693|$8,209|0.27%|2.73%|15.20%|False|False
30|Bytecoin|BCN|$7,566,943|$0.000042|181,999,183,330|$877|0.19%|-1.49%|-5.20%|False|False
31|AntShares|ANS|$7,336,516|$0.146730|50,000,000|$118,478|0.11%|4.75%|-16.26%|True|False
32|Storjcoin X|SJCX|$7,137,884|$0.141433|50,468,144|$9,798|-0.02%|1.41%|1.09%|True|False
33|Tether|USDT|$6,951,737|$1.00|6,951,590|$405,457|0.00%|0.00%|0.00%|True|False
34|Stratis|STRAT|$6,378,182|$0.064967|98,176,208|$29,368|0.21%|24.05%|5.05%|False|False
35|Bitcrystals|BCY|$6,057,574|$0.145536|41,622,441|$9,299|-0.30%|-0.27%|-11.10%|True|False
