#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 2,980,989,148|$ 216.24|13,785,799|$ 24,039,194|-0.19 %|-5.26 %|-13.06 %|False|False
2|Ripple|XRP|$ 441,612,405|$ 0.014256|30,978,075,200|$ 674,215|-0.10 %|-1.29 %|-14.18 %|True|False
3|Litecoin|LTC|$ 64,623,836|$ 1.79|36,077,407|$ 1,440,955|-0.81 %|-6.59 %|-15.34 %|False|False
4|BitShares|BTS|$ 25,544,264|$ 0.010226|2,497,973,773|$ 166,858|-0.10 %|-1.42 %|-15.38 %|True|False
5|PayCoin|XPY|$ 22,282,906|$ 1.77|12,577,050|$ 50,279|-0.24 %|-5.15 %|-16.05 %|False|True
6|Stellar|STR|$ 15,084,371|$ 0.004202|3,590,042,574|$ 50,079|-0.58 %|-10.15 %|-13.22 %|True|False
7|Dogecoin|DOGE|$ 13,540,596|$ 0.000138|97,868,429,403|$ 249,414|-0.14 %|-2.79 %|-16.94 %|False|False
8|MaidSafeCoin|MAID|$ 13,428,016|$ 0.029672|452,552,412|$ 1,315|-0.31 %|1.14 %|-14.74 %|True|False
9|Nxt|NXT|$ 11,227,925|$ 0.011228|999,997,096|$ 21,442|-0.24 %|-7.14 %|-24.98 %|True|False
10|Dash|DASH|$ 8,086,043|$ 1.59|5,089,349|$ 83,437|-0.13 %|-3.44 %|-9.54 %|False|False
11|Peercoin|PPC|$ 7,457,946|$ 0.338224|22,050,335|$ 26,500|-0.31 %|-5.70 %|-23.58 %|False|False
12|Counterparty|XCP|$ 5,198,118|$ 1.96|2,646,359|$ 2,056|-0.03 %|-2.17 %|-12.03 %|True|False
13|Namecoin|NMC|$ 5,032,517|$ 0.465584|10,809,048|$ 9,365|-0.33 %|-4.43 %|-19.77 %|False|False
14|NuShares|NSR|$ 4,956,631|$ 0.008150|608,184,388|$ 3,128|0.22 %|-2.38 %|0.13 %|True|False
15|BanxShares|BANX|$ 4,204,661|$ 1.17|3,600,882|$ 1,316|-0.19 %|-5.26 %|-13.06 %|True|False
16|YbCoin|YBC|$ 2,935,137|$ 0.978379|3,000,000|$ 49,663|-0.09 %|-1.61 %|-15.39 %|True|False
17|NuBits|NBT|$ 2,235,181|$ 0.995227|2,245,902|$ 418,287|0.05 %|-0.71 %|-0.50 %|True|False
18|SuperNET|UNITY|$ 2,012,216|$ 2.47|816,061|$ 6,915|-0.75 %|-10.36 %|-34.45 %|True|False
19|FuelCoin|FC2|$ 1,847,535|$ 0.018437|100,206,032|$ 803|-1.71 %|-14.62 %|-32.34 %|False|True
20|Monero|XMR|$ 1,703,457|$ 0.282960|6,020,128|$ 11,571|-0.26 %|-4.18 %|-8.14 %|False|False
21|GetGems|GEMZ|$ 1,613,833|$ 0.018311|88,135,367|$ 1,017|0.35 %|-6.77 %|-24.13 %|True|False
22|Bytecoin|BCN|$ 1,548,594|$ 0.000009|169,007,812,050|$ 3,965|1.21 %|18.09 %|-25.19 %|False|False
