#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 10,508,298,091|$ 853.45|12,312,715|$ 22,373,255|0.08 %|5.18 %|2.41 %|False|False
2|Litecoin|LTC|$ 578,066,237|$ 22.98|25,156,342|$ 11,583,362|0.05 %|9.20 %|-5.53 %|False|False
3|Ripple|XRP|$ 150,152,147|$ 0.019206|7,817,889,792|$ 79,179|0.13 %|4.11 %|-8.21 %|True|False
4|Peercoin|PPC|$ 122,602,049|$ 5.82|21,081,618|$ 3,548,989|0.13 %|16.51 %|1.21 %|False|False
5|Mastercoin (...|MSC|$ 75,105,891|$ 121.24|619,478|$ 56,241|-0.88 %|6.98 %|-3.19 %|True|False
6|Nxt|NXT|$ 70,139,453|$ 0.070140|999,998,016|$ 204,389|-0.26 %|-0.84 %|48.09 %|True|False
7|Dogecoin|DOGE|$ 64,614,176|$ 0.001778|36,341,602,863|$ 3,042,746|-0.80 %|-2.24 %|171.26 %|False|False
8|Namecoin|NMC|$ 46,312,415|$ 5.89|7,864,133|$ 2,482,903|0.02 %|12.91 %|-2.26 %|False|False
9|Quark|QRK|$ 20,951,134|$ 0.084689|247,390,500|$ 84,985|-0.34 %|13.00 %|0.41 %|False|False
10|BitShares PTS|PTS|$ 16,465,507|$ 11.94|1,378,974|$ 26,970|-0.34 %|10.91 %|-0.12 %|True|False
11|Megacoin|MEC|$ 14,626,512|$ 0.668230|21,888,445|$ 37,617|0.09 %|13.36 %|-5.63 %|False|False
12|WorldCoin|WDC|$ 13,900,301|$ 0.332437|41,813,290|$ 166,532|-0.51 %|13.40 %|3.73 %|False|False
13|Primecoin|XPM|$ 13,286,458|$ 3.19|4,170,555|$ 442,316|0.30 %|15.78 %|-0.13 %|False|False
14|Feathercoin|FTC|$ 10,891,057|$ 0.350150|31,104,019|$ 969,639|-0.90 %|27.76 %|11.56 %|False|False
15|Infinitecoin|IFC|$ 9,966,440|$ 0.000111|89,913,376,768|$ 131,558|2.55 %|31.71 %|99.67 %|False|False
16|Novacoin|NVC|$ 8,128,408|$ 14.19|572,649|$ 76,454|0.00 %|8.74 %|-3.86 %|False|False
17|Devcoin|DVC|$ 3,847,384|$ 0.000624|6,167,116,932|$ 8,168|0.36 %|7.29 %|56.62 %|False|False
18|Tickets|TIX|$ 3,722,017|$ 0.000056|66,876,280,832|$ 15,475|1.76 %|19.43 %|47.87 %|False|False
19|YbCoin|YBC|$ 3,595,993|$ 3.76|956,504|$ 7,258|-1.35 %|-11.04 %|-31.60 %|True|False
20|Zetacoin|ZET|$ 3,542,565|$ 0.022162|159,847,521|$ 11,482|0.36 %|5.67 %|15.90 %|False|False
21|Mooncoin|MOON|$ 3,535,005|$ 0.000141|24,992,347,719|$ 97,826|-0.20 %|-20.77 %|3528.81 %|False|False
22|Digitalcoin|DGC|$ 3,428,490|$ 0.270788|12,661,170|$ 24,245|0.05 %|2.96 %|-11.84 %|False|False
23|FedoraCoin|TIPS|$ 2,474,519|$ 0.000023|109,294,307,147|$ 555,795|-0.97 %|186.31 %|4258.53 %|False|False
24|Anoncoin|ANC|$ 2,379,070|$ 3.46|688,433|$ 6,768|0.16 %|10.46 %|-10.34 %|False|False
25|Copperlark|CLR|$ 2,203,694|$ 0.368929|5,973,220|$ 3,080|0.21 %|4.62 %|-7.58 %|False|True
26|Particle|PRT|$ 2,152,863|$ 0.003104|693,517,086|$ 7,677|2.38 %|7.66 %|?|False|False
27|Terracoin|TRC|$ 1,983,777|$ 0.395662|5,013,813|$ 63,282|0.35 %|15.18 %|-8.86 %|False|False
28|Ixcoin|IXC|$ 1,917,650|$ 0.107429|17,850,379|$ 1,307|0.66 %|9.08 %|0.74 %|True|False
29|Freicoin|FRC|$ 1,902,877|$ 0.052404|36,311,357|$ 390|0.13 %|6.79 %|5.22 %|False|False
