#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$32,826,853,045|$1995.52|16,450,307|$959,553,807|-0.48%|-6.14%|-22.73%|False|False
2|Ethereum|ETH|$15,050,516,347|$161.28|93,316,687|$880,597,740|-1.62%|-15.38%|-35.55%|False|False
3|Ripple|XRP|$6,217,596,065|$0.162376|38,291,387,790|$122,790,209|-1.90%|-10.91%|-33.16%|True|False
4|Litecoin|LTC|$2,053,437,601|$39.48|52,010,522|$322,801,997|-0.34%|-2.86%|-23.06%|False|False
5|Ethereum Classic|ETC|$1,369,631,283|$14.63|93,593,377|$206,359,022|-0.96%|-9.39%|-13.87%|False|False
6|Dash|DASH|$1,020,804,926|$137.41|7,428,954|$29,792,399|-0.91%|-10.41%|-33.01%|False|False
7|NEM|XEM|$972,483,513|$0.108054|8,999,999,999|$2,493,478|-1.33%|-4.75%|-31.20%|True|False
8|Monero|XMR|$465,789,314|$31.50|14,788,482|$10,196,062|-0.60%|-6.89%|-31.31%|False|False
9|IOTA|MIOTA|$453,531,985|$0.163169|2,779,530,283|$3,634,858|0.10%|1.76%|-44.37%|True|False
10|Stratis|STRAT|$299,063,295|$3.04|98,464,932|$5,560,032|-1.34%|-1.15%|-37.36%|True|False
11|Tether|USDT|$294,479,128|$0.999993|294,481,328|$125,509,873|0.00%|-0.69%|-0.58%|True|False
12|EOS|EOS|$284,621,159|$1.29|220,521,932|$33,330,921|-0.40%|-12.23%|-45.81%|True|False
13|BitConnect|BCC|$276,770,959|$46.93|5,897,680|$2,943,875|-0.17%|-11.40%|-21.63%|False|False
14|Zcash|ZEC|$276,324,698|$157.98|1,749,114|$10,103,214|-0.75%|-6.02%|-38.19%|False|False
15|BitShares|BTS|$263,715,931|$0.101552|2,596,862,917|$38,023,418|-0.52%|-11.37%|-44.38%|True|False
16|AntShares|ANS|$256,193,624|$5.12|50,000,000|$9,962,097|-0.23%|-3.30%|-29.41%|True|False
17|Bytecoin|BCN|$222,918,483|$0.001217|183,136,585,601|$604,294|-1.46%|-13.30%|-26.79%|False|False
18|Steem|STEEM|$221,635,684|$0.932301|237,729,658|$1,099,069|-1.20%|-7.27%|-43.22%|False|False
19|Qtum|QTUM|$203,319,265|$3.99|51,000,000|$5,887,817|-0.19%|-4.75%|-43.29%|True|False
20|Veritaseum|VERI|$201,481,364|$102.38|1,968,050|$513,349|-1.48%|-10.74%|-40.05%|True|False
21|Waves|WAVES|$199,017,146|$1.99|100,000,000|$2,849,557|-0.84%|-11.73%|-48.89%|True|False
22|Augur|REP|$189,796,862|$17.25|11,000,000|$2,378,907|-1.65%|-10.40%|-27.78%|True|False
23|Stellar Lumens|XLM|$182,714,989|$0.017109|10,679,765,213|$23,813,709|-1.21%|5.63%|-20.41%|True|False
24|Gnosis|GNO|$181,152,936|$164.00|1,104,590|$705,994|-0.31%|-3.73%|-44.22%|True|False
25|Siacoin|SC|$173,361,544|$0.006238|27,793,178,725|$4,500,869|-0.82%|-6.88%|-42.00%|False|False
26|Golem|GNT|$168,228,296|$0.201947|833,032,000|$5,601,547|-1.43%|-17.82%|-46.17%|True|False
27|Dogecoin|DOGE|$159,808,841|$0.001450|110,236,661,570|$3,815,966|-1.06%|-8.57%|-40.46%|False|False
28|Lisk|LSK|$151,967,254|$1.39|109,647,568|$2,199,754|-0.75%|-7.73%|-37.53%|True|False
29|Iconomi|ICN|$140,514,934|$1.62|87,000,000|$969,356|-1.51%|-14.23%|-48.55%|True|False
30|Byteball|GBYTE|$138,345,431|$378.09|365,903|$597,721|-1.55%|-13.45%|-50.45%|True|False
31|MaidSafeCoin|MAID|$118,855,699|$0.262634|452,552,412|$1,411,533|-0.85%|-1.03%|-41.53%|True|False
32|Factom|FCT|$112,191,528|$12.82|8,753,219|$1,981,779|-1.06%|-8.03%|-44.35%|True|False
33|Decred|DCR|$106,485,027|$19.97|5,332,562|$754,094|-0.68%|-4.95%|-43.65%|False|False
34|MCAP|MCAP|$95,044,371|$2.57|36,945,516|$475,045|-3.09%|-20.38%|-36.15%|True|False
35|DigixDAO|DGD|$91,719,983|$45.86|2,000,000|$182,786|-0.44%|-12.68%|-30.70%|True|False
36|DigiByte|DGB|$85,167,534|$0.009742|8,742,253,657|$3,306,936|-1.29%|-5.61%|-38.77%|False|False
37|GameCredits|GAME|$82,227,571|$1.29|63,503,729|$1,345,983|-0.64%|-9.72%|-48.29%|False|False
38|Status|SNT|$82,204,329|$0.023687|3,470,483,788|$2,149,303|-0.30%|-2.36%|-45.15%|True|False
39|PIVX|PIVX|$80,482,770|$1.49|53,840,078|$341,513|-0.57%|-6.75%|-36.24%|True|False
40|Komodo|KMD|$77,230,518|$0.765071|100,945,510|$279,230|-0.62%|-4.98%|-46.76%|False|False
41|Ardor|ARDR|$76,424,490|$0.076501|998,999,495|$1,805,966|-0.51%|-8.82%|-48.84%|True|False
42|Basic Attenti...|BAT|$75,860,533|$0.075861|1,000,000,000|$531,839|-1.13%|-8.79%|-28.44%|True|False
43|FirstBlood|1ST|$73,084,879|$0.854211|85,558,371|$25,101,691|-0.55%|-9.48%|-27.58%|True|False
44|Nxt|NXT|$68,897,355|$0.068966|998,999,983|$2,771,230|-0.97%|-7.98%|-42.66%|True|False
45|Bancor|BNT|$66,134,879|$1.62|40,772,871|$69,078,302|-1.46%|-14.18%|-35.57%|True|False
46|Lykke|LKK|$61,654,479|$0.250788|245,843,446|$302,094|-0.39%|-5.31%|-22.62%|True|False
47|TenX|PAY|$60,385,753|$0.576963|104,661,310|$645,683|-1.25%|-10.76%|-43.32%|True|False
48|SingularDTV|SNGLS|$55,350,411|$0.092251|600,000,000|$186,544|-0.63%|-3.14%|-41.62%|True|False
49|Aragon|ANT|$50,937,424|$1.52|33,605,167|$294,060|-1.11%|-12.27%|-31.08%|True|False
50|Metal|MTL|$50,658,384|$2.40|21,088,888|$1,014,541|-0.92%|-11.87%|?|True|False
51|Populous|PPT|$47,089,222|$1.27|37,004,017|$1,950,602|-2.82%|-38.42%|?|True|False
52|ChainCoin|CHC|$44,473,943|$2.96|15,035,352|$3,648,751|3.23%|6.12%|278.06%|False|False
53|MobileGo|MGO|$44,165,606|$0.630937|70,000,000|$233,388|-0.61%|-2.86%|-42.62%|True|False
54|OmiseGo|OMG|$43,194,248|$0.439359|98,312,024|$1,736,667|-1.42%|-25.83%|?|True|False
55|BitcoinDark|BTCD|$43,007,129|$33.37|1,288,862|$50,858|-0.41%|-8.03%|-43.55%|False|False
56|LEOcoin|LEO|$41,753,350|$0.480779|86,845,184|$356,075|-0.39%|-4.55%|-16.44%|False|True
