#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 7,785,883,961|$ 595.85|13,066,782|$ 9,807,645|0.01 %|-0.25 %|-4.79 %|False|False
2|Litecoin|LTC|$ 234,592,270|$ 7.67|30,578,708|$ 1,786,590|0.15 %|1.20 %|-9.92 %|False|False
3|Ripple|XRP|$ 49,588,505|$ 0.006009|8,252,600,832|$ 143,506|-0.03 %|-1.02 %|15.01 %|True|False
4|Nxt|NXT|$ 45,350,674|$ 0.045351|999,997,120|$ 90,658|-0.11 %|0.84 %|-7.02 %|True|False
5|Dash|DASH|$ 26,483,836|$ 5.88|4,506,016|$ 153,890|-0.15 %|-0.94 %|-17.36 %|False|False
6|Peercoin|PPC|$ 25,317,485|$ 1.17|21,587,727|$ 45,102|-0.01 %|0.17 %|-17.41 %|False|False
7|Dogecoin|DOGE|$ 18,547,787|$ 0.000210|88,341,491,029|$ 170,215|0.23 %|-1.01 %|-12.04 %|False|False
8|BitShares|BTS|$ 17,415,920|$ 0.008709|1,999,775,104|$ 45,816|-0.64 %|-4.51 %|?|True|False
9|Namecoin|NMC|$ 15,067,155|$ 1.60|9,440,933|$ 25,616|-0.04 %|-1.26 %|-10.38 %|False|False
10|MaidSafeCoin|MAID|$ 13,029,543|$ 0.028791|452,552,416|$ 8,080|-0.06 %|-0.70 %|-17.38 %|True|False
11|BlackCoin|BLK|$ 7,478,925|$ 0.100211|74,631,546|$ 76,741|0.09 %|1.27 %|-6.26 %|True|False
12|BitShares PTS|PTS|$ 6,347,546|$ 3.84|1,654,263|$ 12,835|-0.14 %|-1.46 %|-9.38 %|True|False
13|Monero|XMR|$ 6,093,222|$ 2.57|2,374,311|$ 117,164|-0.39 %|-3.93 %|-6.79 %|False|False
14|ReddCoin|RDD|$ 6,072,535|$ 0.000226|26,841,517,568|$ 501,314|0.32 %|34.72 %|94.57 %|True|False
15|Counterparty|XCP|$ 6,005,507|$ 2.27|2,648,957|$ 10,831|-0.04 %|-8.47 %|-7.07 %|True|False
16|Mastercoin (...|MSC|$ 4,676,165|$ 8.30|563,162|$ 7,629|-1.02 %|-23.63 %|-31.24 %|True|False
17|XCurrency|XC|$ 4,378,736|$ 0.793236|5,520,094|$ 28,478|0.38 %|1.37 %|-24.39 %|True|False
18|Bytecoin|BCN|$ 3,836,869|$ 0.000024|158,607,255,780|$ 489|0.96 %|-7.83 %|-37.39 %|False|False
19|Quark|QRK|$ 3,115,732|$ 0.012560|248,058,620|$ 7,669|0.10 %|1.27 %|-2.92 %|False|False
20|CloakCoin|CLOAK|$ 2,966,234|$ 0.656473|4,518,439|$ 62,938|0.34 %|-3.98 %|7.72 %|True|False
21|Zetacoin|ZET|$ 2,768,325|$ 0.017238|160,594,208|$ 7,224|0.50 %|-1.73 %|-27.62 %|False|False
22|VeriCoin|VRC|$ 2,740,368|$ 0.102251|26,800,390|$ 55,280|-0.46 %|-13.39 %|-49.91 %|False|False
23|Primecoin|XPM|$ 2,067,644|$ 0.315339|6,556,895|$ 5,569|-0.24 %|0.92 %|-8.34 %|False|False
24|Neutrino|NTR|$ 2,014,823|$ 0.009577|210,384,752|$ 1,619|-0.50 %|-3.17 %|6.59 %|False|False
25|Feathercoin|FTC|$ 1,561,880|$ 0.030977|50,421,337|$ 12,224|-0.02 %|-7.46 %|-21.78 %|False|False
26|YbCoin|YBC|$ 1,424,785|$ 0.800888|1,779,008|$ 12,285|-0.07 %|-0.59 %|-5.45 %|True|False
27|Megacoin|MEC|$ 1,312,971|$ 0.053564|24,512,264|$ 4,750|0.15 %|-1.65 %|-21.29 %|False|False
28|Viacoin|VIA|$ 1,310,608|$ 0.128377|10,209,028|$ 24,484|0.26 %|13.28 %|-29.60 %|False|False
29|Infinitecoin|IFC|$ 1,278,825|$ 0.000014|90,586,350,023|$ 1,744|0.23 %|3.88 %|-7.14 %|False|False
30|Qora|QORA|$ 1,236,465|$ 0.000124|10,000,000,000|$ 10,324|0.80 %|3.88 %|-36.21 %|True|False
31|jl777hodl|JLH|$ 1,178,132|$ 0.117813|10,000,000|$ 374|0.47 %|4.97 %|?|True|False
32|PotCoin|POT|$ 1,014,732|$ 0.007488|135,517,290|$ 12,877|-0.82 %|-7.37 %|-20.96 %|False|False
33|Vertcoin|VTC|$ 971,256|$ 0.151137|6,426,340|$ 7,808|-0.24 %|-3.34 %|-32.36 %|False|False
34|Uro|URO|$ 941,537|$ 2.24|419,705|$ 44,658|-0.52 %|-16.27 %|-42.07 %|False|False
35|BitcoinDark|BTCD|$ 918,126|$ 0.779278|1,178,175|$ 28,980|-0.50 %|-7.68 %|131.96 %|False|False
36|Novacoin|NVC|$ 846,138|$ 1.11|763,105|$ 8,961|0.01 %|-1.71 %|-17.74 %|False|False
37|NEMstake|NEM|$ 843,525|$ 1,088|775|$ 1,306|-0.11 %|1.11 %|-9.47 %|True|False
38|Ixcoin|IXC|$ 836,404|$ 0.040992|20,404,054|$ 625|-0.10 %|-3.42 %|-7.67 %|True|False
39|Karmacoin|KARM|$ 809,086|$ 0.000014|59,926,318,535|$ 2,210|0.52 %|7.09 %|-25.77 %|False|False
40|WorldCoin|WDC|$ 803,803|$ 0.013143|61,156,246|$ 3,398|-0.04 %|-3.22 %|-23.02 %|False|False
41|Sync|SYNC|$ 750,084|$ 678.08|1,106|$ 14,773|0.58 %|-2.30 %|49.43 %|True|False
42|FIMKrypto|FIMK|$ 700,088|$ 0.001937|361,517,859|$ 48|0.01 %|-0.25 %|-4.79 %|True|False
43|MaxCoin|MAX|$ 664,364|$ 0.027536|24,126,972|$ 3,628|-0.75 %|-1.65 %|-13.17 %|False|False
44|Anoncoin|ANC|$ 635,478|$ 0.564115|1,126,503|$ 3,408|-0.27 %|1.70 %|-16.35 %|False|False
45|VootCoin|VOOT|$ 584,194|$ 0.008475|68,932,658|$ 90,177|-1.35 %|-20.61 %|14.96 %|False|False
46|Nas|NAS|$ 582,942|$ 0.000058|10,000,000,000|$ 5,592|0.69 %|-7.88 %|-28.24 %|True|False
47|Billioncoin|BIL|$ 466,316|$ 0.000057|8,113,852,416|$ 10,118|0.14 %|-4.50 %|-21.95 %|False|False
48|Mintcoin|MINT|$ 463,052|$ 0.000024|19,508,566,016|$ 891|-0.64 %|21.11 %|1.30 %|True|False
49|Devcoin|DVC|$ 453,762|$ 0.000062|7,364,067,314|$ 948|0.14 %|-11.06 %|-19.09 %|False|False
50|GoldCoin|GLD|$ 448,208|$ 0.014040|31,923,747|$ 273|0.52 %|16.82 %|14.15 %|False|False
51|KeyCoin|KEY|$ 447,867|$ 0.490308|913,439|$ 111,221|-0.05 %|7.38 %|165.30 %|True|False
52|CryptCoin|CRYPT|$ 438,728|$ 0.122721|3,574,990|$ 28,231|0.24 %|33.49 %|16.84 %|False|False
53|Unobtanium|UNO|$ 394,784|$ 2.08|189,517|$ 785|0.13 %|6.60 %|9.51 %|False|False
54|Razor|RZR|$ 363,499|$ 0.187607|1,937,554|$ 8,284|-0.12 %|-0.81 %|-13.17 %|False|False
55|NautilusCoin|NAUT|$ 336,125|$ 0.072891|4,611,369|$ 6,505|0.03 %|-2.49 %|-35.04 %|True|False
56|JackpotCoin|JPC|$ 332,434|$ 0.000074|4,516,357,106|$ 4,314|-0.62 %|-17.52 %|1.98 %|False|False
57|DNotes|NOTE|$ 305,722|$ 0.003427|89,217,278|$ 585|0.05 %|0.40 %|-6.18 %|False|False
58|TEKcoin|TEK|$ 282,048|$ 0.159237|1,771,243|$ 922|-0.67 %|-3.22 %|-19.48 %|False|False
59|DigiByte|DGB|$ 253,413|$ 0.000204|1,239,594,844|$ 1,061|-0.14 %|-3.69 %|3.00 %|False|False
60|Mineralscoin|MIN|$ 249,956|$ 0.009272|26,958,554|$ 4,181|-0.57 %|-6.80 %|3.03 %|True|False
61|Myriadcoin|MYR|$ 248,695|$ 0.000559|445,155,389|$ 1,983|-0.63 %|-5.34 %|-18.66 %|False|False
62|Terracoin|TRC|$ 241,003|$ 0.036438|6,614,136|$ 3,012|0.07 %|4.05 %|?|False|False
63|Gridcoin Cla...|GRCX|$ 219,000|$ 0.008143|26,894,106|$ 53|-0.20 %|6.28 %|-40.54 %|False|False
64|Digitalcoin|DGC|$ 212,194|$ 0.013082|16,220,659|$ 490|0.29 %|1.35 %|-14.66 %|False|False
65|Scotcoin|XCPSCO|$ 199,503|$ 0.000260|768,001,280|$ 4,343|-0.09 %|-1.89 %|0.70 %|True|False
66|USDe|USDe|$ 192,759|$ 0.000220|875,797,460|$ 484|-0.72 %|-13.93 %|-51.36 %|False|False
67|Boolberry|BBR|$ 189,063|$ 0.218785|864,149|$ 11,727|-0.44 %|-19.15 %|-38.24 %|False|False
68|Pandacoin|PND|$ 175,363|$ 0.000005|32,129,121,223|$ 264|-0.14 %|1.66 %|6.83 %|False|False
69|Tickets|TIX|$ 173,506|$ 0.000003|66,876,280,832|$ 192|-0.16 %|-2.73 %|-16.96 %|False|False
70|DigitalNote|XDN|$ 172,719|$ 0.000036|4,831,159,865|$ 1,435|0.01 %|-1.22 %|43.10 %|False|False
71|UltraCoin|UTC|$ 172,477|$ 0.010054|17,154,450|$ 956|-0.21 %|6.24 %|10.83 %|False|False
72|PinkCoin|PINK|$ 171,002|$ 0.000470|364,053,333|$ 7,118|-0.70 %|-16.69 %|12.33 %|True|False
73|Crypto Bullion|CBX|$ 170,796|$ 0.179182|953,200|$ 153|0.01 %|22.73 %|-15.73 %|False|False
74|WhiteCoin|XWC|$ 170,486|$ 0.000563|302,814,489|$ 1,533|-0.38 %|-3.26 %|-18.41 %|False|False
75|Navajo|NAV|$ 163,111|$ 0.002863|56,974,869|$ 984|-0.31 %|3.47 %|-42.17 %|True|False
76|Chancecoin|CHA|$ 162,469|$ 0.315894|514,316|$ 125|0.00 %|-11.76 %|165.99 %|True|False
77|NobleCoin|NOBL|$ 160,354|$ 0.000095|1,682,355,979|$ 576|0.12 %|-9.02 %|-29.18 %|False|False
78|Cinni|CINNI|$ 155,173|$ 0.010324|15,030,196|$ 1,690|-0.41 %|4.88 %|-46.95 %|True|False
79|BoostCoin|BOST|$ 153,862|$ 0.013136|11,713,048|$ 6,250|0.50 %|3.18 %|-30.14 %|False|False
80|Silkcoin|SILK|$ 153,134|$ 0.003545|43,199,072|$ 1,193|0.73 %|-1.96 %|27.76 %|False|False
81|WankCoin|WKC|$ 148,159|$ 0.061333|2,415,663|$ 1,082|-0.43 %|-12.32 %|0.95 %|False|False
82|ECCoin|ECC|$ 146,700|$ 0.000009|16,963,624,960|$ 228|1.17 %|-10.34 %|-7.87 %|False|False
83|HoboNickels|HBN|$ 132,842|$ 0.024583|5,403,886|$ 452|-0.38 %|-7.26 %|-30.70 %|False|False
84|Rubycoin|RBY|$ 125,856|$ 0.005962|21,108,846|$ 16,205|-0.08 %|-3.71 %|-8.92 %|True|False
85|NetCoin|NET|$ 124,914|$ 0.000439|284,681,458|$ 522|-0.15 %|1.13 %|-2.52 %|False|False
86|FlutterCoin|FLT|$ 124,064|$ 0.000627|197,827,985|$ 1,056|-0.25 %|-6.94 %|-36.54 %|False|False
87|Freicoin|FRC|$ 122,308|$ 0.002661|45,962,592|$ 197|0.10 %|-9.21 %|-8.78 %|False|False
