#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 11,792,335,875|$ 752.33|15,674,506|$ 247,562,299|-0.01 %|0.96 %|19.87 %|False|False
2|Ethereum|ETH|$ 994,814,672|$ 12.26|81,163,960|$ 145,522,943|0.90 %|-12.70 %|-14.80 %|False|False
3|Litecoin|LTC|$ 256,548,892|$ 5.54|46,290,427|$ 6,638,439|0.00 %|-0.10 %|6.42 %|False|False
4|Ripple|XRP|$ 231,650,168|$ 0.006598|35,108,326,973|$ 1,349,283|0.02 %|-1.11 %|14.30 %|True|False
5|The DAO|DAO|$ 92,754,967|$ 0.079090|1,172,775,159|$ 13,217,194|1.13 %|-13.80 %|-41.88 %|True|False
6|Dash|DASH|$ 53,307,081|$ 8.16|6,531,128|$ 593,294|-0.07 %|-2.03 %|3.87 %|False|False
7|NEM|XEM|$ 36,825,109|$ 0.004092|8,999,999,999|$ 964,956|3.61 %|58.14 %|103.65 %|True|False
8|Lisk|LSK|$ 36,429,535|$ 0.364295|100,000,000|$ 2,586,815|0.50 %|-12.32 %|-16.29 %|True|False
9|Dogecoin|DOGE|$ 34,075,173|$ 0.000325|104,820,099,770|$ 320,420|0.29 %|1.64 %|24.47 %|False|False
10|MaidSafeCoin|MAID|$ 31,693,941|$ 0.070034|452,552,412|$ 446,784|0.03 %|0.97 %|33.80 %|True|False
11|DigixDAO|DGD|$ 25,160,595|$ 12.58|2,000,000|$ 208,089|0.27 %|-7.51 %|15.61 %|True|False
12|Monero|XMR|$ 23,485,341|$ 1.93|12,184,686|$ 2,484,011|-0.37 %|1.86 %|65.46 %|False|False
13|Steem|STEEM|$ 17,366,591|$ 0.293622|59,146,043|$ 692|-0.38 %|-3.05 %|-25.35 %|False|False
14|Siacoin|SC|$ 12,804,999|$ 0.000839|15,258,717,966|$ 867,933|0.74 %|-7.32 %|56.69 %|False|False
