#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$42,928,980,273|$2616.03|16,409,957|$1,008,182,742|0.17%|-4.82%|-0.19%|False|False
2|Ethereum|ETH|$30,219,170,765|$325.74|92,770,299|$785,728,532|0.18%|-4.91%|-14.78%|False|False
3|Ripple|XRP|$11,781,355,148|$0.307676|38,291,387,790|$251,463,989|-0.17%|-4.74%|14.14%|True|False
4|Litecoin|LTC|$2,323,871,756|$44.95|51,703,977|$341,706,780|0.21%|-4.13%|-0.86%|False|False
5|Ethereum Classic|ETC|$1,889,980,149|$20.34|92,930,934|$114,719,964|1.17%|-4.38%|-11.50%|False|False
6|NEM|XEM|$1,671,388,482|$0.185710|8,999,999,999|$7,181,282|0.05%|-6.45%|-7.12%|True|False
7|IOTA|MIOTA|$1,406,819,153|$0.506136|2,779,530,283|$14,540,103|0.18%|-9.18%|22.02%|True|False
8|Dash|DASH|$1,336,130,202|$180.97|7,383,048|$36,614,434|0.03%|-4.00%|1.84%|False|False
9|BitShares|BTS|$813,171,639|$0.313202|2,596,315,625|$50,445,219|-0.05%|-4.66%|-6.68%|True|False
10|Stratis|STRAT|$737,890,492|$7.50|98,437,845|$7,753,600|-0.08%|-10.77%|-2.45%|True|False
11|Monero|XMR|$698,665,636|$47.59|14,681,506|$8,337,157|0.01%|-6.70%|-6.39%|False|False
12|Zcash|ZEC|$550,154,197|$354.38|1,552,444|$16,697,309|-0.11%|-7.16%|-7.17%|False|False
13|Golem|GNT|$506,351,533|$0.610612|829,252,000|$7,601,520|-0.18%|-8.52%|0.43%|True|False
14|Bytecoin|BCN|$494,672,759|$0.002702|183,057,975,653|$2,422,738|0.18%|-4.86%|-8.67%|False|False
15|Steem|STEEM|$481,840,150|$2.05|235,006,181|$2,784,647|0.07%|-6.99%|1.03%|False|False
16|Waves|WAVES|$480,312,487|$4.80|100,000,000|$2,671,424|-0.02%|-8.47%|-7.45%|True|False
17|Siacoin|SC|$479,809,790|$0.017640|27,199,778,478|$16,467,786|0.30%|-7.33%|5.46%|False|False
18|Iconomi|ICN|$387,414,183|$4.45|87,000,000|$2,527,310|0.09%|-8.99%|93.29%|True|False
19|Stellar Lumens|XLM|$367,187,889|$0.037666|9,748,542,802|$6,075,464|-0.13%|-7.75%|-2.45%|True|False
20|BitConnect|BCC|$357,476,334|$52.82|6,767,773|$2,266,437|0.18%|-5.48%|3.63%|False|False
21|Lisk|LSK|$355,611,642|$3.27|108,755,227|$6,607,285|0.12%|-4.50%|6.48%|True|False
22|Dogecoin|DOGE|$347,280,471|$0.003159|109,947,137,029|$13,973,364|0.35%|0.15%|-2.77%|False|False
23|Augur|REP|$323,379,033|$29.40|11,000,000|$2,274,212|0.16%|-6.24%|-5.17%|True|False
24|AntShares|ANS|$308,041,844|$6.16|50,000,000|$26,280,349|-0.41%|-10.63%|69.20%|True|False
25|GameCredits|GAME|$268,200,391|$4.24|63,275,576|$4,014,551|0.17%|-9.65%|18.56%|False|False
26|Factom|FCT|$267,805,641|$30.60|8,753,219|$3,430,567|-0.03%|-9.59%|0.20%|True|False
27|Ardor|ARDR|$260,388,063|$0.260649|998,999,495|$3,747,318|-0.05%|-4.11%|29.33%|True|False
28|Gnosis|GNO|$236,975,055|$214.54|1,104,590|$1,186,348|-0.01%|-6.84%|-12.27%|True|False
29|MaidSafeCoin|MAID|$229,541,168|$0.507215|452,552,412|$2,590,462|0.10%|-8.45%|4.47%|True|False
30|DigiByte|DGB|$224,849,344|$0.025879|8,688,460,433|$9,197,219|-0.11%|-9.91%|-8.24%|False|False
31|Decred|DCR|$219,971,411|$42.43|5,184,898|$1,612,236|-0.29%|-9.48%|31.19%|False|False
32|Komodo|KMD|$206,945,757|$2.05|100,945,510|$801,531|0.30%|-7.28%|-3.62%|False|False
33|Byteball|GBYTE|$189,487,567|$741.66|255,492|$366,538|0.28%|-4.75%|1.54%|True|False
34|Basic Attenti...|BAT|$185,281,115|$0.185281|1,000,000,000|$2,163,234|0.09%|-6.59%|-10.75%|True|False
35|Nxt|NXT|$181,490,592|$0.181672|998,999,983|$11,477,853|0.80%|-1.18%|10.19%|True|False
36|DigixDAO|DGD|$181,049,452|$90.52|2,000,000|$675,391|0.06%|-5.58%|-1.18%|True|False
37|Numeraire|NMR|$170,945,475|$139.72|1,223,451|$26,457,560|1.78%|107.53%|?|True|False
38|Veritaseum|VERI|$169,481,455|$86.15|1,967,276|$500,135|0.57%|-0.30%|11.92%|True|False
39|FirstBlood|1ST|$167,681,216|$1.96|85,558,371|$12,142,532|-0.32%|-9.00%|82.20%|True|False
40|MobileGo|MGO|$154,725,346|$2.21|70,000,000|$986,938|0.23%|-10.72%|50.46%|True|False
41|Tether|USDT|$147,028,376|$1.02|144,693,825|$91,521,623|-0.09%|0.72%|2.43%|True|False
42|SingularDTV|SNGLS|$124,906,819|$0.208178|600,000,000|$557,085|-0.26%|-7.34%|-7.26%|True|False
43|SysCoin|SYS|$119,643,874|$0.227598|525,681,035|$2,790,763|0.44%|-5.72%|25.92%|False|False
44|BitcoinDark|BTCD|$111,821,296|$86.76|1,288,862|$624,668|0.18%|-2.19%|-8.65%|False|False
45|PIVX|PIVX|$103,030,117|$1.92|53,705,370|$994,919|-0.35%|0.68%|18.08%|True|False
46|Aragon|ANT|$90,033,390|$2.68|33,605,167|$1,018,495|0.15%|-10.08%|-13.49%|True|False
47|Ubiq|UBQ|$77,112,642|$2.07|37,283,040|$522,454|0.07%|-8.10%|-7.29%|False|False
48|Emercoin|EMC|$76,045,403|$1.89|40,301,370|$2,679,736|0.20%|-8.58%|12.31%|False|False
49|MCAP|MCAP|$75,532,076|$4.79|15,774,826|$111,709|-0.22%|-9.94%|4.37%|True|False
50|Peercoin|PPC|$74,989,905|$3.10|24,169,662|$6,046,554|0.73%|-5.52%|28.92%|False|False
51|Ark|ARK|$66,535,391|$0.694507|95,802,335|$567,015|0.04%|-8.11%|-8.99%|True|False
52|Round|ROUND|$66,287,745|$0.077986|850,000,000|$384,231|0.00%|-6.68%|-26.91%|True|False
53|Peerplays|PPY|$65,674,061|$18.08|3,633,334|$5,036|2.11%|-5.60%|72.28%|True|False
54|Lykke|LKK|$64,935,552|$0.397222|163,474,022|$695,832|0.05%|-0.25%|-1.47%|True|False
55|iExec RLC|RLC|$56,228,045|$0.711110|79,070,793|$419,452|-0.41%|-11.84%|-0.24%|True|False
56|ReddCoin|RDD|$54,916,895|$0.001924|28,545,129,649|$1,193,813|0.17%|-9.25%|-7.18%|True|False
57|Storjcoin X|SJCX|$54,855,338|$1.07|51,173,144|$460,090|0.20%|-6.02%|8.48%|True|False
58|Quantum Resis...|QRL|$53,213,641|$1.02|52,000,000|$877,492|0.12%|-17.43%|-9.83%|True|False
59|Melon|MLN|$52,171,772|$87.04|599,400|$320,984|0.07%|-5.60%|0.58%|True|False
60|Asch|XAS|$49,618,313|$0.661578|75,000,000|$1,580,698|0.23%|-5.82%|153.00%|False|False
61|LBRY Credits|LBC|$49,299,073|$0.719437|68,524,524|$3,836,454|-0.46%|-10.43%|6.12%|False|False
62|Wings|WINGS|$48,625,308|$0.542038|89,708,333|$549,684|0.25%|-7.47%|-11.11%|True|False
63|Synereo|AMP|$47,997,080|$0.583506|82,256,324|$1,223,186|-0.12%|-11.08%|24.63%|True|False
64|Namecoin|NMC|$47,992,503|$3.26|14,736,400|$4,134,527|0.61%|-8.20%|46.97%|False|False
65|Nexus|NXS|$47,915,676|$0.949888|50,443,498|$116,642|0.15%|-1.90%|-2.35%|False|False
66|LEOcoin|LEO|$46,875,489|$0.547905|85,554,006|$94,163|-0.40%|-4.85%|-7.89%|False|True
67|Counterparty|XCP|$46,009,160|$17.57|2,618,599|$1,037,721|0.05%|-5.64%|11.31%|True|False
68|BlackCoin|BLK|$45,616,661|$0.598543|76,212,866|$8,337,852|0.59%|13.93%|23.33%|True|False
69|Verge|XVG|$44,496,147|$0.003318|13,409,472,280|$1,488,074|-0.02%|-11.29%|-11.65%|False|False
