#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 7,043,413,608|$ 565.11|12,463,699|$ 12,468,483|0.03 %|1.81 %|-8.37 %|False|False
2|Litecoin|LTC|$ 356,100,696|$ 13.61|26,164,896|$ 2,581,751|-0.00 %|1.47 %|-11.20 %|False|False
3|Auroracoin|AUR|$ 184,289,850|$ 17.39|10,595,601|$ 144,907|1.77 %|-11.00 %|?|False|True
4|Ripple|XRP|$ 106,512,532|$ 0.013624|7,817,889,792|$ 76,384|-0.06 %|-0.67 %|-12.99 %|True|False
5|Peercoin|PPC|$ 69,930,364|$ 3.30|21,190,600|$ 309,539|-0.04 %|0.33 %|-15.87 %|False|False
6|Dogecoin|DOGE|$ 57,293,799|$ 0.001030|55,637,985,707|$ 1,243,479|-0.32 %|-3.09 %|-18.80 %|False|False
7|Nxt|NXT|$ 45,211,007|$ 0.045211|999,998,016|$ 161,343|-0.15 %|1.23 %|-18.18 %|True|False
8|Mastercoin (...|MSC|$ 32,918,958|$ 53.14|619,478|$ 8,335|0.89 %|8.81 %|-6.79 %|True|False
9|Namecoin|NMC|$ 27,488,674|$ 3.37|8,164,160|$ 205,581|-0.02 %|1.89 %|-6.21 %|False|False
10|Counterparty|XCP|$ 12,027,606|$ 4.54|2,648,736|$ 27,446|0.34 %|-2.48 %|-33.29 %|True|False
11|BitShares PTS|PTS|$ 11,536,568|$ 7.42|1,553,967|$ 2,097,755|-0.74 %|-42.54 %|-52.83 %|True|False
12|Quark|QRK|$ 11,036,701|$ 0.044570|247,624,159|$ 104,199|-0.95 %|-8.64 %|-29.92 %|False|False
13|Feathercoin|FTC|$ 7,882,788|$ 0.225158|35,010,038|$ 56,411|0.01 %|1.26 %|-17.10 %|False|False
14|Megacoin|MEC|$ 6,992,464|$ 0.312245|22,394,145|$ 126,040|-0.50 %|-4.87 %|-27.49 %|False|False
15|Primecoin|XPM|$ 6,774,511|$ 1.46|4,628,195|$ 86,026|-0.19 %|-1.99 %|-23.56 %|False|False
16|Infinitecoin|IFC|$ 6,496,436|$ 0.000072|90,284,654,395|$ 182,892|0.36 %|-2.50 %|-16.94 %|False|False
17|Novacoin|NVC|$ 5,474,367|$ 7.59|720,859|$ 21,158|0.02 %|0.97 %|-10.90 %|False|False
18|WorldCoin|WDC|$ 4,545,896|$ 0.097243|46,747,787|$ 85,469|-0.63 %|-7.21 %|-27.33 %|False|False
19|Vertcoin|VTC|$ 3,683,879|$ 1.67|2,212,189|$ 84,269|-0.31 %|-5.12 %|-16.05 %|False|False
20|Dash|DASH|$ 3,303,483|$ 0.936497|3,527,490|$ 248,800|-0.26 %|37.09 %|-13.15 %|False|False
21|YbCoin|YBC|$ 2,703,011|$ 2.41|1,119,919|$ 181,592|-0.52 %|-9.13 %|-22.89 %|True|False
22|Mintcoin|MINT|$ 2,471,952|$ 0.000136|18,188,701,839|$ 136,815|0.01 %|-3.18 %|25.04 %|True|False
23|MaxCoin|MAX|$ 2,422,533|$ 0.375326|6,454,484|$ 315,648|-0.46 %|-19.22 %|-56.89 %|False|False
24|Devcoin|DVC|$ 1,918,699|$ 0.000300|6,397,938,432|$ 12,545|-0.07 %|-0.06 %|-26.68 %|False|False
25|Tickets|TIX|$ 1,685,939|$ 0.000025|66,876,280,832|$ 30,543|-1.17 %|-11.32 %|-37.97 %|False|False
26|Zetacoin|ZET|$ 1,368,980|$ 0.008548|160,159,960|$ 13,641|-0.32 %|-3.15 %|-33.84 %|False|False
27|Freicoin|FRC|$ 1,284,876|$ 0.033238|38,657,408|$ 4,700|-0.39 %|?|-39.78 %|False|False
28|Ixcoin|IXC|$ 1,261,716|$ 0.068458|18,430,465|$ 1,699|-0.46 %|-1.96 %|-18.59 %|True|False
