#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$20,222,492,423|$1248.48|16,197,735|$172,161,222|-0.07%|-2.19%|8.90%|False|False
2|Ethereum|ETH|$1,672,000,130|$18.69|89,455,234|$30,154,716|-0.06%|-5.67%|38.13%|False|False
3|Dash|DASH|$305,578,382|$42.80|7,139,191|$12,853,156|-0.59%|-8.63%|60.46%|False|False
4|Ripple|XRP|$236,342,055|$0.006318|37,406,829,143|$951,998|-0.08%|-0.34%|11.13%|True|False
5|Monero|XMR|$196,133,132|$13.95|14,056,668|$2,357,340|0.30%|-0.53%|18.08%|False|False
6|Litecoin|LTC|$192,870,081|$3.85|50,050,126|$2,690,612|-0.06%|-1.34%|0.84%|False|False
7|Ethereum Classic|ETC|$125,709,526|$1.41|89,418,276|$1,791,092|-0.22%|-3.07%|14.93%|False|False
8|NEM|XEM|$85,765,074|$0.009529|8,999,999,999|$365,625|-0.03%|2.46%|48.78%|True|False
9|MaidSafeCoin|MAID|$75,879,626|$0.167670|452,552,412|$393,785|-0.14%|-0.27%|-1.67%|True|False
10|Augur|REP|$60,438,338|$5.49|11,000,000|$176,981|0.07%|-5.95%|13.90%|True|False
11|Zcash|ZEC|$31,719,642|$39.88|795,442|$1,427,591|-0.33%|-6.03%|38.14%|False|False
12|Iconomi|ICN|$27,826,542|$0.319845|87,000,000|$105,382|0.19%|4.85%|2.27%|True|False
13|Factom|FCT|$26,873,061|$3.07|8,753,219|$329,628|0.23%|0.21%|4.65%|True|False
14|Tether|USDT|$24,951,200|$1.00|24,950,994|$7,245,375|0.00%|0.00%|-0.01%|True|False
15|Dogecoin|DOGE|$22,333,753|$0.000206|108,398,642,351|$94,350|0.11%|-1.36%|1.58%|False|False
16|Steem|STEEM|$21,844,613|$0.091432|238,915,549|$72,445|-0.30%|-1.10%|-20.86%|False|False
17|Waves|WAVES|$21,469,095|$0.214691|100,000,000|$49,258|1.17%|5.37%|-1.91%|True|False
18|DigixDAO|DGD|$21,187,319|$10.59|2,000,000|$18,152|-0.02%|-0.77%|17.12%|True|False
19|Golem|GNT|$19,402,231|$0.023661|820,000,000|$165,478|-0.42%|-3.78%|-0.61%|True|False
20|Ardor|ARDR|$16,509,865|$0.016526|998,999,495|$74,097|0.45%|12.98%|-1.96%|True|False
21|GameCredits|GAME|$13,406,112|$0.219474|61,082,886|$122,660|0.14%|-0.60%|1.01%|False|False
22|Lisk|LSK|$12,630,949|$0.121520|103,941,693|$148,893|0.64%|9.31%|-6.67%|True|False
23|Stellar Lumens|XLM|$12,349,554|$0.001767|6,987,295,521|$87,197|0.05%|-1.69%|-5.07%|True|False
24|ShadowCash|SDC|$10,325,971|$1.56|6,636,192|$155,406|-0.09%|1.29%|-4.28%|True|False
25|Bytecoin|BCN|$9,570,841|$0.000052|182,548,652,398|$40,805|0.82%|-13.99%|4.05%|False|False
26|Stratis|STRAT|$9,461,746|$0.096260|98,293,550|$51,930|0.22%|-3.38%|20.89%|False|False
27|BitShares|BTS|$9,049,649|$0.003499|2,586,342,222|$140,897|0.25%|-3.45%|-9.89%|True|False
28|Peercoin|PPC|$9,049,470|$0.378330|23,919,536|$63,960|-0.14%|2.23%|21.50%|False|False
29|Komodo|KMD|$8,823,968|$0.087650|100,672,780|$20,321|0.14%|2.61%|-18.49%|False|False
30|Xaurum|XAUR|$8,681,273|$0.096647|89,824,112|$28,290|-0.15%|0.31%|3.98%|True|False
31|SingularDTV|SNGLS|$8,523,655|$0.014206|600,000,000|$4,856|0.54%|16.00%|2.01%|True|False
32|Siacoin|SC|$8,442,146|$0.000354|23,833,725,769|$69,015|-0.20%|-4.16%|12.04%|False|False
33|Decred|DCR|$8,317,972|$2.11|3,950,458|$32,109|-0.33%|3.18%|-10.63%|False|False
34|Nxt|NXT|$8,283,734|$0.008292|998,999,983|$265,170|0.42%|13.49%|19.02%|True|False
35|Counterparty|XCP|$7,928,954|$3.03|2,619,864|$31,388|0.05%|-1.21%|-10.23%|True|False
36|Bitcrystals|BCY|$7,784,226|$0.188086|41,386,534|$3,643|-0.06%|-4.14%|8.48%|True|False
37|Storjcoin X|SJCX|$7,648,956|$0.151560|50,468,144|$26,868|0.01%|-1.02%|-3.13%|True|False
38|Gulden|NLG|$7,584,662|$0.022217|341,382,726|$44,474|-0.44%|25.45%|12.93%|False|True
39|Emercoin|EMC|$7,542,827|$0.190248|39,647,289|$23,583|-0.02%|-2.03%|0.79%|False|False
