#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 6,896,543,222|$ 442.91|15,570,870|$ 34,777,855|-0.01 %|0.05 %|-2.83 %|False|False
2|Ethereum|ETH|$ 1,125,104,463|$ 14.02|80,262,116|$ 18,900,541|-0.06 %|3.52 %|36.92 %|False|False
3|Ripple|XRP|$ 208,673,392|$ 0.005985|34,868,679,462|$ 210,390|-0.00 %|-1.65 %|-0.78 %|True|False
4|Litecoin|LTC|$ 182,122,934|$ 3.97|45,890,838|$ 1,271,194|0.05 %|1.70 %|-0.62 %|False|False
5|Dash|DASH|$ 52,934,515|$ 8.19|6,464,178|$ 350,807|0.01 %|4.19 %|17.63 %|False|False
6|MaidSafeCoin|MAID|$ 26,670,896|$ 0.058934|452,552,412|$ 447,469|0.21 %|4.18 %|16.10 %|True|False
7|Dogecoin|DOGE|$ 23,497,258|$ 0.000225|104,428,216,578|$ 62,794|-0.08 %|-0.39 %|-3.52 %|False|False
8|DigixDAO|DGD|$ 17,890,693|$ 8.95|2,000,000|$ 46,213|-0.11 %|-1.73 %|-15.33 %|True|False
9|Steem|STEEM|$ 16,538,380|$ 0.477137|34,661,677|$ 7,994|1.61 %|16.87 %|29.43 %|False|False
10|NEM|XEM|$ 14,728,944|$ 0.001637|8,999,999,999|$ 41,750|0.28 %|-1.52 %|13.59 %|True|False
11|FedoraCoin|TIPS|$ 12,245,962|$ 0.000029|423,117,902,600|$ 49,445|2.32 %|13.33 %|14.92 %|False|False
12|Monero|XMR|$ 11,341,101|$ 0.956721|11,854,132|$ 110,300|-0.22 %|0.28 %|13.08 %|False|False
13|Factom|FCT|$ 9,506,493|$ 1.09|8,753,219|$ 105,978|-0.03 %|-0.08 %|2.44 %|True|False
14|BitShares|BTS|$ 9,356,165|$ 0.003657|2,558,716,875|$ 57,365|0.03 %|-2.33 %|1.05 %|True|False
15|Stellar|XLM|$ 9,001,464|$ 0.001641|5,485,679,598|$ 30,359|0.23 %|0.23 %|-7.28 %|True|False
16|Synereo|AMP|$ 8,419,656|$ 0.045561|184,800,000|$ 9,107|-0.49 %|0.06 %|-0.90 %|True|False
17|Peercoin|PPC|$ 8,057,584|$ 0.347444|23,191,033|$ 63,940|0.01 %|-2.79 %|-13.93 %|False|False
18|Bytecoin|BCN|$ 7,801,567|$ 0.000043|180,146,824,004|$ 4,524|-0.60 %|1.06 %|20.76 %|False|False
19|Emercoin|EMC|$ 6,744,210|$ 0.178649|37,751,204|$ 8,461|0.06 %|2.74 %|7.42 %|False|False
20|YbCoin|YBC|$ 6,674,803|$ 2.22|3,008,229|$ 145,795|-0.01 %|-1.31 %|1.18 %|True|False
21|Nxt|NXT|$ 6,112,659|$ 0.006113|999,997,096|$ 10,775|-0.15 %|-1.03 %|-5.16 %|True|False
22|Namecoin|NMC|$ 5,086,894|$ 0.354354|14,355,412|$ 29,329|0.15 %|-1.29 %|-16.15 %|False|False
23|Voxels|VOX|$ 4,622,160|$ 0.146735|31,500,000|$ 66,701|0.10 %|-2.47 %|-31.70 %|True|False
24|Agoras Tokens|AGRS|$ 4,491,150|$ 0.106932|42,000,000|$ 2,439|-0.01 %|5.99 %|12.65 %|True|False
25|Counterparty|XCP|$ 4,466,046|$ 1.70|2,627,128|$ 5,003|0.02 %|1.41 %|19.49 %|True|False
26|Feathercoin|FTC|$ 4,436,828|$ 0.018250|243,116,772|$ 13,036|-0.23 %|-9.66 %|-28.41 %|False|False
27|Siacoin|SC|$ 4,375,999|$ 0.000310|14,113,505,516|$ 492,564|-0.19 %|7.07 %|163.17 %|False|False
28|Storjcoin X|SJCX|$ 4,343,536|$ 0.087716|49,518,143|$ 4,730|-0.12 %|2.45 %|25.47 %|True|False
29|Rubycoin|RBY|$ 3,370,224|$ 0.146157|23,058,936|$ 53|-0.02 %|-0.36 %|0.78 %|True|False
30|Xaurum|XAU|$ 3,329,170|$ 444.69|7,487|$ 1,427|-0.63 %|0.50 %|-7.83 %|False|False
31|SysCoin|SYS|$ 3,209,581|$ 0.007486|428,751,485|$ 14,639|0.06 %|2.28 %|-5.57 %|False|False
32|VPNCoin|VPN|$ 2,786,612|$ 0.006961|400,339,746|$ 6,469|-0.03 %|-1.16 %|-3.42 %|True|False
33|GridCoin|GRC|$ 2,778,717|$ 0.007382|376,403,690|$ 798|0.03 %|2.28 %|-4.82 %|False|False
34|Decred|DCR|$ 2,514,706|$ 1.48|1,700,948|$ 23,022|-0.25 %|0.52 %|11.33 %|False|False
35|DigiByte|DGB|$ 2,067,357|$ 0.000318|6,506,318,669|$ 45,956|0.44 %|10.14 %|20.12 %|False|False
36|Bitcrystals|BCY|$ 2,050,166|$ 0.048421|42,340,689|$ 1,204|-0.48 %|-5.61 %|-10.85 %|True|False
37|Tether|USDT|$ 1,951,591|$ 1.00|1,951,591|$ 115,487|0.00 %|0.00 %|-0.13 %|True|False
38|BlackCoin|BLK|$ 1,933,046|$ 0.025619|75,454,428|$ 3,818|-0.21 %|-0.45 %|-9.10 %|True|False
39|CrevaCoin|CREVA|$ 1,910,519|$ 0.078605|24,305,211|$ 27,555|0.48 %|9.92 %|-16.46 %|False|False
40|NuShares|NSR|$ 1,861,560|$ 0.002265|822,051,374|$ 2,855|-0.07 %|-1.21 %|-13.64 %|True|False
