#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$35,547,022,114|$2173.30|16,356,252|$1,656,465,349|0.67%|4.98%|4.34%|False|False
2|Ethereum|ETH|$15,781,258,742|$171.55|91,991,015|$1,210,808,377|0.89%|16.71%|30.84%|False|False
3|Ripple|XRP|$8,828,509,454|$0.230815|38,249,335,400|$238,420,128|0.58%|-0.25%|-35.50%|True|False
4|NEM|XEM|$1,928,311,817|$0.214257|8,999,999,999|$28,508,868|0.68%|34.96%|-7.81%|True|False
5|Ethereum Classic|ETC|$1,559,277,507|$16.95|91,969,419|$235,624,755|0.40%|33.34%|126.05%|False|False
6|Litecoin|LTC|$1,301,965,893|$25.38|51,299,283|$493,095,366|0.56%|13.02%|-5.64%|False|False
7|Dash|DASH|$809,220,244|$110.51|7,322,555|$42,617,239|1.00%|6.22%|10.24%|False|False
8|Monero|XMR|$535,747,398|$36.86|14,533,617|$19,775,516|0.87%|6.05%|4.45%|False|False
9|Bytecoin|BCN|$481,822,779|$0.002634|182,947,158,646|$6,829,536|0.77%|13.35%|4.06%|False|False
10|Golem|GNT|$360,475,678|$0.437008|824,872,000|$21,207,699|2.90%|36.69%|64.09%|True|False
11|Stellar Lumens|XLM|$360,106,293|$0.037280|9,659,620,150|$34,986,814|1.19%|10.39%|-32.70%|True|False
12|Dogecoin|DOGE|$298,028,757|$0.002720|109,559,538,830|$53,273,314|0.40%|30.59%|19.97%|False|False
13|Zcash|ZEC|$285,688,749|$204.40|1,397,727|$26,215,184|0.46%|15.03%|88.30%|False|False
14|Stratis|STRAT|$280,556,385|$2.85|98,401,763|$4,766,915|0.69%|9.05%|40.13%|True|False
15|Waves|WAVES|$249,320,997|$2.49|100,000,000|$1,890,844|1.00%|13.99%|45.79%|True|False
16|Augur|REP|$249,195,389|$22.65|11,000,000|$7,151,253|1.09%|16.27%|31.18%|True|False
17|Gnosis|GNO|$232,100,096|$210.12|1,104,590|$2,093,942|1.01%|19.80%|12.56%|True|False
18|Steem|STEEM|$228,538,760|$0.977589|233,777,840|$4,247,947|1.26%|18.16%|-19.26%|False|False
19|Siacoin|SC|$194,087,033|$0.007357|26,382,480,560|$19,623,242|0.79%|22.17%|-31.44%|False|False
20|BitShares|BTS|$171,707,278|$0.065990|2,602,015,208|$21,246,404|0.67%|28.43%|-33.79%|True|False
21|MaidSafeCoin|MAID|$164,645,823|$0.363816|452,552,412|$2,091,185|0.85%|5.71%|-1.97%|True|False
22|DigixDAO|DGD|$156,529,017|$78.26|2,000,000|$1,461,593|0.41%|30.82%|5.99%|True|False
23|GameCredits|GAME|$151,666,490|$2.41|62,943,425|$2,625,082|0.52%|11.43%|-24.28%|False|False
24|Lisk|LSK|$119,177,511|$1.11|107,551,145|$3,762,171|0.68%|14.36%|35.00%|True|False
25|Round|ROUND|$112,411,159|$0.132248|850,000,000|$341,527|0.84%|13.27%|-7.30%|True|False
26|DigiByte|DGB|$111,036,537|$0.013696|8,107,031,908|$11,633,492|1.63%|15.52%|-3.21%|False|False
27|Factom|FCT|$110,409,285|$12.61|8,753,219|$3,989,046|0.69%|16.98%|23.71%|True|False
28|Tether|USDT|$108,582,517|$1.03|104,993,690|$169,756,091|0.00%|-3.36%|4.21%|True|False
29|Decred|DCR|$102,454,226|$20.55|4,985,546|$1,015,264|0.91%|5.80%|-0.56%|False|False
30|BitConnect|BCC|$101,038,418|$15.75|6,416,930|$500,381|0.67%|6.24%|24.27%|False|False
31|Ardor|ARDR|$100,132,091|$0.100232|998,999,495|$2,681,368|0.26%|12.91%|-27.36%|True|False
32|SingularDTV|SNGLS|$97,678,060|$0.162797|600,000,000|$154,013|1.13%|12.51%|-25.51%|True|False
33|Iconomi|ICN|$96,877,473|$1.11|87,000,000|$1,038,253|0.33%|13.18%|5.82%|True|False
34|PIVX|PIVX|$66,550,266|$1.24|53,504,386|$1,501,436|1.62%|24.47%|10.86%|True|False
35|Aragon|ANT|$62,793,609|$1.87|33,605,167|$748,906|0.90%|7.94%|27.63%|True|False
36|FirstBlood|1ST|$56,302,616|$0.658061|85,558,371|$3,860,459|0.04%|28.75%|21.62%|True|False
37|SysCoin|SYS|$55,431,617|$0.105574|525,051,626|$2,460,184|0.82%|9.05%|7.94%|False|False
38|Byteball|GBYTE|$54,839,737|$289.72|189,284|$89,283|1.05%|8.03%|9.29%|True|False
39|Nxt|NXT|$51,476,513|$0.051528|998,999,983|$3,447,617|0.58%|12.25%|-37.58%|True|False
40|AntShares|ANS|$48,852,803|$0.977056|50,000,000|$7,374,436|0.07%|36.26%|50.97%|True|False
41|Komodo|KMD|$46,910,787|$0.464714|100,945,510|$269,502|1.36%|5.14%|-1.63%|False|False
42|iExec RLC|RLC|$38,011,250|$0.486882|78,070,793|$339,214|0.23%|3.87%|2.87%|True|False
43|Peercoin|PPC|$34,566,539|$1.43|24,114,091|$2,356,259|0.83%|6.10%|-29.49%|False|False
44|Lykke|LKK|$34,190,792|$0.248105|137,807,932|$364,463|0.34%|2.33%|24.16%|True|False
45|Melon|MLN|$34,109,270|$56.91|599,400|$489,266|1.32%|6.77%|1.30%|True|False
46|ReddCoin|RDD|$33,149,294|$0.001162|28,520,139,224|$1,980,671|1.83%|8.38%|290.37%|True|False
47|Emercoin|EMC|$31,666,432|$0.789033|40,133,195|$1,308,317|0.02%|21.92%|-23.68%|False|False
48|Storjcoin X|SJCX|$28,083,444|$0.548793|51,173,144|$377,391|0.67%|13.72%|-11.83%|True|False
49|BitcoinDark|BTCD|$27,679,229|$21.48|1,288,862|$508,881|1.28%|7.02%|-5.11%|False|False
50|Xaurum|XAUR|$24,789,953|$0.218021|113,704,460|$118,734|-0.04%|9.08%|14.95%|True|False
51|Ubiq|UBQ|$24,646,861|$0.665120|37,056,246|$1,741,452|1.34%|31.13%|128.30%|False|False
52|TokenCard|TKN|$24,296,895|$1.03|23,644,056|$407,645|0.63%|19.79%|21.79%|True|False
53|Counterparty|XCP|$23,921,962|$9.13|2,618,803|$375,163|1.09%|4.49%|-11.82%|True|False
54|Wings|WINGS|$23,265,996|$0.259352|89,708,333|$231,256|1.20%|7.29%|16.11%|True|False
55|Gulden|NLG|$23,097,285|$0.066707|346,248,893|$93,377|0.98%|6.81%|1.13%|False|True
56|Ark|ARK|$22,696,679|$0.238417|95,197,524|$138,400|1.20%|3.40%|16.73%|True|False
57|Nexus|NXS|$22,362,944|$0.449766|49,721,253|$55,376|0.97%|6.83%|-3.48%|False|False
58|Namecoin|NMC|$21,885,793|$1.49|14,736,400|$1,509,862|1.20%|6.72%|-30.59%|False|False
59|WeTrust|TRST|$21,130,136|$0.229308|92,147,500|$343,030|0.89%|10.30%|18.97%|True|False
60|EarthCoin|EAC|$19,777,447|$0.002116|9,346,468,332|$16,180,681|-0.30%|36.27%|9.43%|False|False
61|Edgeless|EDG|$19,470,404|$0.247587|78,640,562|$364,375|1.80%|11.92%|22.01%|True|False
62|YbCoin|YBC|$19,356,228|$6.41|3,020,245|$2,047,558|-0.20%|23.89%|27.20%|True|False
63|BCAP|BCAP|$19,172,112|$1.92|10,000,000|$115,003|0.53%|0.22%|1.40%|True|False
64|Synereo|AMP|$18,126,809|$0.220370|82,256,324|$750,576|1.49%|10.35%|-11.81%|True|False
65|Matchpool|GUP|$17,359,791|$0.231464|75,000,000|$302,305|1.48%|11.22%|1.50%|True|False
66|NAV Coin|NAV|$17,304,414|$0.283312|61,079,067|$439,420|0.81%|10.50%|-32.57%|True|False
67|PotCoin|POT|$17,293,102|$0.079734|216,885,890|$197,213|0.75%|7.60%|-23.60%|False|False
68|Humaniq|HMQ|$17,078,909|$0.141699|120,529,403|$562,956|0.23%|-5.50%|13.53%|True|False
69|Infinitecoin|IFC|$16,995,262|$0.000188|90,596,274,910|$14,642,076|-0.32%|57.74%|89.39%|False|False
70|Swarm City|SWT|$16,218,540|$2.46|6,604,418|$93,064|1.17%|7.69%|29.40%|True|False
71|Burst|BURST|$16,132,060|$0.009079|1,776,814,646|$757,549|0.86%|17.57%|-25.61%|False|False
72|BitBay|BAY|$15,739,607|$0.015622|1,007,510,530|$54,093|0.75%|7.45%|-23.72%|True|False
73|Agoras Tokens|AGRS|$14,566,529|$0.346822|42,000,000|$4,602|0.71%|15.11%|13.62%|True|False
74|Pepe Cash|PEPECASH|$14,342,936|$0.020435|701,884,009|$146,821|0.41%|9.37%|30.65%|True|False
75|Blocknet|BLOCK|$13,924,932|$3.56|3,910,516|$46,867|1.09%|20.79%|-2.33%|True|False
76|Expanse|EXP|$13,625,097|$1.89|7,199,074|$324,170|1.33%|6.39%|-31.67%|False|False
77|BlackCoin|BLK|$13,177,211|$0.173023|76,158,658|$974,204|-0.29%|18.19%|-33.31%|True|False
78|LBRY Credits|LBC|$13,057,558|$0.190553|68,524,524|$576,790|2.45%|17.33%|-10.44%|False|False
79|Verge|XVG|$12,910,152|$0.000963|13,409,472,280|$868,958|1.40%|11.95%|137.04%|False|False
80|Chronobank|TIME|$12,792,666|$18.01|710,113|$535,851|0.46%|9.04%|-14.93%|True|False
81|MonaCoin|MONA|$12,523,799|$0.248978|50,300,859|$79,784|-0.39%|21.82%|-16.45%|False|False
82|Nexium|NXC|$12,409,999|$0.186556|66,521,586|$99,895|-2.11%|24.45%|4.26%|True|False
83|Vertcoin|VTC|$12,192,692|$0.364637|33,437,849|$980,901|0.69%|38.07%|-4.97%|False|False
84|E-coin|ECN|$12,020,862|$4.42|2,721,566|$29,832|0.67%|9.75%|9.99%|False|False
85|Bankcoin|B@|$11,829,856|$2.77|4,265,080|$137,265|-1.39%|11.21%|19.64%|True|False
86|I/O Coin|IOC|$11,703,076|$0.716438|16,335,090|$24,275|1.20%|1.85%|-8.76%|True|False
87|Etheroll|DICE|$11,551,792|$1.65|7,001,623|$36,166|1.02%|1.54%|-6.67%|True|False
88|ZCoin|XZC|$11,423,062|$5.20|2,195,457|$1,088,204|0.00%|9.36%|-7.38%|False|False
89|Waves Communi...|WCT|$11,225,981|$2.25|5,000,000|$14,906|0.20%|26.91%|35.15%|True|False
90|GridCoin|GRC|$11,176,809|$0.028636|390,312,753|$128,532|1.23%|10.48%|-26.25%|False|False
