#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 4,678,076,574|$ 316.35|14,787,652|$ 44,707,492|0.20 %|-3.52 %|10.18 %|False|False
2|Litecoin|LTC|$ 165,187,283|$ 3.84|42,972,333|$ 4,906,034|0.26 %|-3.66 %|23.18 %|False|False
3|Ripple|XRP|$ 156,096,270|$ 0.004708|33,156,211,683|$ 338,471|0.16 %|-1.88 %|0.27 %|True|False
4|Ethereum|ETH|$ 69,340,838|$ 0.932382|74,369,596|$ 543,360|0.73 %|-4.67 %|56.91 %|False|False
5|Dogecoin|DOGE|$ 14,023,236|$ 0.000138|101,624,933,754|$ 142,152|0.11 %|-4.52 %|18.97 %|False|False
6|Dash|DASH|$ 13,785,250|$ 2.32|5,945,529|$ 33,883|0.44 %|-9.01 %|0.82 %|False|False
7|BitShares|BTS|$ 10,472,446|$ 0.004169|2,511,953,117|$ 114,286|-0.13 %|-6.65 %|5.41 %|True|False
8|Stellar|STR|$ 10,324,024|$ 0.002134|4,837,356,606|$ 22,447|-0.31 %|-3.41 %|5.87 %|True|False
9|Peercoin|PPC|$ 8,903,905|$ 0.391674|22,732,920|$ 45,402|0.02 %|-6.28 %|11.82 %|False|False
10|Nxt|NXT|$ 7,501,999|$ 0.007502|999,997,096|$ 11,747|0.45 %|-4.63 %|1.75 %|True|False
11|MaidSafeCoin|MAID|$ 6,973,262|$ 0.015409|452,552,412|$ 6,328|0.37 %|-3.04 %|9.95 %|True|False
12|TRMB|TRMB|$ 6,459,421|$ 0.158199|40,831,002|$ 49,463|0.01 %|0.07 %|0.46 %|True|False
13|Bytecoin|BCN|$ 6,131,741|$ 0.000035|177,145,806,702|$ 6,521|0.32 %|-3.48 %|4.00 %|False|False
14|Namecoin|NMC|$ 4,945,496|$ 0.386647|12,790,719|$ 33,860|0.06 %|-4.21 %|8.63 %|False|False
15|Monero|XMR|$ 4,201,500|$ 0.425313|9,878,601|$ 23,365|0.56 %|-5.04 %|6.27 %|False|False
16|GridCoin|GRC|$ 3,676,190|$ 0.009958|369,174,811|$ 10,924|0.43 %|-0.53 %|29.47 %|False|False
17|Counterparty|XCP|$ 2,803,223|$ 1.06|2,637,254|$ 5,516|0.77 %|3.67 %|27.60 %|True|False
18|NuShares|NSR|$ 2,603,356|$ 0.003118|835,043,587|$ 784|0.06 %|4.33 %|21.81 %|True|False
19|YbCoin|YBC|$ 2,085,203|$ 0.695068|3,000,000|$ 51,720|-0.17 %|-2.85 %|19.66 %|True|False
20|Rubycoin|RBY|$ 2,003,048|$ 0.089645|22,344,244|$ 684|0.18 %|-4.50 %|13.73 %|True|False
21|BlackCoin|BLK|$ 1,970,082|$ 0.026247|75,060,121|$ 17,055|0.08 %|-4.55 %|4.59 %|True|False
22|DigiByte|DGB|$ 1,768,523|$ 0.000336|5,268,892,119|$ 13,382|0.78 %|-0.11 %|58.91 %|False|False
23|MonaCoin|MONA|$ 1,617,684|$ 0.067133|24,096,610|$ 2,770|0.47 %|1.52 %|-4.25 %|False|False
24|GetGems|GEMZ|$ 1,598,028|$ 0.018132|88,135,217|$ 1,515|-0.21 %|4.90 %|6.59 %|True|False
25|EmerCoin|EMC|$ 1,577,618|$ 0.043346|36,396,087|$ 1,540|0.23 %|-2.15 %|45.62 %|False|False
26|Rimbit|RBT|$ 1,438,719|$ 0.012690|113,378,010|$ 12|0.19 %|-9.47 %|-6.84 %|True|False
27|DNotes|NOTE|$ 1,343,490|$ 0.012774|105,177,731|$ 884|0.08 %|-5.28 %|19.97 %|False|False
28|NEM|XEM|$ 1,318,571|$ 0.000147|8,999,999,999|$ 1,152|-0.00 %|-6.58 %|18.58 %|True|False
29|Mastercoin (...|MSC|$ 1,311,116|$ 2.39|548,614|$ 19|1.20 %|-11.05 %|-19.51 %|True|False
30|Novacoin|NVC|$ 1,200,525|$ 0.998324|1,202,540|$ 6,333|0.12 %|-3.88 %|13.18 %|False|False
31|NeuCoin|NEU|$ 1,170,993|$ 0.008173|143,279,692|$ 1,508|0.42 %|-0.86 %|23.28 %|True|False
32|Bitcrystals|BCY|$ 1,147,334|$ 0.026129|43,910,969|$ 1,831|-0.17 %|-14.64 %|1.66 %|True|False
33|SuperNET|UNITY|$ 1,081,995|$ 1.33|816,061|$ 580|0.69 %|-5.33 %|-10.08 %|True|False
34|Startcoin|START|$ 1,068,429|$ 0.031447|33,975,364|$ 2,128|-0.15 %|0.19 %|-1.52 %|False|True
35|Factom|FCT|$ 1,012,617|$ 0.115639|8,756,684|$ 1,418|0.57 %|-4.55 %|-18.48 %|True|False
36|FuelCoin|FC2|$ 1,012,268|$ 0.010102|100,206,032|$ 342|-1.67 %|-6.12 %|34.25 %|False|True
37|BitcoinDark|BTCD|$ 1,002,910|$ 0.809011|1,239,675|$ 3,413|-0.01 %|-11.53 %|-23.13 %|False|False
38|GameCredits|GMC|$ 937,376|$ 0.018224|51,435,672|$ 1,436|-0.72 %|-2.48 %|25.08 %|False|False
39|BlockShares|BKS|$ 911,388|$ 4.91|185,623|$ 263|-2.18 %|-4.91 %|?|True|False
40|Mintcoin|MINT|$ 837,361|$ 0.000038|22,245,732,137|$ 211|1.67 %|8.91 %|19.93 %|True|False
41|Primecoin|XPM|$ 821,793|$ 0.067905|12,102,043|$ 17,113|0.04 %|-5.04 %|11.72 %|False|False
42|ShadowCash|SDC|$ 743,054|$ 0.114349|6,498,114|$ 807|-0.40 %|-4.92 %|4.36 %|True|False
43|CasinoCoin|CSC|$ 733,946|$ 0.022003|33,356,215|$ 6,379|0.21 %|-1.75 %|21.76 %|False|False
44|Clams|CLAM|$ 717,823|$ 0.664941|1,079,528|$ 6,726|0.87 %|4.90 %|-4.23 %|True|False
45|Vertcoin|VTC|$ 666,724|$ 0.033767|19,744,632|$ 3,571|-0.58 %|-5.92 %|12.19 %|False|False
46|VeriCoin|VRC|$ 659,056|$ 0.024122|27,321,323|$ 265|0.22 %|-4.53 %|13.54 %|False|False
47|FairCoin|FAIR|$ 651,744|$ 0.012504|52,122,093|$ 28|?|-2.20 %|11.17 %|True|False
48|Storjcoin X|SJCX|$ 620,925|$ 0.013930|44,575,870|$ 584|0.06 %|-2.78 %|-1.89 %|True|False
49|NuBits|NBT|$ 585,006|$ 0.997123|586,694|$ 71,423|-0.05 %|0.31 %|0.27 %|True|False
50|WorldCoin|WDC|$ 573,412|$ 0.006264|91,534,968|$ 6,156|0.23 %|-4.63 %|13.74 %|False|False
51|DigitalNote|XDN|$ 562,511|$ 0.000082|6,849,047,885|$ 4,497|-0.25 %|-11.45 %|-13.74 %|False|False
52|PayCoin|XPY|$ 510,825|$ 0.031552|16,189,767|$ 1,401|-0.07 %|3.93 %|-24.89 %|False|True
53|Quark|QRK|$ 502,847|$ 0.002016|249,448,902|$ 469|0.29 %|-7.96 %|4.61 %|False|False
54|VPNCoin|VPN|$ 491,338|$ 0.001228|400,264,119|$ 4,024|-0.00 %|-3.97 %|5.57 %|True|False
55|Megacoin|MEC|$ 485,802|$ 0.015644|31,052,808|$ 4,862|-0.10 %|-7.65 %|20.37 %|False|False
56|Infinitecoin|IFC|$ 466,546|$ 0.000005|90,596,274,910|$ 4,244|-0.04 %|-3.44 %|11.78 %|False|False
