#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 5,241,480,575|$ 391.16|13,399,764|$ 10,856,294|-0.09 %|2.46 %|8.59 %|False|False
2|Ripple|XRP|$ 143,775,575|$ 0.004960|28,989,252,282|$ 67,855|-0.06 %|0.85 %|4.23 %|True|False
3|Litecoin|LTC|$ 133,414,715|$ 4.04|33,030,877|$ 2,232,951|-0.14 %|0.99 %|8.05 %|False|False
4|BitShares|BTS|$ 47,778,802|$ 0.023891|1,999,883,512|$ 246,874|-0.43 %|-3.27 %|-12.26 %|True|False
5|Dogecoin|DOGE|$ 24,023,207|$ 0.000255|94,388,093,465|$ 306,316|-0.29 %|2.20 %|-9.29 %|False|False
6|Nxt|NXT|$ 23,217,728|$ 0.023218|999,997,096|$ 34,195|0.08 %|2.11 %|-2.12 %|True|False
7|Peercoin|PPC|$ 22,430,736|$ 1.03|21,817,771|$ 51,368|-0.08 %|1.00 %|1.35 %|False|False
8|Counterparty|XCP|$ 11,319,122|$ 4.28|2,647,459|$ 20,824|0.04 %|3.24 %|18.81 %|True|False
9|MaidSafeCoin|MAID|$ 10,920,217|$ 0.024130|452,552,412|$ 40,153|-0.60 %|8.17 %|25.20 %|True|False
10|Dash|DASH|$ 10,875,281|$ 2.28|4,763,562|$ 45,651|-0.10 %|2.03 %|7.69 %|False|False
11|Namecoin|NMC|$ 10,547,705|$ 1.05|10,080,159|$ 42,112|-0.07 %|1.03 %|1.67 %|False|False
12|NuBits|NBT|$ 6,290,242|$ 1.00|6,280,455|$ 239,275|-0.02 %|2.04 %|1.03 %|True|False
13|CannabisCoin|CANN|$ 5,130,654|$ 0.055605|92,270,458|$ 123,843|-0.00 %|4.36 %|489.89 %|False|False
14|BitShares PTS|PTS|$ 5,127,248|$ 2.91|1,761,135|$ 26,045|-0.42 %|-1.78 %|2.94 %|True|False
15|Monero|XMR|$ 4,046,081|$ 0.983405|4,114,357|$ 53,268|0.08 %|1.71 %|-7.36 %|False|False
16|BlackCoin|BLK|$ 3,035,545|$ 0.040639|74,694,574|$ 12,360|-0.18 %|5.68 %|-3.04 %|True|False
17|SuperNET|UNITY|$ 3,013,317|$ 3.69|816,061|$ 3,885|0.28 %|-1.57 %|-14.57 %|True|False
18|Stellar|STR|$ 2,991,451|$ 0.002090|1,431,225,443|$ 27,755|-0.02 %|2.50 %|-6.34 %|True|False
19|BitcoinDark|BTCD|$ 2,810,444|$ 2.37|1,188,292|$ 23,809|0.47 %|1.21 %|-15.89 %|False|False
20|BanxShares|BANX|$ 2,630,915|$ 1.02|2,586,882|$ 708|-0.09 %|2.46 %|29.42 %|True|False
21|XCurrency|XC|$ 2,243,707|$ 0.404248|5,550,318|$ 19,771|-0.12 %|9.28 %|-9.61 %|True|False
22|Bytecoin|BCN|$ 2,183,699|$ 0.000013|163,911,972,529|$ 9,589|-0.50 %|3.06 %|-7.12 %|False|False
23|Feathercoin|FTC|$ 2,099,352|$ 0.036065|58,210,530|$ 11,659|0.03 %|3.26 %|35.97 %|False|False
24|Mastercoin (...|MSC|$ 2,092,786|$ 3.72|563,162|$ 555|-0.03 %|65.90 %|4.99 %|True|False
25|NXTventure|NXTV|$ 2,030,151|$ 2.03|1,000,000|$ 858|-2.47 %|-17.38 %|-23.58 %|True|False
26|Swarm|SWARM|$ 1,939,833|$ 0.019398|100,000,000|$ 203|-0.09 %|-0.78 %|12.22 %|True|False
27|Quark|QRK|$ 1,599,334|$ 0.006441|248,309,953|$ 2,723|0.17 %|-0.66 %|-4.33 %|False|False
28|Pandacoin|PND|$ 1,549,095|$ 0.000048|32,260,869,630|$ 5,140|-0.40 %|-2.06 %|12.20 %|False|False
29|ReddCoin|RDD|$ 1,456,481|$ 0.000053|27,355,037,508|$ 8,649|-0.20 %|3.83 %|5.68 %|True|False
30|Primecoin|XPM|$ 1,447,965|$ 0.193169|7,495,849|$ 4,573|-0.37 %|0.75 %|0.71 %|False|False
31|Nxttycoin|NXTTY|$ 1,312,592|$ 0.002387|550,000,000|$ 1,306|0.18 %|1.01 %|-2.03 %|True|False
32|Zetacoin|ZET|$ 1,271,135|$ 0.007893|161,043,332|$ 831|-0.20 %|0.46 %|-5.61 %|False|False
33|Anoncoin|ANC|$ 1,233,267|$ 0.931191|1,324,397|$ 12,592|-1.12 %|-4.60 %|-26.62 %|False|False
34|InkWayCoin|LKNX|$ 1,160,343|$ 0.116034|10,000,000|$ 128|-0.11 %|-24.01 %|54.94 %|True|False
35|Ixcoin|IXC|$ 1,109,121|$ 0.052816|20,999,906|$ 25,101|0.57 %|14.13 %|48.12 %|True|False
36|VeriCoin|VRC|$ 1,071,325|$ 0.039848|26,885,328|$ 24,691|-0.74 %|2.00 %|13.48 %|False|False
37|InstantDEX|DEX|$ 998,365|$ 0.998365|1,000,000|$ 45|0.08 %|36.35 %|-19.06 %|True|False
38|YbCoin|YBC|$ 974,998|$ 0.450973|2,161,989|$ 9,375|0.08 %|0.36 %|-1.35 %|True|False
39|Uro|URO|$ 901,389|$ 1.02|884,331|$ 16,025|0.12 %|-6.73 %|76.05 %|False|False
40|HyperStake|HYP|$ 833,658|$ 0.028630|29,118,831|$ 8,652|1.64 %|30.96 %|134.78 %|True|False
41|Neutrino|NTR|$ 811,845|$ 0.003856|210,545,045|$ 16|-0.15 %|-5.85 %|-16.91 %|False|False
42|Viacoin|VIA|$ 807,975|$ 0.069495|11,626,425|$ 3,844|-0.18 %|3.72 %|-16.44 %|False|False
43|NEMstake|NEM|$ 767,438|$ 990.24|775|$ 7,111|1.45 %|11.76 %|25.04 %|True|False
44|jl777hodl|JLH|$ 763,117|$ 0.076312|10,000,000|$ 233|-1.07 %|8.81 %|-13.68 %|True|False
45|Novacoin|NVC|$ 757,440|$ 0.894481|846,792|$ 5,363|-0.02 %|-0.97 %|-3.24 %|False|False
46|MaxCoin|MAX|$ 696,379|$ 0.018963|36,722,656|$ 9,530|-0.41 %|-1.61 %|-9.43 %|False|False
47|WorldCoin|WDC|$ 687,831|$ 0.010416|66,038,879|$ 2,821|-0.90 %|-3.16 %|-8.90 %|False|False
48|Vertcoin|VTC|$ 675,139|$ 0.076468|8,829,004|$ 7,940|-0.23 %|4.59 %|22.40 %|False|False
49|MonaCoin|MONA|$ 655,184|$ 0.049857|13,141,219|$ 2,773|0.21 %|-2.42 %|-21.76 %|False|False
50|Megacoin|MEC|$ 653,305|$ 0.025396|25,724,245|$ 515|-0.39 %|-1.54 %|-6.16 %|False|False
51|PotCoin|POT|$ 636,687|$ 0.004040|157,578,313|$ 16,679|-0.60 %|4.26 %|45.31 %|False|False
52|FreeMarket|MRKT|$ 617,063|$ 0.857032|720,000|$ 63|0.20 %|9.23 %|-21.13 %|True|False
53|UltraCoin|UTC|$ 604,565|$ 0.028396|21,290,161|$ 6,693|-1.26 %|12.42 %|-12.42 %|False|False
54|Qora|QORA|$ 596,525|$ 0.000060|10,000,000,000|$ 1,501|0.25 %|3.44 %|0.95 %|True|False
55|Jinn|JINN|$ 580,445|$ 5.80|100,000|$ 464|0.08 %|1.30 %|16.32 %|True|False
56|Infinitecoin|IFC|$ 561,949|$ 0.000006|90,594,714,012|$ 1,592|0.13 %|-0.97 %|-38.73 %|False|False
57|NXTprivacy|NXTprivacy|$ 561,871|$ 0.561871|1,000,000|$ 56|0.08 %|0.62 %|-43.60 %|True|False
58|Storjcoin X|SJCX|$ 544,004|$ 0.013118|41,469,270|$ 3,124|-1.24 %|-5.54 %|11.45 %|True|False
59|ARCHcoin|ARCH|$ 530,334|$ 0.032758|16,189,360|$ 12,338|-0.03 %|17.34 %|12.07 %|True|False
60|BitSwift|SWIFT|$ 495,366|$ 0.123804|4,001,222|$ 12,122|-0.40 %|0.77 %|22.11 %|True|False
61|Stealthcoin|XST|$ 491,800|$ 0.023248|21,154,938|$ 9,824|0.06 %|10.76 %|8.08 %|False|False
62|DNotes|NOTE|$ 489,288|$ 0.005304|92,249,336|$ 1,260|-1.08 %|-2.35 %|3.50 %|False|False
63|ATOMIC|ATOMIC|$ 476,488|$ 0.781128|610,000|$ 668|0.15 %|-3.86 %|-17.47 %|True|False
64|Coinomat|CNMT|$ 470,107|$ 0.156702|3,000,000|$ 206|-0.32 %|3.20 %|-23.04 %|True|False
65|Unobtanium|UNO|$ 465,591|$ 2.43|191,886|$ 2,709|0.13 %|-6.78 %|-27.99 %|False|False
66|BilShares|BILS|$ 459,339|$ 0.000459|1,000,000,000|$ 7,623|-0.03 %|2.00 %|-5.28 %|True|False
67|Librexcoin|LXC|$ 443,080|$ 0.045452|9,748,354|$ 2,426|-0.09 %|12.67 %|3.25 %|False|False
68|Tradebots|NXTcoinsco|$ 426,497|$ 0.430762|990,100|$ 50|-0.82 %|-9.79 %|-50.92 %|True|False
69|MozzShare|MLS|$ 411,833|$ 0.007345|56,072,160|$ 209|-0.33 %|2.10 %|-24.55 %|False|False
70|FoldingCoin|FLDC|$ 410,095|$ 0.000410|1,000,000,000|$ 37|-0.13 %|1.96 %|-35.94 %|True|False
71|ShadowCash|SDC|$ 406,762|$ 0.063159|6,440,274|$ 2,357|-0.55 %|-7.69 %|3.13 %|True|False
72|DigitalNote|XDN|$ 405,403|$ 0.000062|6,526,262,868|$ 4,532|-0.43 %|-2.32 %|-17.08 %|False|False
73|bitUSD|BITUSD|$ 392,539|$ 1.01|387,498|$ 41,957|-0.05 %|0.25 %|0.51 %|True|False
74|Ethercoin|ETC|$ 390,754|$ 0.390754|1,000,000|$ 13|-0.28 %|-2.63 %|-38.36 %|True|False
75|FIMKrypto|FIMK|$ 377,611|$ 0.000971|389,016,758|$ 23|-0.09 %|-14.54 %|-20.93 %|True|False
76|EmerCoin|EMC|$ 354,022|$ 0.010595|33,413,362|$ 480|1.00 %|14.91 %|72.95 %|False|False
77|Bitmark|BTM|$ 344,866|$ 0.382288|902,111|$ 1,966|-0.37 %|-4.94 %|-12.85 %|False|False
78|LitecoinDark|LTCD|$ 342,387|$ 0.004353|78,663,658|$ 10,556|-0.18 %|-10.30 %|-18.28 %|False|False
79|Gridcoin Cla...|GRCX|$ 341,941|$ 0.010469|32,660,943|$ 907|-0.87 %|8.40 %|-3.92 %|False|False
