#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$67,609,139,143|$4083.70|16,555,860|$1,387,493,530|-0.41%|-3.46%|-11.84%|False|False
2|Ethereum|ETH|$26,634,339,599|$281.75|94,532,292|$534,086,763|-0.52%|-4.20%|-20.15%|False|False
3|Bitcoin Cash|BCH|$8,546,855,975|$515.77|16,571,069|$242,550,662|-0.69%|-9.44%|-11.86%|False|False
4|Ripple|XRP|$7,823,279,433|$0.204030|38,343,841,883|$54,556,670|-0.33%|-2.82%|-10.87%|True|False
5|Litecoin|LTC|$3,249,982,869|$61.48|52,863,880|$442,475,476|-0.85%|-7.92%|-22.83%|False|False
6|Dash|DASH|$2,334,877,962|$309.32|7,548,452|$21,801,753|-0.52%|-5.37%|-14.28%|False|False
7|NEM|XEM|$2,287,580,059|$0.254176|8,999,999,999|$5,201,641|-0.65%|-4.94%|-18.35%|True|False
8|Monero|XMR|$1,651,523,007|$109.66|15,060,963|$38,480,953|-0.69%|-6.14%|-13.14%|False|False
9|IOTA|MIOTA|$1,437,087,824|$0.517025|2,779,530,283|$16,955,623|-1.36%|-6.67%|-30.51%|True|False
10|Ethereum Classic|ETC|$1,314,654,333|$13.78|95,368,792|$139,969,872|-0.86%|-8.06%|-29.90%|False|False
11|OmiseGO|OMG|$1,129,214,883|$11.49|98,312,024|$65,161,698|-0.72%|1.32%|6.14%|True|False
12|NEO|NEO|$1,034,449,031|$20.69|50,000,000|$47,628,560|-0.67%|-12.79%|-34.40%|True|False
13|BitConnect|BCC|$826,297,236|$124.07|6,660,042|$5,173,182|-0.62%|-3.89%|-6.24%|False|False
14|Lisk|LSK|$733,701,241|$6.55|112,042,918|$12,889,656|-0.62%|-4.20%|-3.89%|True|False
15|Qtum|QTUM|$731,788,111|$12.40|59,000,000|$108,346,089|-0.86%|-4.93%|-22.69%|True|False
16|Stratis|STRAT|$554,873,744|$5.63|98,537,175|$4,514,324|-0.16%|-0.39%|-12.26%|True|False
17|Zcash|ZEC|$435,857,266|$202.69|2,150,404|$22,250,551|-0.61%|-4.27%|-22.20%|False|False
