#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 3,431,214,323|$ 234.90|14,606,992|$ 16,562,815|-0.09 %|-2.02 %|-1.65 %|False|False
2|Ripple|XRP|$ 266,976,905|$ 0.008218|32,488,247,336|$ 25,235|-0.04 %|-1.13 %|4.23 %|True|False
3|Litecoin|LTC|$ 119,507,618|$ 2.83|42,262,690|$ 1,435,417|-0.07 %|-4.50 %|-5.30 %|False|False
4|Ethereum|ETH|$ 73,397,168|$ 1.00|73,144,106|$ 743,261|-0.38 %|0.18 %|-25.69 %|False|False
5|Dash|DASH|$ 14,065,615|$ 2.43|5,779,901|$ 44,521|-0.28 %|2.49 %|-3.33 %|False|False
6|Dogecoin|DOGE|$ 12,767,619|$ 0.000126|100,963,151,849|$ 50,958|-0.15 %|-2.38 %|-4.47 %|False|False
7|BanxShares|BANX|$ 12,747,824|$ 1.79|7,140,236|$ 9,919|-0.10 %|-2.02 %|-1.63 %|True|False
8|Stellar|STR|$ 10,690,034|$ 0.002210|4,837,356,606|$ 1,072|-0.16 %|-0.71 %|-11.29 %|True|False
9|BitShares|BTS|$ 10,654,703|$ 0.004242|2,511,953,117|$ 82,545|-0.35 %|-1.42 %|-13.30 %|True|False
10|Bytecoin|BCN|$ 10,262,690|$ 0.000058|176,103,245,504|$ 20,490|-0.48 %|-4.09 %|-6.16 %|False|False
11|MaidSafeCoin|MAID|$ 9,436,596|$ 0.020852|452,552,412|$ 8,289|-0.36 %|-2.46 %|-10.49 %|True|False
12|Nxt|NXT|$ 8,135,679|$ 0.008136|999,997,096|$ 8,789|0.02 %|-2.39 %|-2.11 %|True|False
13|Peercoin|PPC|$ 7,852,903|$ 0.347093|22,624,774|$ 84,339|-0.45 %|-10.46 %|-5.56 %|False|False
14|Namecoin|NMC|$ 4,556,856|$ 0.366468|12,434,536|$ 75,275|-0.02 %|-10.97 %|-11.85 %|False|False
15|Monero|XMR|$ 4,360,701|$ 0.469402|9,289,915|$ 19,767|-0.13 %|-3.57 %|-3.64 %|False|False
16|TRMB|TRMB|$ 2,912,205|$ 0.156862|18,565,423|$ 54,182|-0.00 %|0.01 %|-0.28 %|True|False
17|Counterparty|XCP|$ 2,413,439|$ 0.914423|2,639,303|$ 476|0.18 %|-5.32 %|2.91 %|True|False
18|MonaCoin|MONA|$ 2,275,099|$ 0.102155|22,270,950|$ 892|-0.02 %|-0.60 %|-0.86 %|False|False
19|BlackCoin|BLK|$ 1,967,301|$ 0.026234|74,991,206|$ 44,701|-0.44 %|1.90 %|13.57 %|True|False
20|YbCoin|YBC|$ 1,816,608|$ 0.605536|3,000,000|$ 41,115|-0.09 %|0.40 %|-0.83 %|True|False
21|BitcoinDark|BTCD|$ 1,809,152|$ 1.47|1,232,844|$ 1,774|0.55 %|2.99 %|8.04 %|False|False
22|NuShares|NSR|$ 1,546,614|$ 0.001848|836,913,101|$ 23|-0.19 %|-4.40 %|-7.81 %|True|False
23|SuperNET|UNITY|$ 1,400,880|$ 1.72|816,061|$ 241|0.01 %|-3.30 %|-1.17 %|True|False
24|Clams|CLAM|$ 1,353,315|$ 1.42|954,556|$ 7,116|0.33 %|0.92 %|2.27 %|True|False
25|DigitalNote|XDN|$ 1,324,253|$ 0.000193|6,846,359,199|$ 4,858|-0.23 %|-1.56 %|11.13 %|False|False
26|GetGems|GEMZ|$ 1,305,550|$ 0.014813|88,135,217|$ 2,442|-0.12 %|6.36 %|1.54 %|True|False
27|Novacoin|NVC|$ 1,255,422|$ 1.08|1,160,830|$ 8,834|-0.24 %|-3.90 %|2.29 %|False|False
28|GameCredits|GMC|$ 1,181,850|$ 0.023276|50,776,015|$ 2,632|0.47 %|-5.50 %|-16.16 %|False|False
29|DNotes|NOTE|$ 1,075,471|$ 0.010395|103,457,656|$ 3,713|-0.62 %|13.84 %|20.62 %|False|False
30|Rimbit|RBT|$ 1,064,167|$ 0.009394|113,278,790|$ 47|-0.10 %|-2.56 %|-1.61 %|True|False
31|InstantDEX|DEX|$ 1,054,456|$ 1.05|1,000,000|$ 71|0.27 %|-2.67 %|-1.89 %|True|False
32|Vertcoin|VTC|$ 1,029,406|$ 0.056127|18,340,712|$ 11,523|-0.06 %|-4.23 %|-28.37 %|False|False
33|Startcoin|START|$ 984,693|$ 0.031444|31,315,329|$ 9,522|0.36 %|-13.26 %|-27.71 %|False|True
34|FuelCoin|FC2|$ 942,592|$ 0.009407|100,206,032|$ 1,067|0.16 %|-12.40 %|-11.13 %|False|True
35|BlockShares|BKS|$ 940,392|$ 5.08|184,936|$ 45|-1.04 %|?|?|True|False
36|Mintcoin|MINT|$ 826,333|$ 0.000038|21,979,820,962|$ 201|-0.69 %|-6.65 %|8.05 %|True|False
37|NEM|XEM|$ 813,158|$ 0.000090|8,999,999,999|$ 533|-0.08 %|-5.25 %|-2.81 %|True|False
38|Infinitecoin|IFC|$ 807,198|$ 0.000009|90,596,274,910|$ 4,046|0.04 %|-8.23 %|-10.87 %|False|False
39|Mastercoin (...|MSC|$ 791,273|$ 1.45|547,291|$ 355|0.35 %|-9.50 %|-48.67 %|True|False
40|EmerCoin|EMC|$ 736,394|$ 0.020407|36,085,273|$ 357|-0.51 %|2.02 %|15.13 %|False|False
41|Primecoin|XPM|$ 725,314|$ 0.063191|11,478,106|$ 10,484|-0.05 %|-6.31 %|-1.06 %|False|False
42|Storjcoin X|SJCX|$ 702,728|$ 0.015765|44,575,870|$ 5,115|-0.32 %|-6.33 %|-10.93 %|True|False
43|ShadowCash|SDC|$ 670,883|$ 0.103335|6,492,304|$ 847|-0.16 %|-2.56 %|-11.73 %|True|False
44|Rubycoin|RBY|$ 651,570|$ 0.029289|22,246,074|$ 15,932|1.55 %|23.36 %|184.52 %|True|False
45|FairCoin|FAIR|$ 624,799|$ 0.012015|52,002,101|$ 105|-1.46 %|10.14 %|-30.96 %|True|False
46|Swarm|SWARM|$ 601,464|$ 0.006018|99,945,431|$ 32|0.01 %|-0.94 %|50.83 %|True|False
47|NuBits|NBT|$ 565,770|$ 0.996355|567,839|$ 5,956|0.03 %|-0.16 %|0.07 %|True|False
48|Vanillacoin|VNL|$ 544,661|$ 0.052547|10,365,193|$ 6,283|-1.22 %|-8.82 %|-18.77 %|False|False
49|WorldCoin|WDC|$ 520,475|$ 0.005880|88,518,262|$ 4,248|0.62 %|-1.68 %|-5.48 %|False|False
50|GridCoin|GRC|$ 496,554|$ 0.001358|365,626,575|$ 754|-0.68 %|5.41 %|11.66 %|False|False
51|Megacoin|MEC|$ 464,619|$ 0.015296|30,374,745|$ 5,648|0.06 %|-1.06 %|4.14 %|False|False
52|VeriCoin|VRC|$ 463,851|$ 0.017017|27,258,801|$ 773|0.13 %|0.71 %|-17.28 %|False|False
53|Crypti|XCR|$ 462,736|$ 0.004627|100,000,000|$ 1,090|-0.40 %|-5.26 %|6.26 %|True|False
54|MMNXT|MMNXT|$ 457,779|$ 0.009156|50,000,000|$ 181|-0.01 %|-2.58 %|-2.43 %|True|False
55|Feathercoin|FTC|$ 453,364|$ 0.004792|94,607,909|$ 470|-0.20 %|-1.66 %|-4.66 %|False|False
56|Tether|USDT|$ 451,600|$ 1.00|451,600|$ 4,276|0.00 %|0.00 %|0.00 %|True|False
57|Quark|QRK|$ 420,210|$ 0.001686|249,301,184|$ 643|0.01 %|-6.43 %|-2.75 %|False|False
58|CloakCoin|CLOAK|$ 383,518|$ 0.083354|4,601,060|$ 152|1.81 %|3.92 %|-8.40 %|True|False
59|NXTventure|NXTV|$ 366,107|$ 0.366107|1,000,000|$ 18|0.02 %|-3.88 %|?|True|False
60|Hyper|HYPER|$ 362,108|$ 0.075327|4,807,132|$ 854|-0.13 %|2.68 %|-1.10 %|False|False
61|VPNCoin|VPN|$ 342,473|$ 0.000856|400,252,022|$ 776|0.09 %|-2.36 %|-7.81 %|True|False
62|Applecoin|APC|$ 323,744|$ 0.014527|22,286,048|$ 3,156|-0.45 %|-13.61 %|28.13 %|True|False
63|NautilusCoin|NAUT|$ 320,659|$ 0.060250|5,322,099|$ 612|-0.26 %|-17.85 %|-2.77 %|True|False
64|Zetacoin|ZET|$ 293,504|$ 0.001802|162,872,348|$ 60|-0.16 %|-0.43 %|-5.30 %|False|False
65|Unobtanium|UNO|$ 291,465|$ 1.49|195,833|$ 248|-0.11 %|-3.78 %|-3.73 %|False|False
66|BilShares|BILS|$ 287,593|$ 0.000288|1,000,000,000|$ 627|-0.90 %|1.07 %|7.85 %|True|False
67|ReddCoin|RDD|$ 282,180|$ 0.000010|27,770,900,641|$ 556|-0.60 %|-10.99 %|1.21 %|True|False
68|NetCoin|NET|$ 271,817|$ 0.000682|398,347,887|$ 1,758|2.25 %|32.55 %|33.94 %|False|False
69|ARCHcoin|ARCH|$ 270,938|$ 0.016501|16,420,005|$ 1,047|-0.04 %|-2.95 %|-29.83 %|True|False
70|MaxCoin|MAX|$ 268,083|$ 0.006466|41,459,435|$ 913|-0.22 %|-8.32 %|-9.32 %|False|False
71|AmberCoin|AMBER|$ 260,865|$ 0.032580|8,006,825|$ 35|0.28 %|-5.98 %|-4.95 %|False|True
72|DigiByte|DGB|$ 254,992|$ 0.000051|4,960,187,978|$ 5,350|-0.16 %|0.29 %|2.90 %|False|False
