Date|Open|High|Low|Close|Volume|Market Cap
Sep 15, 2017|0.649663|0.806311|0.605937|0.796994|49,444|9,518,310
Sep 14, 2017|0.725133|0.797201|0.644639|0.644639|26,665|10,624,000
Sep 13, 2017|0.820021|0.832883|0.674052|0.725356|22,314|12,014,200
Sep 12, 2017|0.836686|0.956210|0.812547|0.823151|25,956|12,258,400
Sep 11, 2017|0.827169|0.862422|0.739068|0.835885|22,450|12,119,000
Sep 10, 2017|0.892775|0.945694|0.825964|0.828575|24,857|13,080,200
Sep 09, 2017|0.837489|0.967328|0.793742|0.919224|49,424|12,270,200
Sep 08, 2017|0.880127|0.907514|0.768680|0.836089|28,814|12,894,900
Sep 07, 2017|0.916322|0.925531|0.839434|0.879951|36,114|13,425,200
Sep 06, 2017|0.887766|1.00|0.865415|0.918028|39,001|13,006,800
Sep 05, 2017|0.811192|0.910870|0.745052|0.886755|21,853|11,884,900
Sep 04, 2017|0.873251|0.873884|0.760008|0.806993|37,972|12,794,100
Sep 03, 2017|0.920537|0.941487|0.848728|0.872958|13,721|13,486,900
Sep 02, 2017|1.10|1.11|0.867305|0.919866|75,677|16,180,500
Sep 01, 2017|0.933281|1.15|0.922701|1.11|106,804|13,673,600
Aug 31, 2017|0.917047|0.952093|0.859964|0.933110|55,718|13,435,800
Aug 30, 2017|0.962004|0.992284|0.838586|0.918573|107,122|14,094,500
Aug 29, 2017|1.06|1.10|0.922134|0.963749|75,539|15,563,700
Aug 28, 2017|1.07|1.10|0.999066|1.06|34,558|15,604,600
Aug 27, 2017|1.05|1.16|0.981197|1.07|81,727|15,414,500
Aug 26, 2017|0.758488|1.18|0.755352|1.05|209,665|11,112,700
Aug 25, 2017|0.845609|0.855307|0.754314|0.758253|22,704|12,389,100
Aug 24, 2017|0.834207|0.993872|0.763494|0.845620|230,340|12,222,100
Aug 23, 2017|0.894394|1.00|0.816169|0.842766|71,390|13,103,900
Aug 22, 2017|0.862071|0.939478|0.779449|0.896221|193,207|12,630,300
Aug 21, 2017|0.655425|1.13|0.584629|0.875498|654,558|9,602,720
Aug 20, 2017|0.553106|0.685691|0.532800|0.653039|42,537|8,103,630
Aug 19, 2017|0.548781|0.585383|0.468100|0.556000|18,537|8,040,270
Aug 18, 2017|0.628577|0.648316|0.545981|0.549250|15,428|9,206,020
Aug 17, 2017|0.639398|0.653744|0.577017|0.630550|30,182|9,361,150
Aug 16, 2017|0.627752|0.680138|0.601893|0.639939|44,682|9,187,110
Aug 15, 2017|0.927251|0.941315|0.541592|0.622341|318,508|13,564,900
Aug 14, 2017|0.492118|1.05|0.428244|0.972784|636,034|7,196,670
Aug 13, 2017|0.468983|0.509811|0.441948|0.494048|25,187|6,856,050
Aug 12, 2017|0.443622|0.498673|0.437770|0.473643|17,738|6,483,030
Aug 11, 2017|0.415633|0.449880|0.409232|0.443969|11,924|6,071,510
Aug 10, 2017|0.435760|0.447311|0.405648|0.415658|27,030|6,363,000
Aug 09, 2017|0.414595|0.454173|0.387361|0.435718|25,490|6,051,960
Aug 08, 2017|0.403956|0.431786|0.377566|0.414873|7,043|5,894,600
Aug 07, 2017|0.387686|0.412164|0.380519|0.404165|13,029|5,655,040
Aug 06, 2017|0.404377|0.408697|0.369185|0.388554|11,738|5,896,430
Aug 05, 2017|0.379124|0.430698|0.351660|0.402643|31,615|5,526,410
Aug 04, 2017|0.410351|0.412793|0.361477|0.379292|20,364|5,979,290
Aug 03, 2017|0.354404|0.419757|0.341137|0.410454|10,892|5,162,170
Aug 02, 2017|0.384886|0.424028|0.339952|0.343803|8,624|5,604,020
Aug 01, 2017|0.418842|0.426659|0.344690|0.385711|15,731|6,096,070
Jul 31, 2017|0.447405|0.459554|0.368880|0.418640|23,954|6,509,520
Jul 30, 2017|0.421127|0.494921|0.370277|0.446947|13,082|6,125,180
Jul 29, 2017|0.406588|0.429966|0.374045|0.420749|22,783|5,911,930
Jul 28, 2017|0.413482|0.464597|0.360112|0.404891|25,068|6,009,920
Jul 27, 2017|0.437742|0.439720|0.378649|0.412232|8,462|6,360,850
Jul 26, 2017|0.430444|0.446019|0.359156|0.400648|13,266|6,252,820
Jul 25, 2017|0.453188|0.489262|0.399260|0.430249|28,462|6,580,520
Jul 24, 2017|0.531994|0.556424|0.452575|0.453237|11,326|7,720,180
