Date|Open|High|Low|Close|Volume|Market Cap
Sep 15, 2017|0.042667|0.056223|0.030261|0.049501|1,955,970|9,177,870
Sep 14, 2017|0.048270|0.067530|0.042116|0.044011|5,459,850|10,379,200
Sep 13, 2017|0.031974|0.060170|0.027459|0.048272|3,175,160|6,874,090
Sep 12, 2017|0.035226|0.036751|0.030115|0.032096|524,238|7,570,580
Sep 11, 2017|0.035704|0.037835|0.032804|0.035150|606,671|7,670,040
Sep 10, 2017|0.033437|0.042486|0.030820|0.036105|1,777,610|7,181,710
Sep 09, 2017|0.020452|0.036835|0.019970|0.033964|4,361,580|4,391,220
Sep 08, 2017|0.032524|0.034099|0.017833|0.020406|2,164,540|6,980,130
Sep 07, 2017|0.035615|0.036359|0.030738|0.033138|444,671|7,642,720
Sep 06, 2017|0.034108|0.038873|0.032086|0.035660|617,038|7,315,450
Sep 05, 2017|0.030648|0.038500|0.025696|0.034323|855,783|6,571,100
Sep 04, 2017|0.043624|0.044221|0.026846|0.030802|706,432|9,352,580
Sep 03, 2017|0.046034|0.047241|0.041449|0.043539|201,867|9,864,040
Sep 02, 2017|0.052056|0.052056|0.045022|0.046008|445,795|11,151,000
Sep 01, 2017|0.051724|0.053084|0.050309|0.051400|170,029|11,078,900
Aug 31, 2017|0.050377|0.052806|0.047678|0.051697|150,760|10,788,100
Aug 30, 2017|0.049376|0.051117|0.045727|0.050404|220,078|10,568,400
Aug 29, 2017|0.052030|0.053092|0.048841|0.050337|213,234|11,134,500
Aug 28, 2017|0.051554|0.052737|0.047214|0.051985|160,336|11,030,600
Aug 27, 2017|0.055009|0.055584|0.048635|0.050883|262,167|11,763,200
Aug 26, 2017|0.056897|0.058511|0.053721|0.055015|169,805|12,165,100
Aug 25, 2017|0.055926|0.059330|0.055493|0.056844|155,563|11,955,800
Aug 24, 2017|0.055668|0.056964|0.054463|0.055450|173,324|11,894,000
Aug 23, 2017|0.054224|0.059027|0.053197|0.056051|227,128|11,582,900
Aug 22, 2017|0.054088|0.054545|0.050631|0.054213|268,609|11,551,000
Aug 21, 2017|0.057552|0.057844|0.052718|0.054048|274,715|12,284,100
Aug 20, 2017|0.056883|0.058911|0.055726|0.057490|137,019|12,138,100
Aug 19, 2017|0.059188|0.062281|0.054218|0.056921|326,685|12,628,100
Aug 18, 2017|0.060130|0.065776|0.058479|0.059405|377,403|12,823,800
Aug 17, 2017|0.066031|0.066187|0.057894|0.060524|606,455|14,077,200
Aug 16, 2017|0.066960|0.073628|0.063807|0.066014|938,108|14,273,000
Aug 15, 2017|0.077359|0.104130|0.058657|0.066716|4,494,640|16,483,700
Aug 14, 2017|0.058105|0.080751|0.054097|0.076122|1,207,250|12,376,300
Aug 13, 2017|0.065915|0.066362|0.056811|0.058106|535,874|14,037,800
Aug 12, 2017|0.055796|0.067349|0.054930|0.065227|1,722,860|11,878,000
Aug 11, 2017|0.050395|0.057096|0.049714|0.055788|756,839|10,724,200
Aug 10, 2017|0.048318|0.053527|0.045369|0.051012|553,422|10,279,900
Aug 09, 2017|0.050374|0.050422|0.046781|0.048282|242,673|10,713,400
Aug 08, 2017|0.052970|0.052999|0.047296|0.050134|412,479|11,261,300
Aug 07, 2017|0.050360|0.055821|0.045841|0.051491|1,202,740|10,704,400
Aug 06, 2017|0.043358|0.057580|0.041814|0.050822|971,701|9,212,610
Aug 05, 2017|0.043265|0.044223|0.040370|0.043358|292,089|9,189,830
Aug 04, 2017|0.040248|0.044342|0.039963|0.043262|348,465|8,547,500
Aug 03, 2017|0.039780|0.040505|0.038595|0.040282|97,986|8,444,860
Aug 02, 2017|0.038510|0.040927|0.038510|0.039804|97,507|8,172,710
Aug 01, 2017|0.038625|0.039693|0.035487|0.039142|122,341|8,195,720
Jul 31, 2017|0.037865|0.039747|0.037359|0.038482|67,230|8,031,290
Jul 30, 2017|0.038128|0.039216|0.036315|0.037878|64,639|8,083,910
Jul 29, 2017|0.039085|0.039985|0.034932|0.038135|107,330|8,286,080
Jul 28, 2017|0.040915|0.042343|0.038546|0.039317|282,317|8,671,630
Jul 27, 2017|0.037793|0.040949|0.037751|0.040101|209,409|8,005,830
Jul 26, 2017|0.038165|0.040284|0.034326|0.040186|220,983|8,083,490
Jul 25, 2017|0.042257|0.043040|0.036264|0.038162|348,814|8,948,830
Jul 24, 2017|0.041713|0.043569|0.040258|0.042260|366,127|8,828,500
Jul 23, 2017|0.049266|0.050896|0.037409|0.041475|1,062,460|10,425,500
Jul 22, 2017|0.043190|0.049367|0.041704|0.049367|707,570|9,138,480
Jul 21, 2017|0.044308|0.047999|0.040097|0.043183|659,691|9,369,870
Jul 20, 2017|0.037822|0.045874|0.037064|0.044815|637,346|7,997,470
Jul 19, 2017|0.039783|0.044347|0.035348|0.037805|696,152|8,411,640
Jul 18, 2017|0.034886|0.041220|0.032752|0.039748|432,826|7,371,750
Jul 17, 2017|0.027613|0.036919|0.027604|0.034862|278,277|5,833,650
Jul 16, 2017|0.029384|0.031754|0.026351|0.027506|141,637|6,207,190
Jul 15, 2017|0.031649|0.032421|0.028158|0.029389|197,255|6,682,270
Jul 14, 2017|0.035662|0.036173|0.030520|0.031591|151,282|7,527,540
Jul 13, 2017|0.040366|0.040854|0.035324|0.035653|212,849|8,519,320
Jul 12, 2017|0.034800|0.039962|0.033623|0.039962|212,416|7,341,780
Jul 11, 2017|0.038596|0.040122|0.033721|0.034813|376,553|8,139,860
Jul 10, 2017|0.042902|0.045366|0.037879|0.039208|283,998|9,046,380
Jul 09, 2017|0.046735|0.051351|0.042101|0.043926|468,297|9,851,700
Jul 08, 2017|0.041385|0.046893|0.035872|0.046452|707,727|8,719,970
Jul 07, 2017|0.049573|0.051574|0.040516|0.041407|907,906|10,444,500
Jul 06, 2017|0.057527|0.058278|0.049159|0.052275|410,365|12,116,300
Jul 05, 2017|0.060393|0.060393|0.055546|0.058403|309,306|12,713,200
Jul 04, 2017|0.062232|0.063307|0.059274|0.060390|393,127|13,099,900
Jul 03, 2017|0.060098|0.064930|0.057227|0.062317|681,019|12,646,300
Jul 02, 2017|0.056664|0.062796|0.052638|0.060225|956,650|11,918,200
Jul 01, 2017|0.065985|0.069474|0.056999|0.056999|732,245|13,878,000
Jun 30, 2017|0.067034|0.068805|0.064095|0.065827|624,742|14,095,300
Jun 29, 2017|0.072143|0.074952|0.064039|0.066895|1,100,590|15,160,700
Jun 28, 2017|0.067367|0.073736|0.060246|0.072057|1,774,160|14,156,300
Jun 27, 2017|0.072057|0.072948|0.054105|0.067002|2,294,430|15,136,800
Jun 26, 2017|0.070790|0.091740|0.062655|0.072673|4,346,160|14,863,300
Jun 25, 2017|0.071758|0.078393|0.066282|0.069520|2,402,220|15,062,900
Jun 24, 2017|0.090552|0.093441|0.071716|0.071716|4,465,890|19,006,300
Jun 23, 2017|0.118498|0.119862|0.081478|0.090641|9,007,730|24,859,800
Jun 22, 2017|0.059887|0.125615|0.059851|0.119933|16,921,500|12,561,800
Jun 21, 2017|0.031820|0.066164|0.031820|0.059814|6,849,340|6,672,360
Jun 20, 2017|0.038020|0.039454|0.032125|0.032976|918,114|7,968,280
Jun 19, 2017|0.028195|0.038572|0.027752|0.036810|1,511,580|5,908,400
Jun 18, 2017|0.032215|0.032215|0.027737|0.028424|379,787|6,749,810
Jun 17, 2017|0.028050|0.032475|0.028050|0.032021|579,462|5,873,310
Jun 16, 2017|0.030135|0.031097|0.027252|0.028085|515,394|6,309,320
Jun 15, 2017|0.029048|0.031770|0.025426|0.030174|986,947|6,080,560
Jun 14, 2017|0.032258|0.039937|0.027939|0.029618|2,286,820|6,748,290
Jun 13, 2017|0.023201|0.034640|0.022876|0.032245|2,074,550|4,853,300
Jun 12, 2017|0.022467|0.026778|0.021971|0.023190|585,824|4,698,710
Jun 11, 2017|0.022841|0.023258|0.021769|0.022423|237,560|4,773,880
Jun 10, 2017|0.024902|0.025188|0.022813|0.023035|274,764|5,204,240
Jun 09, 2017|0.023837|0.025709|0.022761|0.025178|283,758|4,980,780
Jun 08, 2017|0.022277|0.024451|0.020647|0.023985|590,388|4,651,650
Jun 07, 2017|0.027876|0.028244|0.021871|0.022400|779,419|5,820,390
Jun 06, 2017|0.023097|0.028568|0.021463|0.028432|1,256,780|4,821,820
Jun 05, 2017|0.019727|0.024966|0.019482|0.023455|510,940|4,115,340
Jun 04, 2017|0.019379|0.019922|0.018798|0.019780|153,475|4,042,470
Jun 03, 2017|0.020923|0.021417|0.018407|0.019369|246,181|4,363,860
Jun 02, 2017|0.017762|0.021549|0.017762|0.020565|416,498|3,702,260
Jun 01, 2017|0.017199|0.018264|0.017039|0.017759|101,967|3,584,480
May 31, 2017|0.016541|0.017612|0.015975|0.016936|94,167|3,446,590
May 30, 2017|0.017036|0.018162|0.016507|0.016522|93,786|3,547,970
May 29, 2017|0.016477|0.017622|0.016080|0.017021|65,368|3,430,860
May 28, 2017|0.018078|0.019618|0.016144|0.016502|210,209|3,763,350
May 27, 2017|0.016929|0.018177|0.014432|0.017919|311,315|3,522,740
May 26, 2017|0.017937|0.021605|0.016139|0.016143|359,112|3,731,280
May 25, 2017|0.030746|0.031133|0.016733|0.017705|863,368|6,394,800
May 24, 2017|0.027154|0.030881|0.024093|0.030881|1,523,630|5,645,430
May 23, 2017|0.020690|0.027539|0.019914|0.027349|738,261|4,300,050
May 22, 2017|0.018894|0.022150|0.018212|0.020575|492,470|3,926,130
May 21, 2017|0.017708|0.019453|0.016964|0.019054|310,787|3,678,220
May 20, 2017|0.018382|0.018610|0.017096|0.017709|81,374|3,816,950
May 19, 2017|0.016948|0.018729|0.016478|0.018301|105,272|3,518,810
May 18, 2017|0.015888|0.017467|0.015635|0.016940|158,444|3,297,740
May 17, 2017|0.015641|0.016339|0.014681|0.016079|95,809|3,244,690
May 16, 2017|0.015545|0.016333|0.013940|0.015614|117,435|3,224,660
May 15, 2017|0.017821|0.018060|0.014854|0.015479|214,267|3,695,560
May 14, 2017|0.017972|0.019102|0.017661|0.017827|54,885|3,724,720
May 13, 2017|0.019572|0.020860|0.017737|0.017967|144,788|4,055,940
May 12, 2017|0.021827|0.021872|0.018921|0.019612|3,256|4,522,260
May 11, 2017|0.021668|0.023683|0.021066|0.021805|4,974|4,486,620
May 10, 2017|0.024639|0.024709|0.021267|0.021630|7,607|5,101,290
May 09, 2017|0.022184|0.028862|0.021286|0.024622|10,046|4,592,090
May 08, 2017|0.017311|0.045894|0.015465|0.022177|37,771|3,581,090
May 07, 2017|0.016788|0.017613|0.015159|0.017309|8,553|3,472,590
May 06, 2017|0.017273|0.018160|0.014274|0.016781|4,612|3,571,910
May 05, 2017|0.016562|0.017475|0.012416|0.017258|7,701|3,422,900
May 04, 2017|0.014897|0.016793|0.014658|0.016528|7,352|3,078,390
May 03, 2017|0.018260|0.020166|0.014077|0.014891|22,290|3,772,340
May 02, 2017|0.017700|0.029986|0.013576|0.018262|126,801|3,654,440
May 01, 2017|0.016668|0.018560|0.014290|0.017707|7,703|3,441,040
Apr 30, 2017|0.017247|0.018546|0.016354|0.016663|3,575|3,559,750
Apr 29, 2017|0.016716|0.017580|0.015047|0.017246|3,688|3,448,070
Apr 28, 2017|0.014777|0.016841|0.013316|0.016699|3,367|3,047,770
Apr 27, 2017|0.016412|0.016526|0.013485|0.014777|4,417|3,384,210
Apr 26, 2017|0.013478|0.016423|0.011470|0.016399|4,311|2,777,300
Apr 25, 2017|0.014277|0.022101|0.012868|0.013473|14,124|2,941,820
Apr 24, 2017|0.015365|0.015409|0.012498|0.014273|3,056|3,165,340
Apr 23, 2017|0.012667|0.016146|0.012356|0.015335|5,026|2,607,740
Apr 22, 2017|0.013238|0.013336|0.012431|0.012662|2,577|2,725,100
Apr 21, 2017|0.013487|0.015787|0.012697|0.013197|3,194|2,776,100
Apr 20, 2017|0.012365|0.015595|0.011701|0.013484|5,531|2,543,190
Apr 19, 2017|0.010860|0.013705|0.010755|0.012356|5,168|2,233,210
Apr 18, 2017|0.013518|0.013530|0.010053|0.010836|7,943|2,779,510
Apr 17, 2017|0.015027|0.024670|0.011567|0.013331|26,126|3,087,970
Apr 16, 2017|0.012468|0.015830|0.012439|0.015023|8,997|2,561,230
Apr 15, 2017|0.012001|0.012720|0.011983|0.012467|2,465|2,465,090
Apr 14, 2017|0.012798|0.012800|0.011945|0.012004|3,355|2,627,920
Apr 13, 2017|0.011612|0.013153|0.011400|0.012786|3,367|2,382,860
Apr 12, 2017|0.012575|0.013338|0.010826|0.011660|3,282|2,580,270
Apr 11, 2017|0.011262|0.012605|0.011149|0.012577|2,401|2,310,010
Apr 10, 2017|0.013731|0.013731|0.009796|0.011258|3,709|2,814,570
Apr 09, 2017|0.011862|0.013806|0.011862|0.013737|2,771|2,431,310
Apr 08, 2017|0.011862|0.013293|0.011509|0.011856|3,773|2,430,930
Apr 07, 2017|0.016089|0.016089|0.011700|0.011905|3,525|3,294,750
Apr 06, 2017|0.017587|0.017723|0.013561|0.016140|8,031|3,601,090
Apr 05, 2017|0.016390|0.018691|0.013203|0.017571|2,767|3,355,560
Apr 04, 2017|0.015501|0.016612|0.013218|0.016378|2,729|3,171,110
Apr 03, 2017|0.014269|0.015751|0.013726|0.015478|2,730|2,918,660
Apr 02, 2017|0.012654|0.015036|0.012091|0.014259|4,146|2,588,090
Apr 01, 2017|0.011717|0.013471|0.011551|0.012653|4,727|2,394,650
Mar 31, 2017|0.014034|0.014338|0.010431|0.011718|5,975|2,867,620
Mar 30, 2017|0.010785|0.014231|0.010741|0.014031|3,811|2,203,560
Mar 29, 2017|0.011084|0.011084|0.010464|0.010762|2,221|2,262,920
Mar 28, 2017|0.010934|0.011200|0.010562|0.011096|2,288|2,232,000
Mar 27, 2017|0.010228|0.010953|0.010161|0.010947|2,084|2,087,410
Mar 26, 2017|0.011705|0.011705|0.009855|0.010172|1,978|2,387,030
Mar 25, 2017|0.009921|0.011726|0.009675|0.011690|2,643|2,022,850
Mar 24, 2017|0.012732|0.012737|0.009898|0.009931|2,277|2,595,860
Mar 23, 2017|0.011160|0.014509|0.010892|0.012734|2,613|2,273,790
Mar 22, 2017|0.008683|0.011425|0.008278|0.011151|2,199|1,768,490
Mar 21, 2017|0.010080|0.010576|0.007268|0.008682|2,515|2,053,070
Mar 20, 2017|0.009088|0.010659|0.009083|0.010070|2,323|1,849,790
Mar 19, 2017|0.009377|0.009624|0.008620|0.009083|4,371|1,907,980
Mar 18, 2017|0.010391|0.010981|0.009192|0.009349|1,741|2,114,070
Mar 17, 2017|0.011307|0.011307|0.010390|0.010396|2,833|2,299,120
Mar 16, 2017|0.012386|0.012428|0.011042|0.011380|3,074|2,518,190
Mar 15, 2017|0.012030|0.012370|0.011322|0.012369|3,173|2,445,000
Mar 14, 2017|0.011927|0.012135|0.010889|0.012029|3,131|2,422,630
Mar 13, 2017|0.012083|0.012152|0.011753|0.011925|3,129|2,454,240
Mar 12, 2017|0.011269|0.012135|0.011257|0.012079|3,332|2,288,210
Mar 11, 2017|0.006728|0.011413|0.006728|0.011262|2,956|1,365,960
Mar 10, 2017|0.011732|0.012554|0.006482|0.006731|3,001|2,380,690
Mar 09, 2017|0.011216|0.011835|0.011127|0.011724|4,177|2,275,280
Mar 08, 2017|0.012119|0.012172|0.011075|0.011213|3,783|2,458,380
Mar 07, 2017|0.012646|0.012653|0.011936|0.012122|3,934|2,563,710
Mar 06, 2017|0.012670|0.012687|0.012533|0.012642|4,164|2,568,060
Mar 05, 2017|0.013170|0.013581|0.012476|0.012667|4,062|2,668,940
Mar 04, 2017|0.013413|0.013434|0.012920|0.013179|4,087|2,716,660
Mar 03, 2017|0.013562|0.013652|0.012735|0.013388|4,157|2,746,320
Mar 02, 2017|0.012164|0.013806|0.012152|0.013565|4,225|2,461,220
Mar 01, 2017|0.011707|0.016585|0.011705|0.012142|3,967|2,368,850
Feb 28, 2017|0.013096|0.013186|0.011704|0.011707|3,803|2,649,350
Feb 27, 2017|0.014023|0.014188|0.011673|0.013087|3,879|2,836,870
Feb 26, 2017|0.012827|0.014189|0.012704|0.014041|3,692|2,589,270
Feb 25, 2017|0.014007|0.014812|0.012592|0.012822|3,379|2,827,390
Feb 24, 2017|0.015843|0.015883|0.014041|0.014046|3,991|3,197,480
Feb 23, 2017|0.015149|0.015896|0.015070|0.015762|3,954|3,057,220
Feb 22, 2017|0.015135|0.015248|0.014943|0.015152|2,775|3,054,210
Feb 21, 2017|0.014904|0.015168|0.014249|0.015142|3,976|3,132,930
Feb 20, 2017|0.013140|0.015392|0.013052|0.014914|4,327|2,762,110
Feb 19, 2017|0.020937|0.020937|0.013071|0.013130|3,528|4,401,050
Feb 18, 2017|0.014825|0.015012|0.011858|0.014351|3,619|3,116,340
Feb 17, 2017|0.011503|0.015160|0.011497|0.014783|3,663|2,417,940
Feb 16, 2017|0.015598|0.020131|0.011427|0.011518|3,468|3,278,850
Feb 15, 2017|0.015234|0.015617|0.012031|0.015596|3,295|3,202,250
Feb 14, 2017|0.015798|0.015812|0.014942|0.015209|3,282|3,320,870
Feb 13, 2017|0.009909|0.016287|0.009909|0.015781|3,237|2,082,900
Feb 12, 2017|0.017311|0.017420|0.009899|0.009912|3,329|3,638,790
Feb 11, 2017|0.018295|0.018302|0.016989|0.017327|3,019|3,845,610
Feb 10, 2017|0.009986|0.019500|0.004862|0.018291|2,887|2,099,140
Feb 09, 2017|0.014373|0.017987|0.009593|0.009974|3,138|3,021,350
Feb 08, 2017|0.018548|0.020010|0.014226|0.014351|3,494|3,898,890
Feb 07, 2017|0.020803|0.020838|0.014178|0.018531|3,005|4,372,840
Feb 06, 2017|0.022882|0.022978|0.018589|0.020763|2,213|4,809,880
Feb 05, 2017|0.020714|0.023192|0.016658|0.022858|3,724|4,354,150
Feb 04, 2017|0.023092|0.023151|0.020299|0.020702|3,417|4,853,940
Feb 03, 2017|0.022050|0.023062|0.020420|0.023060|3,350|4,634,960
Feb 02, 2017|0.022223|0.022365|0.014893|0.022057|8,327|4,671,440
Feb 01, 2017|0.007821|0.022605|0.007821|0.022225|7,240|1,644,100
Jan 31, 2017|0.016567|0.021099|0.007702|0.007821|7,016|3,482,440
Jan 30, 2017|0.019309|0.019334|0.007382|0.016573|6,198|4,058,920
Jan 29, 2017|0.021197|0.021223|0.017483|0.019310|4,430|4,455,620
Jan 28, 2017|0.012877|0.021196|0.012877|0.021196|4,360|2,706,700
Jan 27, 2017|0.020792|0.020902|0.012864|0.012877|3,699|4,370,680
Jan 26, 2017|0.021657|0.035351|0.017270|0.020792|5,455|4,552,500
Jan 25, 2017|0.038377|0.038840|0.014994|0.021637|4,083|8,066,930
Jan 24, 2017|0.038248|0.039589|0.015715|0.038359|4,223|8,039,980
Jan 23, 2017|0.004633|0.038838|0.004599|0.038707|4,064|973,795
Jan 22, 2017|0.041480|0.041934|0.004588|0.004627|4,097|8,719,380
Jan 21, 2017|0.019073|0.041567|0.018006|0.041482|3,909|4,009,230
Jan 20, 2017|0.019438|0.019438|0.018880|0.019073|4,007|4,085,950
Jan 19, 2017|0.018850|0.019630|0.018850|0.019446|3,751|3,962,250
Jan 18, 2017|0.022834|0.023038|0.018247|0.018850|3,462|4,799,890
Jan 17, 2017|0.025778|0.025790|0.020941|0.022784|4,015|5,418,560
Jan 16, 2017|0.022591|0.025870|0.021680|0.025771|3,576|4,748,770
Jan 15, 2017|0.022343|0.022633|0.021928|0.022592|3,493|4,696,510
Jan 14, 2017|0.018661|0.022677|0.018149|0.022351|3,427|3,922,650
Jan 13, 2017|0.019858|0.020313|0.018521|0.018661|182,716|4,174,130
Jan 12, 2017|0.018205|0.020525|0.016941|0.019712|260,440|3,826,790
Jan 11, 2017|0.022436|0.022437|0.017472|0.018033|424,514|4,716,100
Jan 10, 2017|0.022239|0.022561|0.021166|0.022437|212,692|4,674,840
Jan 09, 2017|0.025116|0.025448|0.021091|0.022239|586,172|5,279,430
Jan 08, 2017|0.021333|0.026472|0.020669|0.025116|1,689,490|4,484,190
Jan 07, 2017|0.018656|0.021648|0.015357|0.020942|786,496|3,921,640
Jan 06, 2017|0.019816|0.021454|0.017358|0.018656|284,020|4,165,490
Jan 05, 2017|0.022195|0.022765|0.018133|0.019816|732,496|4,665,440
Jan 04, 2017|0.028181|0.028736|0.021816|0.022467|818,406|5,923,830
Jan 03, 2017|0.029425|0.029857|0.027348|0.028053|333,576|6,185,330
Jan 02, 2017|0.026998|0.033629|0.026842|0.029424|954,662|5,674,990
Jan 01, 2017|0.029346|0.030230|0.025953|0.026997|608,884|6,168,640
Dec 31, 2016|0.033153|0.033597|0.029341|0.029761|408,354|6,968,910
Dec 30, 2016|0.034660|0.035391|0.030582|0.033153|622,107|7,285,620
Dec 29, 2016|0.040664|0.040708|0.029385|0.034530|2,195,020|8,547,860
Dec 28, 2016|0.040283|0.049745|0.039878|0.040708|2,732,440|8,467,620
Dec 27, 2016|0.038466|0.043440|0.034556|0.040268|1,508,200|8,085,680
Dec 26, 2016|0.047081|0.047081|0.033978|0.038595|2,635,860|9,896,660
Dec 25, 2016|0.037135|0.056421|0.033826|0.046578|6,905,480|7,806,000
Dec 24, 2016|0.017708|0.040155|0.017434|0.037740|3,323,530|3,722,240
Dec 23, 2016|0.016690|0.019143|0.014220|0.017995|525,865|3,508,400
Dec 22, 2016|0.020798|0.021317|0.014526|0.016691|808,143|4,371,920
Dec 21, 2016|0.013223|0.022416|0.013180|0.020784|1,727,550|2,779,580
Dec 20, 2016|0.012454|0.014390|0.011026|0.013166|557,709|2,617,800
Dec 19, 2016|0.009198|0.012956|0.009198|0.012439|391,376|1,933,550
Dec 18, 2016|0.008628|0.010632|0.008037|0.009198|145,288|1,813,560
Dec 17, 2016|0.008934|0.009755|0.008370|0.008628|82,153|1,877,940
Dec 16, 2016|0.009187|0.009316|0.008397|0.008933|34,330|1,931,220
Dec 15, 2016|0.009422|0.009738|0.008849|0.009185|31,697|1,980,620
Dec 14, 2016|0.010070|0.010767|0.009277|0.009422|67,752|2,116,650
Dec 13, 2016|0.008577|0.010979|0.008577|0.010157|86,102|1,802,980
Dec 12, 2016|0.008318|0.009098|0.008317|0.008593|34,993|1,748,560
Dec 11, 2016|0.008701|0.009129|0.008146|0.008335|62,997|1,828,970
Dec 10, 2016|0.009196|0.009355|0.008397|0.008773|54,968|1,933,140
Dec 09, 2016|0.009324|0.009845|0.009014|0.009195|47,989|1,959,840
Dec 08, 2016|0.009316|0.009719|0.009066|0.009325|38,672|1,958,240
Dec 07, 2016|0.009781|0.010042|0.008999|0.009316|64,320|2,056,110
Dec 06, 2016|0.009941|0.010711|0.009477|0.009773|112,132|2,089,690
Dec 05, 2016|0.011120|0.011338|0.009508|0.010218|160,666|2,337,490
Dec 04, 2016|0.012201|0.012986|0.010764|0.011112|310,341|2,564,770
Dec 03, 2016|0.009106|0.014218|0.009106|0.012579|1,112,960|1,914,150
Dec 02, 2016|0.007333|0.009269|0.007333|0.008772|231,073|1,541,350
Dec 01, 2016|0.007288|0.007581|0.006938|0.007334|39,989|1,531,980
Nov 30, 2016|0.007537|0.007682|0.007248|0.007288|18,217|1,584,340
Nov 29, 2016|0.007190|0.007747|0.006993|0.007537|18,398|1,511,360
Nov 28, 2016|0.006836|0.007199|0.006836|0.007191|9,830|1,436,950
Nov 27, 2016|0.007413|0.007601|0.006764|0.006836|16,925|1,558,300
Nov 26, 2016|0.007776|0.008253|0.007399|0.007413|34,750|1,634,480
Nov 25, 2016|0.007086|0.008068|0.006797|0.007776|56,558|1,489,480
Nov 24, 2016|0.006161|0.007489|0.006161|0.007088|53,116|1,295,060
Nov 23, 2016|0.006343|0.006427|0.005748|0.006165|9,533|1,333,250
Nov 22, 2016|0.006690|0.006791|0.006109|0.006343|13,400|1,406,230
Nov 21, 2016|0.006925|0.006925|0.006670|0.006689|13,073|1,455,650
Nov 20, 2016|0.006781|0.007042|0.006781|0.006925|14,245|1,425,300
Nov 19, 2016|0.007180|0.007253|0.006781|0.006781|12,677|1,509,370
