Date|Open|High|Low|Close|Volume|Market Cap
Sep 15, 2017|2.66|3.17|2.42|3.10|86,889|9,274,400
Sep 14, 2017|3.38|3.63|2.62|2.62|337,665|11,785,600
Sep 13, 2017|3.71|3.75|3.22|3.38|122,430|12,937,100
Sep 12, 2017|3.76|3.97|3.63|3.74|126,438|13,095,300
Sep 11, 2017|3.65|4.09|3.53|3.77|253,856|12,691,600
Sep 10, 2017|3.81|3.81|3.45|3.65|80,097|13,257,500
Sep 09, 2017|3.94|4.04|3.73|3.82|85,245|13,691,900
Sep 08, 2017|4.30|4.40|3.77|3.90|145,958|14,958,000
Sep 07, 2017|4.26|4.91|4.01|4.35|502,281|14,821,300
Sep 06, 2017|3.92|4.31|3.89|4.27|158,282|13,614,500
Sep 05, 2017|3.77|3.99|3.40|3.91|111,627|13,085,600
Sep 04, 2017|4.20|4.25|3.47|3.75|260,792|14,596,000
Sep 03, 2017|4.10|4.29|3.96|4.20|151,089|14,235,700
Sep 02, 2017|4.64|4.84|3.97|4.08|360,844|16,105,300
Sep 01, 2017|4.38|5.35|4.22|4.70|940,346|15,172,400
Aug 31, 2017|4.03|4.45|3.91|4.38|330,637|13,974,700
Aug 30, 2017|3.88|4.20|3.83|4.04|237,146|13,433,800
Aug 29, 2017|4.27|4.48|3.86|3.88|552,673|14,800,900
Aug 28, 2017|4.11|5.05|3.94|4.27|1,046,910|14,244,300
Aug 27, 2017|3.98|4.17|3.88|4.10|210,349|13,772,300
Aug 26, 2017|4.04|4.12|3.73|3.97|456,355|13,972,700
Aug 25, 2017|4.72|5.07|3.97|4.06|790,201|16,330,400
Aug 24, 2017|4.81|5.81|4.56|4.71|3,941,380|16,620,600
Aug 23, 2017|2.93|7.31|2.88|4.91|7,900,150|10,122,500
Aug 22, 2017|3.02|3.05|2.69|2.93|155,117|10,423,800
Aug 21, 2017|2.99|3.57|2.94|3.01|476,284|10,330,600
Aug 20, 2017|3.06|3.19|2.87|3.00|120,491|10,573,600
Aug 19, 2017|2.91|3.12|2.85|3.08|190,147|10,049,300
Aug 18, 2017|3.19|3.20|2.80|2.94|223,734|11,000,900
Aug 17, 2017|3.69|3.69|3.08|3.19|272,130|12,725,800
Aug 16, 2017|3.60|4.49|3.45|3.72|947,318|12,413,900
Aug 15, 2017|2.75|4.04|2.66|3.57|842,185|9,461,170
Aug 14, 2017|3.29|3.32|2.53|2.71|208,593|11,342,400
Aug 13, 2017|3.22|3.41|2.98|3.29|211,128|11,092,400
Aug 12, 2017|3.58|3.64|3.14|3.24|170,416|12,322,700
Aug 11, 2017|3.64|3.65|3.22|3.59|336,566|12,524,000
Aug 10, 2017|3.85|4.02|3.60|3.63|266,506|13,238,100
Aug 09, 2017|4.11|4.13|3.79|3.85|95,726|14,119,200
Aug 08, 2017|3.88|4.11|3.63|4.11|231,819|13,329,700
Aug 07, 2017|4.07|4.11|3.61|3.88|252,035|13,982,500
Aug 06, 2017|4.42|4.49|3.85|4.08|158,165|15,188,000
Aug 05, 2017|4.06|4.54|3.82|4.42|335,212|13,919,500
Aug 04, 2017|3.74|4.11|3.65|3.99|195,875|12,826,600
Aug 03, 2017|3.33|3.92|3.32|3.74|195,146|11,432,700
Aug 02, 2017|3.28|3.42|3.20|3.37|83,284|11,237,600
Aug 01, 2017|2.81|3.31|2.72|3.28|91,297|9,614,200
Jul 31, 2017|2.98|2.98|2.67|2.76|58,898|10,213,400
