Date|Open|High|Low|Close|Volume|Market Cap
Sep 15, 2017|2.62|3.77|1.31|2.78|150,291|9,864,200
Sep 14, 2017|4.10|4.14|2.63|2.63|107,145|15,438,900
Sep 13, 2017|6.01|6.01|3.63|4.10|183,203|22,606,500
Sep 12, 2017|4.93|6.05|4.92|6.00|6,181|18,546,400
Sep 11, 2017|5.01|5.18|4.43|4.94|193,509|18,868,100
Sep 10, 2017|4.72|5.29|3.96|5.02|201,266|17,769,200
Sep 09, 2017|4.37|5.26|4.17|4.72|407,536|16,440,000
Sep 08, 2017|5.84|5.85|4.28|4.37|591,379|21,975,000
Sep 07, 2017|6.63|6.63|5.69|5.84|457,133|24,969,800
Sep 06, 2017|4.75|6.54|4.75|6.54|775,104|17,876,200
Sep 05, 2017|4.45|5.02|3.88|4.75|667,073|16,744,000
Sep 04, 2017|5.97|6.18|4.37|4.45|176,519|22,463,300
Sep 03, 2017|5.87|6.50|5.37|5.97|409,942|22,075,700
Sep 02, 2017|6.78|7.29|5.69|5.88|417,526|25,498,500
Sep 01, 2017|5.82|6.74|5.45|6.74|865,781|21,879,000
Aug 31, 2017|5.45|6.08|5.32|5.82|610,328|20,486,500
Aug 30, 2017|5.70|5.70|4.57|5.45|614,296|21,426,500
Aug 29, 2017|5.78|5.84|5.34|5.70|1,169,420|21,715,900
Aug 28, 2017|5.70|5.93|5.24|5.78|614,246|21,425,300
Aug 27, 2017|5.71|5.74|5.22|5.70|165,762|21,472,700
Aug 26, 2017|5.40|5.80|5.00|5.71|210,401|20,295,800
Aug 25, 2017|5.00|5.80|4.57|5.40|564,800|18,797,900
Aug 24, 2017|6.28|6.68|4.65|5.00|356,835|23,596,100
Aug 23, 2017|5.43|6.42|5.05|6.28|586,909|20,421,900
Aug 22, 2017|5.66|6.23|3.68|5.44|549,481|21,266,000
Aug 21, 2017|7.57|7.85|5.54|5.66|664,263|28,420,100
Aug 20, 2017|7.16|8.43|5.72|7.57|286,453|26,908,600
Aug 19, 2017|6.69|7.68|6.17|7.17|352,996|25,121,500
Aug 18, 2017|6.59|7.57|5.83|6.69|413,292|24,736,600
Aug 17, 2017|8.10|8.18|4.89|6.59|571,800|30,397,600
Aug 16, 2017|10.17|10.63|7.92|8.10|507,643|38,172,000
Aug 15, 2017|9.83|10.92|9.09|10.17|645,666|36,892,900
Aug 14, 2017|10.05|10.65|8.76|9.83|618,864|37,685,000
Aug 13, 2017|11.71|11.98|8.67|10.05|152,824|43,852,100
Aug 12, 2017|12.23|12.59|10.58|11.71|412,371|45,743,400
Aug 11, 2017|11.50|12.60|10.80|12.23|413,953|43,016,700
Aug 10, 2017|10.44|12.75|8.96|11.50|637,050|38,900,400
Aug 09, 2017|12.06|12.06|10.33|10.44|1,105,220|44,916,900
Aug 08, 2017|10.04|12.78|9.81|12.06|1,376,100|37,394,700
Aug 07, 2017|10.85|12.34|9.96|10.04|593,748|40,414,400
Aug 06, 2017|10.91|10.99|9.95|10.85|229,948|40,408,500
Aug 05, 2017|10.06|12.18|9.58|10.91|14,262|37,272,700
Aug 04, 2017|8.23|10.95|8.23|10.11|789,098|30,498,700
Aug 03, 2017|9.97|10.28|7.99|8.24|5,246|36,938,100
Aug 02, 2017|8.75|10.42|8.52|10.02|439,491|32,401,700
Aug 01, 2017|6.67|9.78|6.19|8.75|150,998|24,678,900
Jul 31, 2017|8.69|9.29|4.39|6.66|21,857|32,159,600
Jul 30, 2017|8.59|9.60|8.26|8.69|23,825|31,787,800
Jul 29, 2017|11.08|11.24|5.35|8.59|44,782|41,007,300
Jul 28, 2017|8.03|11.33|5.63|11.08|72,127|29,620,200
Jul 27, 2017|7.14|8.08|5.36|8.00|7,289|26,335,700
Jul 26, 2017|7.19|7.90|5.13|7.12|30,066|26,533,200
Jul 25, 2017|8.82|8.88|5.98|7.19|12,342|32,554,100
Jul 24, 2017|8.93|9.00|7.95|8.83|16,223|32,922,000
Jul 23, 2017|9.28|9.36|8.10|8.94|6,571|34,219,400
Jul 22, 2017|8.76|9.31|7.41|9.28|8,099|32,318,000
Jul 21, 2017|8.89|9.84|7.26|8.77|21,267|32,793,200
Jul 20, 2017|6.09|9.10|6.09|8.83|9,837|22,458,400
Jul 19, 2017|7.74|8.88|6.03|6.10|6,171|28,531,900
Jul 18, 2017|7.25|8.39|6.83|7.73|6,764|26,704,400
Jul 17, 2017|5.43|7.24|5.43|7.23|4,488|19,991,200
Jul 16, 2017|5.92|6.64|4.03|5.43|8,907|21,795,300
Jul 15, 2017|7.62|7.63|5.86|5.94|2,209|28,060,700
Jul 14, 2017|4.68|8.80|4.59|7.64|8,547|17,227,600
Jul 13, 2017|6.24|6.25|4.42|4.69|21,287|22,946,500
Jul 12, 2017|6.45|6.98|5.00|6.23|31,006|23,706,700
Jul 11, 2017|7.52|8.32|6.45|6.46|6,682|27,628,400
Jul 10, 2017|8.18|9.02|6.99|7.53|5,637|30,046,400
Jul 09, 2017|8.38|8.41|7.22|8.16|3,645|30,790,400
Jul 08, 2017|7.91|9.25|7.33|8.37|8,647|29,050,700
Jul 07, 2017|10.02|10.04|7.45|7.90|7,462|36,799,700
Jul 06, 2017|10.05|10.25|8.64|10.01|17,080|36,895,600
Jul 05, 2017|11.48|11.48|9.67|10.04|8,218|42,138,200
Jul 04, 2017|9.36|12.65|9.36|11.48|20,324|34,359,900
Jul 03, 2017|10.73|12.31|8.59|9.38|19,936|39,358,900
Jul 02, 2017|7.26|11.98|6.42|10.77|23,492|26,607,300
Jul 01, 2017|9.04|10.08|6.77|7.26|4,238|33,108,100
Jun 30, 2017|9.73|13.38|4.76|9.01|17,737|35,633,600
Jun 29, 2017|10.58|14.61|7.91|9.72|36,324|38,691,700
Jun 28, 2017|16.27|16.27|9.33|10.59|10,991|59,482,100
Jun 27, 2017|9.71|16.16|8.03|16.16|58,054|35,293,000
Jun 26, 2017|13.13|17.69|9.50|9.50|19,036|47,709,600
Jun 25, 2017|18.81|23.44|12.45|13.15|30,563|68,327,700
Jun 24, 2017|19.64|19.86|16.52|18.79|1,828|71,299,900
Jun 23, 2017|17.24|19.86|13.64|19.63|2,056|62,536,600
Jun 22, 2017|16.87|17.74|12.12|17.24|1,902|61,099,000
Jun 21, 2017|16.87|16.87|16.85|16.87|6,985|61,026,000
Jun 20, 2017|16.24|17.74|10.55|16.87|2,229|58,635,700
Jun 19, 2017|14.99|17.74|8.99|16.24|981|53,981,200
Jun 18, 2017|10.49|14.99|10.49|14.99|914|37,774,500
Jun 17, 2017|14.99|16.74|10.49|10.49|1,230|53,690,100
Jun 16, 2017|14.43|14.99|13.86|14.99|351|17,952,400
Jun 15, 2017|10.08|14.45|7.19|14.45|2,922|12,336,300
Jun 14, 2017|11.40|16.43|9.63|10.08|14,219|-
Jun 13, 2017|11.23|14.02|11.13|11.41|9,395|-
