#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 6,473,608,829|$ 420.71|15,387,436|$ 32,785,982|0.00 %|-0.06 %|0.58 %|False|False
2|Ethereum|ETH|$ 909,576,791|$ 11.56|78,710,130|$ 7,041,152|0.03 %|0.52 %|5.76 %|False|False
3|Ripple|XRP|$ 258,931,433|$ 0.007518|34,439,870,367|$ 343,592|0.03 %|1.08 %|-6.72 %|True|False
4|Litecoin|LTC|$ 147,460,911|$ 3.26|45,191,576|$ 523,194|-0.02 %|-0.04 %|0.97 %|False|False
5|Dash|DASH|$ 44,763,617|$ 7.06|6,340,179|$ 153,666|-0.34 %|-1.36 %|-2.51 %|False|False
6|MaidSafeCoin|MAID|$ 36,370,773|$ 0.080368|452,552,412|$ 136,797|0.09 %|-0.46 %|-13.46 %|True|False
7|Dogecoin|DOGE|$ 23,318,219|$ 0.000225|103,752,744,518|$ 112,599|-0.15 %|-0.16 %|4.56 %|False|False
8|Monero|XMR|$ 17,546,702|$ 1.53|11,487,972|$ 417,631|-0.28 %|2.78 %|-9.69 %|False|False
9|BitShares|BTS|$ 15,016,327|$ 0.005887|2,550,786,460|$ 164,734|-0.01 %|0.45 %|-10.76 %|True|False
10|Factom|FCT|$ 14,462,743|$ 1.65|8,753,219|$ 271,493|0.26 %|0.46 %|-12.10 %|True|False
11|Synereo|AMP|$ 14,121,509|$ 0.076415|184,800,000|$ 29,264|12.35 %|132.25 %|121.03 %|True|False
12|NEM|XEM|$ 13,019,577|$ 0.001447|8,999,999,999|$ 30,080|0.06 %|-1.17 %|-7.86 %|True|False
13|Emercoin|EMC|$ 12,324,392|$ 0.329444|37,409,714|$ 14,752|-0.04 %|0.82 %|-13.53 %|False|False
14|Bytecoin|BCN|$ 12,062,544|$ 0.000067|179,655,504,166|$ 90,724|0.26 %|31.10 %|44.06 %|False|False
15|Stellar|XLM|$ 11,697,050|$ 0.002132|5,485,679,598|$ 27,782|0.28 %|2.94 %|3.57 %|True|False
16|Peercoin|PPC|$ 10,611,723|$ 0.459674|23,085,304|$ 25,991|-0.13 %|1.19 %|-1.58 %|False|False
17|Nxt|NXT|$ 8,230,158|$ 0.008230|999,997,096|$ 28,203|-0.14 %|2.36 %|3.74 %|True|False
18|FedoraCoin|TIPS|$ 7,752,889|$ 0.000019|417,632,630,107|$ 15,039|0.59 %|20.51 %|-24.47 %|False|False
19|Namecoin|NMC|$ 6,269,675|$ 0.448433|13,981,292|$ 6,429|-0.06 %|0.45 %|-3.52 %|False|False
20|Agoras Tokens|AGRS|$ 6,007,158|$ 0.143028|42,000,000|$ 11,671|0.00 %|-0.06 %|13.50 %|True|False
21|YbCoin|YBC|$ 5,228,107|$ 1.74|3,006,699|$ 86,794|-0.13 %|2.64 %|-1.91 %|True|False
22|Counterparty|XCP|$ 4,695,779|$ 1.79|2,627,631|$ 8,040|-0.16 %|0.00 %|-7.33 %|True|False
23|GridCoin|GRC|$ 4,444,380|$ 0.011861|374,702,995|$ 2,394|0.09 %|-1.90 %|4.49 %|False|False
24|Storjcoin X|SJCX|$ 3,770,920|$ 0.084596|44,575,870|$ 9,652|-0.06 %|2.29 %|-15.36 %|True|False
25|Rubycoin|RBY|$ 3,630,731|$ 0.158652|22,884,927|$ 1,212|0.08 %|1.29 %|7.09 %|True|False
26|SysCoin|SYS|$ 3,627,302|$ 0.008460|428,751,485|$ 108,674|-0.17 %|-2.57 %|4.23 %|False|False
27|VPNCoin|VPN|$ 3,471,669|$ 0.008672|400,339,746|$ 57,960|0.09 %|0.07 %|-16.12 %|True|False
28|DigiByte|DGB|$ 3,223,171|$ 0.000519|6,215,496,858|$ 236,438|-0.34 %|1.81 %|-15.07 %|False|False
29|Bitcrystals|BCY|$ 3,090,965|$ 0.072677|42,530,221|$ 3,376|0.04 %|0.65 %|-3.89 %|True|False
30|Safe Exchang...|SEC|$ 2,951,455|$ 0.001374|2,147,483,647|$ 15,797|-1.33 %|10.04 %|102.64 %|True|False
31|CoinoUSD|COINO|$ 2,809,146|$ 0.800596|3,508,816|$ 276|0.67 %|2.97 %|-18.35 %|True|False
32|GameCredits|GAME|$ 2,582,096|$ 0.047705|54,126,101|$ 11,975|0.03 %|5.82 %|0.27 %|False|False
33|BlackCoin|BLK|$ 2,512,247|$ 0.033337|75,359,140|$ 10,700|-0.23 %|2.24 %|0.22 %|True|False
34|Decred|DCR|$ 2,465,642|$ 1.92|1,284,704|$ 12,699|-0.50 %|-2.20 %|-13.37 %|False|False
35|NuShares|NSR|$ 2,455,233|$ 0.002997|819,200,608|$ 6,273|-0.14 %|2.28 %|0.85 %|True|False
36|Scotcoin|SCOT|$ 2,382,416|$ 0.002382|1,000,000,000|$ 7,674|-0.41 %|-3.73 %|60.39 %|True|False
37|Startcoin|START|$ 2,360,427|$ 0.060522|39,000,839|$ 6,679|0.40 %|7.03 %|16.21 %|False|True
38|SolarFarm|CELL|$ 2,105,024|$ 0.007243|290,646,350|$ 31|-0.14 %|4.16 %|9.11 %|True|False
39|MUSE|MUSE|$ 2,094,800|$ 0.001538|1,361,876,772|$ 531|0.01 %|4.95 %|-18.38 %|True|False
40|MonaCoin|MONA|$ 2,071,291|$ 0.066506|31,144,335|$ 2,571|-0.04 %|-0.34 %|4.69 %|False|False
41|BitcoinDark|BTCD|$ 1,915,896|$ 1.52|1,260,205|$ 7,189|0.74 %|1.51 %|-3.52 %|False|False
42|Vcash|XVC|$ 1,886,242|$ 0.134514|14,022,598|$ 41,718|-0.42 %|-3.63 %|8.09 %|False|False
43|Radium|RADS|$ 1,698,444|$ 0.629624|2,697,551|$ 38,031|-0.31 %|-1.63 %|-3.27 %|True|False
44|Mintcoin|MINT|$ 1,642,111|$ 0.000072|22,878,909,235|$ 5,481|-0.14 %|8.07 %|13.24 %|True|False
45|CrevaCoin|CREVA|$ 1,610,608|$ 0.077361|20,819,498|$ 34,730|-0.19 %|25.52 %|20.38 %|False|False
46|Qora|QORA|$ 1,590,590|$ 0.000159|10,000,000,000|$ 364,576|-1.54 %|-26.57 %|107.00 %|True|False
47|ReddCoin|RDD|$ 1,569,993|$ 0.000056|28,053,990,139|$ 434,762|0.32 %|34.41 %|46.75 %|True|False
48|EarthCoin|EAC|$ 1,500,420|$ 0.000161|9,346,468,332|$ 18,233|-0.16 %|0.35 %|-6.50 %|False|False
49|Siacoin|SC|$ 1,472,528|$ 0.000120|12,262,871,569|$ 18,765|0.05 %|-1.56 %|-13.03 %|False|False
50|Tether|USDT|$ 1,451,591|$ 1.00|1,451,591|$ 97,994|0.00 %|0.00 %|0.00 %|True|False
51|Xaurum|XAU|$ 1,418,276|$ 215.82|6,572|$ 1,621|-0.02 %|0.02 %|1.03 %|False|False
52|Vertcoin|VTC|$ 1,403,351|$ 0.060813|23,076,650|$ 3,687|0.57 %|3.60 %|-11.51 %|False|False
53|Clams|CLAM|$ 1,393,861|$ 0.838679|1,661,971|$ 8,251|0.28 %|-0.01 %|-5.03 %|True|False
54|SuperNET|UNITY|$ 1,388,518|$ 1.70|816,061|$ 17,491|-0.20 %|-2.65 %|7.47 %|True|False
55|SolarCoin|SLR|$ 1,376,192|$ 0.040145|34,280,946|$ 6,882|-1.34 %|10.32 %|76.72 %|True|False
56|Verge|XVG|$ 1,329,108|$ 0.000127|10,471,902,817|$ 22,227|-0.16 %|-1.35 %|-3.44 %|False|False
57|I/O Coin|IOC|$ 1,302,147|$ 0.080169|16,242,447|$ 17,671|-0.31 %|-0.26 %|1.72 %|True|False
58|Feathercoin|FTC|$ 1,293,511|$ 0.008716|148,407,000|$ 5,949|-0.17 %|-7.61 %|-20.01 %|False|False
59|GetGems|GEMZ|$ 1,284,094|$ 0.014570|88,135,217|$ 9,747|0.72 %|7.63 %|32.74 %|True|False
60|Expanse|EXP|$ 1,270,935|$ 0.615126|2,066,139|$ 41,931|-0.12 %|0.23 %|-18.09 %|False|False
61|Omni|OMNI|$ 1,253,369|$ 2.27|551,823|$ 3,285|-0.19 %|-1.97 %|-0.15 %|True|False
62|VeriCoin|VRC|$ 1,247,467|$ 0.045342|27,512,118|$ 5,152|-0.22 %|-10.24 %|0.59 %|False|False
63|Rimbit|RBT|$ 1,190,207|$ 0.010438|114,026,776|$ 48|-1.03 %|-5.85 %|-7.54 %|True|False
64|Primecoin|XPM|$ 1,147,393|$ 0.082147|13,967,558|$ 4,534|-0.61 %|-5.40 %|0.42 %|False|False
