#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$19,131,693,628|$1176.36|16,263,417|$174,378,621|-0.01%|0.16%|8.98%|False|False
2|Ethereum|ETH|$3,980,763,005|$43.96|90,544,125|$46,453,390|-0.13%|0.57%|-13.25%|False|False
3|Ripple|XRP|$1,299,206,893|$0.034630|37,516,282,515|$15,483,681|-0.41%|-2.48%|39.40%|True|False
4|Litecoin|LTC|$493,680,884|$9.77|50,554,311|$52,488,617|-0.40%|0.44%|43.34%|False|False
5|Dash|DASH|$489,187,122|$67.76|7,219,863|$8,990,519|-0.07%|1.06%|-2.05%|False|False
6|Monero|XMR|$296,891,640|$20.82|14,261,852|$6,370,627|-0.12%|7.45%|-1.92%|False|False
7|Ethereum Classic|ETC|$242,754,305|$2.68|90,504,343|$4,431,487|-0.14%|0.09%|-3.27%|False|False
8|NEM|XEM|$178,504,226|$0.019834|8,999,999,999|$828,676|0.91%|15.04%|13.27%|True|False
9|Augur|REP|$112,375,136|$10.22|11,000,000|$418,818|0.27%|3.56%|-18.17%|True|False
10|MaidSafeCoin|MAID|$88,818,116|$0.196260|452,552,412|$513,219|-0.17%|2.23%|15.03%|True|False
11|Zcash|ZEC|$69,918,536|$66.83|1,046,217|$4,309,259|1.13%|13.05%|1.15%|False|False
12|Golem|GNT|$62,669,732|$0.076427|820,000,000|$731,690|-0.14%|-1.65%|-14.49%|True|False
13|Tether|USDT|$54,902,716|$0.999124|54,950,868|$12,088,463|-0.01%|-0.06%|-0.06%|True|False
14|Decred|DCR|$51,910,005|$11.21|4,631,720|$2,342,341|0.17%|25.59%|-12.22%|False|False
15|PIVX|PIVX|$46,237,012|$0.874709|52,859,863|$368,628|-0.20%|-5.10%|-2.20%|True|False
16|Dogecoin|DOGE|$45,178,725|$0.000415|108,880,441,711|$1,198,295|-0.83%|0.48%|23.62%|False|False
17|Stratis|STRAT|$43,585,800|$0.443222|98,338,636|$1,192,939|-0.08%|-2.91%|57.88%|True|False
18|Iconomi|ICN|$40,470,009|$0.465173|87,000,000|$226,551|0.16%|5.40%|-23.72%|True|False
19|Factom|FCT|$40,261,411|$4.60|8,753,219|$902,327|0.07%|4.54%|13.95%|True|False
20|Waves|WAVES|$38,359,543|$0.383595|100,000,000|$134,480|0.10%|-0.33%|7.95%|True|False
21|Steem|STEEM|$38,224,480|$0.161715|236,368,773|$321,364|-0.05%|6.78%|-7.98%|False|False
22|BitConnect|BCC|$34,941,263|$5.86|5,960,943|$493,135|0.20%|6.58%|45.69%|False|False
23|DigixDAO|DGD|$34,522,021|$17.26|2,000,000|$70,591|-0.06%|-1.39%|-10.27%|True|False
24|VirtualCoin|VC|$34,038,612|$0.022906|1,486,009,428|$156|-2.30%|2.65%|165.26%|False|False
25|SingularDTV|SNGLS|$30,587,941|$0.050980|600,000,000|$59,836|0.10%|7.52%|10.71%|True|False
26|Lisk|LSK|$28,786,150|$0.272996|105,445,446|$488,404|-0.03%|9.54%|-11.33%|True|False
27|Round|ROUND|$28,205,330|$0.033183|850,000,000|$17,289|-0.09%|-0.58%|-27.85%|True|False
28|Stellar Lumens|XLM|$26,176,513|$0.002890|9,056,216,275|$1,268,582|-0.20%|2.02%|7.75%|True|False
29|First Blood|1ST|$25,978,945|$0.303640|85,558,371|$153,368|-0.17%|1.45%|-13.38%|True|False
30|GameCredits|GAME|$23,905,334|$0.386450|61,858,727|$239,827|0.50%|5.55%|21.47%|False|False
31|Bytecoin|BCN|$23,226,958|$0.000127|182,724,205,446|$28,310|0.87%|3.87%|-28.33%|False|False
32|BitShares|BTS|$22,418,243|$0.008641|2,594,320,139|$416,600|-0.04%|3.57%|25.51%|True|False
33|Ardor|ARDR|$21,931,536|$0.021954|998,999,495|$76,779|0.14%|7.87%|-1.44%|True|False
34|Melon|MLN|$20,196,310|$33.69|599,400|$51,686|0.09%|2.43%|-9.12%|True|False
35|Peercoin|PPC|$18,976,539|$0.790466|24,006,771|$317,183|-0.07%|7.32%|24.02%|False|False
36|Komodo|KMD|$17,190,082|$0.170523|100,808,186|$60,494|0.22%|0.95%|-8.95%|False|False
37|Siacoin|SC|$15,386,444|$0.000619|24,873,883,087|$254,184|0.38%|8.58%|-11.28%|False|False
38|Emercoin|EMC|$14,665,093|$0.367784|39,874,163|$124,732|0.18%|1.93%|-2.98%|False|False
39|Nxt|NXT|$14,661,806|$0.014676|998,999,983|$210,023|-0.13%|2.08%|5.31%|True|False
40|Creditbit|CRBIT|$13,762,133|$1.09|12,590,257|$291,548|-0.11%|-8.32%|144.02%|False|False
41|ZCoin|XZC|$13,552,515|$7.36|1,841,829|$1,431,072|1.11%|14.44%|60.85%|False|False
42|Nexus|NXS|$12,584,086|$0.260002|48,399,929|$43,897|-0.17%|-6.23%|-14.22%|False|False
43|Storjcoin X|SJCX|$12,166,912|$0.237760|51,173,144|$21,679|0.15%|2.69%|6.40%|True|False
44|Namecoin|NMC|$11,821,999|$0.802231|14,736,400|$273,091|-0.20%|8.21%|24.34%|False|False
45|Bitcrystals|BCY|$11,554,604|$0.279639|41,319,672|$35,716|-0.34%|-1.18%|28.60%|True|False
46|Byteball|GBYTE|$10,740,548|$78.15|137,442|$15,969|0.08%|-0.45%|13.67%|True|False
47|Gulden|NLG|$10,581,620|$0.030813|343,416,344|$30,005|-0.05%|1.55%|6.80%|False|True
48|ShadowCash|SDC|$10,449,218|$1.57|6,648,187|$159,163|0.06%|-0.83%|-14.81%|True|False
49|Rubycoin|RBY|$10,366,442|$0.428352|24,200,757|$941,578|-0.48%|-19.41%|89.01%|True|False
50|BitcoinDark|BTCD|$10,277,374|$7.97|1,288,862|$25,654|0.04%|1.60%|-8.08%|False|False
51|AntShares|ANS|$9,482,373|$0.189647|50,000,000|$61,193|-0.01%|-0.46%|-6.87%|True|False
52|Counterparty|XCP|$9,443,700|$3.61|2,619,478|$41,251|-0.18%|5.37%|3.54%|True|False
53|SysCoin|SYS|$9,345,796|$0.017837|523,949,886|$69,976|0.05%|5.65%|-0.54%|False|False
54|Xaurum|XAUR|$9,144,997|$0.101644|89,971,036|$41,161|0.28%|-2.86%|6.09%|True|False
55|I/O Coin|IOC|$7,999,035|$0.490030|16,323,560|$28,792|-0.13%|-1.40%|9.45%|True|False
56|Synereo|AMP|$7,328,543|$0.089094|82,256,324|$204,441|-0.14%|12.85%|14.62%|True|False
57|PotCoin|POT|$7,324,279|$0.033844|216,412,153|$177,099|-0.26%|-2.33%|41.48%|False|False
58|Ark|ARK|$7,177,937|$0.076565|93,750,000|$57,146|0.85%|8.46%|24.41%|True|False
59|Nexium|NXC|$5,853,182|$0.087989|66,521,586|$197,773|0.39%|13.05%|44.88%|True|False
60|Agoras Tokens|AGRS|$5,766,409|$0.137295|42,000,000|$212|-0.21%|-2.25%|-8.42%|True|False
61|YbCoin|YBC|$5,683,337|$1.88|3,018,076|$63,390|-0.23%|-0.99%|-6.13%|True|False
62|BitBay|BAY|$5,647,677|$0.005606|1,007,418,307|$52,616|0.19%|-11.38%|65.35%|True|False
63|Chronobank|TIME|$5,447,689|$7.67|710,113|$346,731|-0.10%|1.87%|-12.75%|True|False
64|DigiByte|DGB|$5,406,616|$0.000667|8,107,031,908|$673,793|0.46%|36.72%|79.63%|False|False
65|Ubiq|UBQ|$5,168,563|$0.140951|36,669,132|$43,482|-0.08%|4.75%|1.38%|False|False
66|NAV Coin|NAV|$5,090,498|$0.083637|60,864,158|$57,236|0.06%|-0.85%|-15.12%|True|False
67|BlackCoin|BLK|$5,084,020|$0.066839|76,063,809|$61,785|0.33%|4.79%|0.06%|True|False
68|Edgeless|EDG|$4,986,069|$0.067810|73,530,162|$79,389|0.56%|-5.38%|90.83%|True|False
69|BelaCoin|BELA|$4,911,682|$0.147862|33,218,086|$2,028,420|-0.70%|-21.81%|78.70%|False|False
70|GridCoin|GRC|$4,596,245|$0.011819|388,892,934|$34,709|0.02%|-0.35%|35.54%|False|False
71|ArcticCoin|ARC|$4,473,503|$0.195273|22,909,019|$9,384|0.27%|-3.93%|104.91%|False|False
72|Novacoin|NVC|$4,436,199|$2.63|1,687,992|$127,604|-0.06%|2.45%|5.23%|False|False
73|ION|ION|$4,304,655|$0.348767|12,342,492|$6,383|0.45%|-10.64%|-13.78%|True|False
74|SolarCoin|SLR|$4,022,456|$0.114995|34,979,254|$11,959|-0.39%|-3.18%|-11.20%|True|False
75|Bitcoin Plus|XBC|$3,712,083|$39.06|95,033|$85,677|-0.16%|8.03%|-3.67%|True|False
76|Crown|CRW|$3,707,109|$0.281055|13,189,985|$23,188|-0.66%|3.01%|-20.10%|False|False
77|Radium|RADS|$3,632,227|$1.14|3,190,290|$49,854|0.20%|-2.21%|-24.66%|True|False
78|Clams|CLAM|$3,593,961|$1.63|2,206,973|$284,716|0.02%|6.65%|26.98%|True|False
79|Aeon|AEON|$3,348,934|$0.240910|13,901,193|$3,124|0.27%|1.72%|29.40%|False|False
80|SIBCoin|SIB|$3,297,242|$0.234152|14,081,612|$57,756|0.49%|-8.80%|75.94%|False|False
81|SuperNET|UNITY|$3,295,298|$4.04|816,061|$3,791|0.03%|4.08%|-9.27%|True|False
82|MonetaryUnit|MUE|$3,245,932|$0.027727|117,065,887|$23,332|0.14%|-1.21%|6.48%|False|False
83|VPNCoin|VPN|$3,187,539|$0.007962|400,339,746|$148,307|0.00%|1.12%|17.25%|True|False
84|LBRY Credits|LBC|$3,179,345|$0.053300|59,649,674|$118,879|0.13%|12.73%|-4.39%|False|False
85|Expanse|EXP|$3,094,169|$0.455221|6,797,064|$37,006|-0.18%|4.04%|-8.35%|False|False
86|vSlice|VSL|$3,017,559|$0.090372|33,390,496|$53,613|1.63%|23.97%|28.88%|True|False
87|Viacoin|VIA|$2,964,128|$0.131595|22,524,547|$74,284|0.82%|9.01%|23.93%|False|False
88|Omni|OMNI|$2,957,105|$5.29|558,530|$9,374|0.02%|2.38%|-9.25%|True|False
89|MonaCoin|MONA|$2,765,290|$0.057542|48,056,584|$10,157|-0.53%|-11.01%|6.81%|False|False
90|Golos|GOLOS|$2,704,926|$0.022352|121,013,074|$4,243|0.67%|-5.24%|69.46%|False|False
91|Primecoin|XPM|$2,659,072|$0.142488|18,661,685|$107,588|-0.16%|2.73%|68.68%|False|False
92|Burst|BURST|$2,601,402|$0.001491|1,744,488,363|$25,080|-0.05%|2.36%|4.90%|False|False
93|NautilusCoin|NAUT|$2,584,867|$0.159757|16,180,000|$71,222|-0.07%|12.15%|-6.13%|True|False
94|LoMoCoin|LMC|$2,565,170|$0.012515|204,967,562|$3,487|0.47%|2.24%|-3.65%|True|False
95|ZClassic|ZCL|$2,530,715|$3.05|829,213|$94,292|-0.13%|6.10%|-11.14%|False|False
96|Yogold|YOG|$2,501,522|$1.66|1,503,197|$11,245|0.52%|9.85%|42.00%|True|False
97|Boolberry|XBB|$2,504,957|$0.267037|9,380,575|$14,586|-0.11%|0.41%|-18.35%|False|False
98|Pepe Cash|PEPECASH|$2,497,032|$0.003558|701,884,009|$12,669|1.24%|0.52%|-14.48%|True|False
99|Yocoin|YOC|$2,457,703|$0.026252|93,618,830|$354,704|0.53%|7.87%|41.31%|True|False
100|Jinn|JINN|$2,315,859|$39.45|58,703|$4,340|-0.13%|1.74%|13.73%|True|False
