#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$53,014,691,482|$3214.71|16,491,296|$1,602,167,586|-0.13%|4.25%|19.53%|False|False
2|Ethereum|ETH|$24,231,643,892|$258.30|93,810,643|$1,634,254,236|0.21%|12.14%|28.53%|False|False
3|Ripple|XRP|$7,101,523,696|$0.185206|38,343,841,883|$128,070,955|0.00%|4.87%|11.07%|True|False
4|Bitcoin Cash|BCH|$3,518,924,036|$213.49|16,483,078|$121,966,738|0.03%|-11.49%|-37.98%|False|False
5|Litecoin|LTC|$2,411,136,594|$46.07|52,335,290|$192,604,853|-0.15%|1.02%|12.68%|False|False
6|NEM|XEM|$2,041,443,272|$0.226827|8,999,999,999|$6,421,613|-0.03%|-0.17%|34.88%|True|False
7|Ethereum Classic|ETC|$1,481,974,758|$15.72|94,261,331|$112,793,138|-0.11%|2.88%|12.12%|False|False
8|Dash|DASH|$1,432,821,448|$191.68|7,474,951|$38,524,200|-0.08%|1.31%|5.99%|False|False
9|IOTA|MIOTA|$1,129,054,931|$0.406204|2,779,530,283|$7,200,543|-0.06%|2.75%|51.71%|True|False
10|Monero|XMR|$720,420,547|$48.37|14,892,678|$10,702,070|-0.12%|2.48%|13.93%|False|False
11|NEO|ANS|$714,971,309|$14.30|50,000,000|$92,348,568|0.44%|30.82%|100.61%|True|False
12|Stratis|STRAT|$701,862,972|$7.13|98,492,016|$18,742,059|-0.13%|4.05%|44.36%|True|False
13|Qtum|QTUM|$577,842,070|$9.79|59,000,000|$48,421,417|1.15%|16.18%|74.58%|True|False
14|BitConnect|BCC|$497,795,269|$78.12|6,372,226|$3,604,277|-0.14%|3.56%|22.93%|False|False
15|EOS|EOS|$483,754,612|$1.82|265,335,304|$56,586,350|-0.47%|1.01%|2.97%|True|False
16|Waves|WAVES|$440,280,300|$4.40|100,000,000|$4,699,787|0.25%|11.61%|54.78%|True|False
17|BitShares|BTS|$423,516,660|$0.163043|2,597,574,792|$71,158,240|-0.50%|6.94%|26.32%|True|False
18|Zcash|ZEC|$399,182,398|$210.14|1,899,634|$22,068,878|0.04%|9.79%|15.74%|False|False
19|Steem|STEEM|$323,302,973|$1.35|238,643,018|$1,435,477|-0.08%|2.37%|8.91%|False|False
20|Tether|USDT|$319,432,456|$0.999785|319,501,202|$153,012,382|-0.01%|-0.41%|0.16%|True|False
21|OmiseGo|OMG|$313,541,156|$3.19|98,312,024|$63,460,230|-1.54%|1.24%|157.98%|True|False
22|Veritaseum|VERI|$306,989,110|$153.01|2,006,279|$1,194,467|0.33%|-1.79%|3.58%|True|False
23|Golem|GNT|$276,615,515|$0.332059|833,032,000|$4,410,927|0.68%|10.11%|39.90%|True|False
24|Siacoin|SC|$274,438,046|$0.009681|28,348,024,748|$8,420,648|-0.20%|3.50%|19.58%|False|False
25|Iconomi|ICN|$264,172,263|$3.04|86,900,350|$2,589,593|0.21%|-5.12%|-0.20%|True|False
