#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 9,048,657,731|$ 571.40|15,836,013|$ 52,506,930|0.05 %|-0.96 %|-1.92 %|False|False
2|Ethereum|ETH|$ 925,303,528|$ 11.09|83,410,361|$ 3,620,077|-0.05 %|-1.27 %|-0.15 %|False|False
3|Ripple|XRP|$ 212,595,295|$ 0.005978|35,562,730,335|$ 258,309|0.03 %|-0.73 %|-1.96 %|True|False
4|Litecoin|LTC|$ 177,226,477|$ 3.75|47,303,151|$ 1,578,646|0.01 %|-1.48 %|3.48 %|False|False
5|Ethereum Cla...|ETC|$ 111,381,746|$ 1.34|83,379,488|$ 4,030,476|-0.24 %|-7.22 %|-23.28 %|False|False
6|Steem|STEEM|$ 107,485,169|$ 0.851036|126,299,168|$ 170,920|-0.42 %|-6.78 %|-40.45 %|False|False
7|Dash|DASH|$ 84,225,152|$ 12.58|6,694,713|$ 771,218|0.06 %|-0.09 %|-5.78 %|False|False
8|Monero|XMR|$ 81,569,895|$ 6.39|12,758,476|$ 19,044,949|3.13 %|48.96 %|161.60 %|False|False
9|NEM|XEM|$ 51,422,496|$ 0.005714|8,999,999,999|$ 148,758|0.34 %|0.25 %|-11.89 %|True|False
10|MaidSafeCoin|MAID|$ 49,403,329|$ 0.109166|452,552,412|$ 238,556|-0.25 %|-1.62 %|9.98 %|True|False
11|Lisk|LSK|$ 26,057,806|$ 0.260578|100,000,000|$ 342,032|-0.05 %|-3.05 %|-8.98 %|True|False
12|Dogecoin|DOGE|$ 23,821,089|$ 0.000225|105,786,034,072|$ 129,800|0.06 %|-1.43 %|-5.10 %|False|False
13|Factom|FCT|$ 23,662,654|$ 2.70|8,753,219|$ 401,248|-0.28 %|-1.78 %|15.61 %|True|False
14|Nxt|NXT|$ 22,712,377|$ 0.022735|998,999,994|$ 207,605|-0.08 %|-2.91 %|-17.58 %|True|False
15|DigixDAO|DGD|$ 20,375,365|$ 10.19|2,000,000|$ 42,713|0.35 %|-3.22 %|-0.97 %|True|False
