#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 5,894,778,178|$ 394.99|14,923,851|$ 77,588,915|0.10 %|6.46 %|10.55 %|False|False
2|Ripple|XRP|$ 175,753,057|$ 0.005241|33,537,439,933|$ 770,948|-0.05 %|6.07 %|23.42 %|True|False
3|Litecoin|LTC|$ 153,069,648|$ 3.52|43,476,316|$ 2,953,210|-0.09 %|3.31 %|0.01 %|False|False
4|Ethereum|ETH|$ 65,116,367|$ 0.865306|75,252,449|$ 350,309|0.01 %|3.11 %|-3.78 %|False|False
5|Dash|DASH|$ 14,451,772|$ 2.39|6,039,159|$ 61,753|0.12 %|0.08 %|13.24 %|False|False
6|Dogecoin|DOGE|$ 13,337,900|$ 0.000131|102,105,528,827|$ 141,106|-0.12 %|0.82 %|0.90 %|False|False
7|Peercoin|PPC|$ 9,627,887|$ 0.421940|22,818,149|$ 52,633|0.11 %|3.33 %|-5.18 %|False|False
8|Stellar|XLM|$ 9,079,271|$ 0.001877|4,837,356,606|$ 10,839|0.04 %|-3.72 %|4.12 %|True|False
9|BitShares|BTS|$ 8,672,576|$ 0.003422|2,534,544,442|$ 98,598|-0.15 %|-1.78 %|5.08 %|True|False
10|MaidSafeCoin|MAID|$ 6,742,850|$ 0.014900|452,552,412|$ 8,297|0.64 %|9.84 %|13.25 %|True|False
11|Nxt|NXT|$ 6,355,643|$ 0.006356|999,997,096|$ 32,766|-0.11 %|0.25 %|3.63 %|True|False
12|Namecoin|NMC|$ 5,829,110|$ 0.446186|13,064,296|$ 57,386|-0.25 %|2.10 %|-4.41 %|False|False
13|NuShares|NSR|$ 4,928,630|$ 0.005995|822,119,630|$ 1,200|-0.65 %|-2.46 %|2.76 %|True|False
14|Bytecoin|BCN|$ 4,785,061|$ 0.000027|177,813,402,812|$ 10,029|-0.11 %|6.56 %|6.27 %|False|False
15|GridCoin|GRC|$ 4,712,808|$ 0.012717|370,599,209|$ 2,143|0.07 %|5.63 %|1.57 %|False|False
16|Monero|XMR|$ 4,617,167|$ 0.449378|10,274,570|$ 61,510|-0.19 %|14.52 %|14.67 %|False|False
17|Rubycoin|RBY|$ 4,541,039|$ 0.202165|22,461,997|$ 9,515|0.08 %|9.01 %|24.66 %|True|False
18|Counterparty|XCP|$ 2,076,946|$ 0.788642|2,633,571|$ 1,744|0.61 %|-10.07 %|-4.48 %|True|False
19|Global Curre...|GCR|$ 2,045,844|$ 0.020437|100,107,117|$ 13,019|0.40 %|8.29 %|155.36 %|True|False
20|YbCoin|YBC|$ 1,922,035|$ 0.639439|3,005,814|$ 28,624|-0.10 %|0.33 %|-2.84 %|True|False
21|EmerCoin|EMC|$ 1,873,979|$ 0.051165|36,625,975|$ 1,777|0.74 %|7.14 %|9.74 %|False|False
22|BlackCoin|BLK|$ 1,840,998|$ 0.024505|75,127,941|$ 16,554|-0.08 %|-0.12 %|3.81 %|True|False
23|AmberCoin|AMBER|$ 1,741,598|$ 0.040501|43,001,630|$ 199|0.12 %|9.55 %|3.52 %|False|True
24|MonaCoin|MONA|$ 1,633,383|$ 0.063565|25,696,353|$ 3,341|-0.01 %|-1.45 %|-7.60 %|False|False
25|NeuCoin|NEU|$ 1,369,046|$ 0.008501|161,050,069|$ 1,564|-0.55 %|6.40 %|8.70 %|True|False
26|Clams|CLAM|$ 1,292,690|$ 0.875967|1,475,729|$ 24,461|0.75 %|3.06 %|131.47 %|True|False
27|Bitcrystals|BCY|$ 1,199,502|$ 0.027766|43,200,003|$ 64|-0.29 %|5.34 %|14.11 %|True|False
28|Novacoin|NVC|$ 1,184,999|$ 0.959348|1,235,212|$ 6,796|0.02 %|3.29 %|2.27 %|False|False
29|Mastercoin (...|MSC|$ 1,176,347|$ 2.14|549,420|$ 786|-0.45 %|-8.45 %|-13.63 %|True|False
30|NEM|XEM|$ 1,042,961|$ 0.000116|8,999,999,999|$ 201|-0.94 %|-4.77 %|12.06 %|True|False
31|Startcoin|START|$ 1,039,598|$ 0.029609|35,110,403|$ 8,725|-0.04 %|8.98 %|19.96 %|False|True
32|NuBits|NBT|$ 989,312|$ 0.997062|992,227|$ 36,415|-0.00 %|-0.57 %|0.17 %|True|False
33|Tether|USDT|$ 951,600|$ 1.00|951,600|$ 24,617|0.00 %|0.00 %|0.00 %|True|False
34|GetGems|GEMZ|$ 918,491|$ 0.010421|88,135,217|$ 341|-0.55 %|2.64 %|-23.32 %|True|False
35|BitcoinDark|BTCD|$ 913,869|$ 0.734765|1,243,758|$ 1,983|-0.43 %|-7.86 %|-13.55 %|False|False
36|DigiByte|DGB|$ 913,519|$ 0.000167|5,486,196,740|$ 20,306|-0.21 %|-6.75 %|-0.25 %|False|False
37|GameCredits|GMC|$ 898,432|$ 0.017646|50,915,430|$ 932|0.21 %|8.10 %|2.87 %|False|False
38|Primecoin|XPM|$ 876,787|$ 0.070011|12,523,634|$ 18,922|0.11 %|2.52 %|7.84 %|False|False
39|DNotes|NOTE|$ 830,828|$ 0.007807|106,418,019|$ 720|-0.69 %|11.26 %|17.59 %|False|False
40|Factom|FCT|$ 802,718|$ 0.091669|8,756,684|$ 1,815|0.47 %|-7.94 %|-4.66 %|True|False
41|SuperNET|UNITY|$ 787,018|$ 0.964411|816,061|$ 776|0.05 %|1.87 %|12.36 %|True|False
42|EarthCoin|EAC|$ 735,287|$ 0.000081|9,032,948,621|$ 5,844|0.36 %|1.29 %|20.18 %|False|False
43|NautilusCoin|NAUT|$ 724,944|$ 0.124516|5,822,099|$ 1,058|0.13 %|8.95 %|6.69 %|True|False
44|VeriCoin|VRC|$ 664,083|$ 0.024269|27,363,376|$ 2,220|0.65 %|8.28 %|15.38 %|False|False
45|Megacoin|MEC|$ 625,095|$ 0.019918|31,384,169|$ 23,868|-0.93 %|-3.40 %|17.30 %|False|False
46|Vanillacoin|VNL|$ 622,245|$ 0.051040|12,191,338|$ 2,327|-0.11 %|2.75 %|24.65 %|False|False
47|ShadowCash|SDC|$ 621,825|$ 0.095639|6,501,778|$ 331|0.35 %|11.11 %|6.42 %|True|False
48|Storjcoin X|SJCX|$ 602,310|$ 0.013512|44,575,870|$ 1,294|1.07 %|2.54 %|5.21 %|True|False
49|Mintcoin|MINT|$ 594,828|$ 0.000026|22,485,023,924|$ 1,797|-0.43 %|2.05 %|10.91 %|True|False
50|FuelCoin|FC2|$ 581,652|$ 0.005805|100,206,032|$ 340|0.77 %|-7.93 %|-3.90 %|False|True
51|WorldCoin|WDC|$ 580,201|$ 0.006178|93,912,272|$ 4,257|0.13 %|4.15 %|12.24 %|False|False
52|CasinoCoin|CSC|$ 533,278|$ 0.015987|33,356,215|$ 360|0.01 %|-6.48 %|-23.96 %|False|False
53|I0Coin|I0C|$ 527,972|$ 0.025277|20,887,029|$ 39|0.10 %|6.49 %|10.92 %|False|False
54|VPNCoin|VPN|$ 508,601|$ 0.001270|400,339,746|$ 7,100|0.04 %|1.89 %|1.76 %|True|False
55|ReddCoin|RDD|$ 508,380|$ 0.000018|27,877,367,072|$ 7,966|0.91 %|28.39 %|28.39 %|True|False
56|Quark|QRK|$ 504,749|$ 0.002022|249,571,535|$ 1,377|-0.24 %|9.51 %|5.30 %|False|False
57|DigitalNote|XDN|$ 504,399|$ 0.000074|6,851,072,770|$ 4,589|-0.04 %|9.05 %|4.97 %|False|False
58|Infinitecoin|IFC|$ 500,188|$ 0.000006|90,596,274,910|$ 4,228|-0.02 %|0.79 %|17.75 %|False|False
59|PayCoin|XPY|$ 490,310|$ 0.029944|16,374,503|$ 844|0.44 %|9.02 %|13.29 %|False|True
