#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$18,553,866,454|$1146.40|16,184,531|$139,533,304|0.12%|-2.01%|8.79%|False|False
2|Ethereum|ETH|$1,207,497,731|$13.53|89,235,038|$18,620,332|0.03%|2.98%|5.67%|False|False
3|Ripple|XRP|$211,182,541|$0.005685|37,144,100,247|$524,627|0.03%|-0.50%|0.87%|True|False
4|Litecoin|LTC|$190,884,289|$3.82|49,948,934|$2,932,674|0.01%|-0.53%|1.06%|False|False
5|Dash|DASH|$190,039,557|$26.67|7,124,410|$5,602,578|0.36%|6.73%|20.76%|False|False
6|Monero|XMR|$165,606,341|$11.82|14,014,778|$3,014,780|0.02%|-0.57%|-11.10%|False|False
7|Ethereum Classic|ETC|$109,108,463|$1.22|89,196,510|$1,330,360|0.18%|2.61%|-0.17%|False|False
8|MaidSafeCoin|MAID|$77,171,585|$0.170525|452,552,412|$549,493|0.32%|-1.14%|-14.41%|True|False
9|NEM|XEM|$57,644,748|$0.006405|8,999,999,999|$149,233|0.05%|-2.09%|-4.64%|True|False
10|Augur|REP|$53,062,752|$4.82|11,000,000|$129,110|0.18%|1.29%|-5.91%|True|False
11|Steem|STEEM|$27,288,808|$0.115532|236,201,990|$66,812|-0.15%|0.40%|-6.25%|False|False
12|Iconomi|ICN|$27,208,600|$0.312743|87,000,000|$147,005|0.32%|-0.51%|-6.20%|True|False
13|Factom|FCT|$25,677,783|$2.93|8,753,219|$686,248|-0.04%|2.43%|-9.71%|True|False
14|Tether|USDT|$24,952,914|$1.00|24,950,987|$3,541,141|0.00%|0.01%|0.01%|True|False
15|Dogecoin|DOGE|$21,966,871|$0.000203|108,302,196,692|$60,580|0.05%|-1.26%|-2.14%|False|False
16|Waves|WAVES|$21,886,126|$0.218861|100,000,000|$75,941|0.05%|-0.29%|-9.96%|True|False
17|Zcash|ZEC|$21,513,836|$28.87|745,264|$480,714|-0.02%|-4.11%|-7.03%|False|False
18|Golem|GNT|$19,521,200|$0.023806|820,000,000|$232,142|-0.21%|-0.33%|-31.25%|True|False
19|DigixDAO|DGD|$18,090,239|$9.05|2,000,000|$18,674|0.00%|0.89%|-3.97%|True|False
20|Ardor|ARDR|$16,839,071|$0.016856|998,999,495|$77,729|0.17%|7.66%|8.61%|True|False
21|Lisk|LSK|$13,494,512|$0.130205|103,640,179|$84,400|0.04%|-2.19%|-7.88%|True|False
22|GameCredits|GAME|$13,237,814|$0.217277|60,925,966|$205,051|0.09%|2.70%|-3.25%|False|False
23|Stellar Lumens|XLM|$13,009,049|$0.001862|6,987,295,521|$138,323|-0.12%|-0.64%|-8.76%|True|False
24|Komodo|KMD|$10,821,980|$0.107528|100,643,155|$15,547|-0.04%|-3.25%|-8.46%|False|False
25|ShadowCash|SDC|$10,783,396|$1.63|6,633,743|$33,504|0.09%|-1.71%|-0.25%|True|False
26|BitShares|BTS|$10,035,794|$0.003883|2,584,639,514|$37,195|-0.14%|-1.19%|-3.42%|True|False
27|Bytecoin|BCN|$9,196,694|$0.000050|182,511,180,927|$6,870|0.55%|-3.88%|-4.26%|False|False
28|Decred|DCR|$9,183,575|$2.36|3,898,065|$47,337|0.45%|2.06%|22.40%|False|False
29|Counterparty|XCP|$8,833,398|$3.37|2,619,982|$10,073|0.06%|2.52%|-1.68%|True|False
30|SingularDTV|SNGLS|$8,355,660|$0.013926|600,000,000|$6,136|0.63%|-0.39%|-5.56%|True|False
31|Xaurum|XAUR|$8,289,997|$0.092945|89,192,036|$98,311|0.39%|-2.29%|7.66%|True|False
32|Byteball|GBYTE|$8,200,629|$69.73|117,610|$36,708|-1.05%|11.42%|7.24%|True|False
33|Storjcoin X|SJCX|$7,896,292|$0.156461|50,468,144|$42,490|-0.09%|-4.20%|21.57%|True|False
34|Stratis|STRAT|$7,826,106|$0.079627|98,284,524|$88,295|-0.22%|1.75%|2.78%|False|False
35|Siacoin|SC|$7,466,916|$0.000316|23,617,619,992|$29,581|-0.04%|-0.85%|-8.00%|False|False
36|Emercoin|EMC|$7,464,796|$0.188749|39,548,712|$9,670|0.06%|-1.92%|-2.57%|False|False
37|Peercoin|PPC|$7,441,870|$0.311371|23,900,356|$16,103|-0.02%|-2.74%|1.41%|False|False
38|Bitcrystals|BCY|$7,175,459|$0.173377|41,386,534|$31,133|-0.09%|-9.72%|-27.07%|True|False
39|Nxt|NXT|$6,959,859|$0.006967|998,999,983|$53,478|-0.16%|-1.36%|-3.41%|True|False
