#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$15,482,057,104|$963.06|16,075,850|$83,178,589|0.10%|1.09%|9.59%|False|False
2|Ethereum|ETH|$722,829,967|$8.26|87,469,764|$10,353,757|0.22%|2.99%|13.41%|False|False
3|Ripple|XRP|$237,638,345|$0.006540|36,337,298,649|$260,302|0.09%|2.10%|2.49%|True|False
4|Litecoin|LTC|$214,726,272|$4.37|49,134,311|$8,586,509|0.17%|1.09%|0.48%|False|False
5|Monero|XMR|$185,582,499|$13.58|13,663,207|$4,050,544|-0.08%|4.33%|41.11%|False|False
6|Ethereum Classic|ETC|$127,129,044|$1.45|87,419,695|$3,049,350|0.13%|1.91%|32.06%|False|False
7|Dash|DASH|$78,695,538|$11.26|6,991,229|$3,266,181|0.19%|1.72%|13.56%|False|False
8|MaidSafeCoin|MAID|$44,886,080|$0.099184|452,552,412|$285,343|0.03%|-2.59%|-4.82%|True|False
9|Augur|REP|$41,714,289|$3.79|11,000,000|$246,763|0.07%|-0.71%|31.37%|True|False
10|Steem|STEEM|$39,078,093|$0.170216|229,579,712|$88,133|-0.20%|3.54%|27.52%|False|False
11|NEM|XEM|$32,994,492|$0.003666|8,999,999,999|$22,321|-0.00%|-1.30%|1.42%|True|False
12|Iconomi|ICN|$27,238,196|$0.313083|87,000,000|$121,710|0.53%|0.54%|6.74%|True|False
13|Factom|FCT|$26,004,851|$2.97|8,753,219|$1,310,068|-0.33%|2.15%|18.07%|True|False
14|Waves|WAVES|$24,441,027|$0.244410|100,000,000|$33,713|-0.27%|2.73%|27.84%|True|False
15|Dogecoin|DOGE|$24,182,232|$0.000225|107,529,653,033|$74,701|-0.04%|-0.23%|-2.68%|False|False
16|DigixDAO|DGD|$17,752,792|$8.88|2,000,000|$13,921|0.33%|-0.45%|-1.62%|True|False
17|Stellar Lumens|XLM|$17,117,728|$0.002473|6,921,534,188|$34,719|0.09%|-0.06%|-6.20%|True|False
18|Zcash|ZEC|$16,715,798|$48.53|344,478|$525,752|0.09%|-0.78%|2.92%|False|False
