#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 8,235,610,250|$ 634.20|12,985,830|$ 10,667,359|0.03 %|0.57 %|5.70 %|False|False
2|Litecoin|LTC|$ 216,381,556|$ 7.23|29,942,606|$ 4,280,020|-0.39 %|0.71 %|-21.14 %|False|False
3|Nxt|NXT|$ 53,507,123|$ 0.053507|999,996,992|$ 177,390|0.09 %|-5.98 %|-5.10 %|True|False
4|Peercoin|PPC|$ 33,579,234|$ 1.56|21,536,224|$ 157,270|0.21 %|3.70 %|8.79 %|False|False
5|Dash|DASH|$ 31,108,310|$ 7.00|4,443,972|$ 359,154|-0.20 %|-5.42 %|-25.96 %|False|False
6|Ripple|XRP|$ 24,019,689|$ 0.003072|7,817,889,792|$ 223,638|-0.65 %|-5.06 %|-23.45 %|True|False
7|Dogecoin|DOGE|$ 19,192,818|$ 0.000223|85,956,408,355|$ 191,084|-0.20 %|0.41 %|-18.59 %|False|False
8|Namecoin|NMC|$ 16,530,421|$ 1.80|9,196,249|$ 72,447|-0.10 %|0.79 %|6.82 %|False|False
9|Mastercoin (...|MSC|$ 11,356,802|$ 18.33|619,478|$ 387|-0.39 %|-10.50 %|41.23 %|True|False
10|BlackCoin|BLK|$ 9,868,596|$ 0.132313|74,585,358|$ 77,428|-0.04 %|-2.15 %|1.03 %|True|False
11|MaidSafeCoin|MAID|$ 8,103,161|$ 0.017905|452,552,416|$ 8,031|0.26 %|0.43 %|16.83 %|True|False
12|XCurrency|XC|$ 8,081,136|$ 1.47|5,515,779|$ 192,721|2.19 %|24.53 %|86.18 %|True|False
13|BitShares PTS|PTS|$ 7,249,248|$ 4.40|1,647,520|$ 13,514|0.33 %|0.24 %|3.99 %|True|False
14|Bytecoin|BCN|$ 6,993,393|$ 0.000045|157,024,540,486|$ 2,310|0.02 %|-10.65 %|-19.50 %|False|False
15|Counterparty|XCP|$ 6,746,303|$ 2.55|2,649,113|$ 42,669|-1.27 %|-1.69 %|32.96 %|True|False
16|VeriCoin|VRC|$ 6,729,531|$ 0.251254|26,783,761|$ 461,054|0.31 %|-7.79 %|-6.60 %|False|False
17|Monero|XMR|$ 4,614,120|$ 2.42|1,904,376|$ 72,219|-0.40 %|-5.66 %|-4.89 %|False|False
18|Zetacoin|ZET|$ 3,957,998|$ 0.024641|160,626,344|$ 21,968|-0.64 %|0.83 %|7.48 %|False|False
19|Quark|QRK|$ 3,458,052|$ 0.013944|247,996,425|$ 2,357|-0.30 %|-2.19 %|-0.14 %|False|False
20|Neutrino|NTR|$ 2,695,205|$ 0.012810|210,394,512|$ 712|1.53 %|2.04 %|-15.41 %|False|False
21|Primecoin|XPM|$ 2,564,159|$ 0.406871|6,302,150|$ 42,443|0.31 %|-7.58 %|10.08 %|False|False
22|Vertcoin|VTC|$ 2,197,605|$ 0.376632|5,834,893|$ 50,121|0.52 %|-4.95 %|-15.78 %|False|False
23|Feathercoin|FTC|$ 2,161,142|$ 0.044703|48,344,838|$ 7,803|0.42 %|1.22 %|5.46 %|False|False
24|Qora|QORA|$ 1,878,120|$ 0.000188|10,000,000,000|$ 4,114|-0.18 %|-3.87 %|-25.88 %|True|False
25|CloakCoin|CLOAK|$ 1,742,880|$ 0.386096|4,514,114|$ 33,612|0.51 %|8.07 %|27.66 %|True|False
26|Infinitecoin|IFC|$ 1,494,467|$ 0.000016|90,580,250,394|$ 3,790|-0.73 %|1.65 %|-12.39 %|False|False
27|Karmacoin|KARM|$ 1,450,872|$ 0.000025|58,872,680,356|$ 4,668|-0.36 %|-9.08 %|26.91 %|False|False
28|PotCoin|POT|$ 1,422,515|$ 0.011018|129,111,652|$ 16,039|0.42 %|-0.54 %|-24.71 %|False|False
29|Startcoin|START|$ 1,410,190|$ 0.032949|42,798,973|$ 2,427|-2.56 %|0.58 %|-17.78 %|False|True
30|Auroracoin|AUR|$ 1,334,625|$ 0.121408|10,992,879|$ 885|0.48 %|-4.48 %|-5.89 %|False|True
31|YbCoin|YBC|$ 1,317,398|$ 0.783830|1,680,718|$ 13,546|0.36 %|-6.12 %|-21.49 %|True|False
