#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$45,493,441,200|$2763.20|16,464,021|$1,223,160,114|-0.40%|0.57%|38.47%|False|False
2|Ethereum|ETH|$21,141,670,635|$226.15|93,485,304|$619,774,919|-0.40%|1.52%|40.22%|False|False
3|Ripple|XRP|$7,472,260,833|$0.195142|38,291,387,790|$155,920,022|-0.15%|5.51%|20.18%|True|False
4|Litecoin|LTC|$2,355,838,407|$45.20|52,124,842|$145,456,812|-0.64%|-1.64%|14.47%|False|False
5|NEM|XEM|$1,528,659,306|$0.169851|8,999,999,999|$6,780,955|-0.72%|13.86%|57.19%|True|False
6|Ethereum Classic|ETC|$1,516,797,212|$16.17|93,818,580|$67,486,864|-0.53%|-1.03%|10.48%|False|False
7|Dash|DASH|$1,432,751,942|$192.50|7,442,775|$22,914,715|-0.28%|0.36%|40.09%|False|False
8|IOTA|MIOTA|$753,886,305|$0.271228|2,779,530,283|$3,954,074|-0.31%|1.33%|66.23%|True|False
9|Monero|XMR|$642,419,927|$43.34|14,823,725|$10,088,837|-0.55%|5.29%|37.59%|False|False
10|Stratis|STRAT|$636,448,497|$6.46|98,473,972|$17,546,654|-0.82%|-3.03%|112.79%|True|False
11|Veritaseum|VERI|$461,785,875|$234.47|1,969,490|$1,570,998|-0.34%|7.56%|129.03%|True|False
12|BitShares|BTS|$461,248,913|$0.177602|2,597,092,083|$161,447,733|-1.09%|13.97%|74.89%|True|False
13|EOS|EOS|$459,928,721|$1.96|234,962,728|$58,309,280|-0.85%|3.76%|51.66%|True|False
14|AntShares|ANS|$417,329,885|$8.35|50,000,000|$36,996,130|-0.74%|11.37%|62.90%|True|False
15|BitConnect|BCC|$401,398,161|$65.77|6,102,936|$2,687,136|-0.52%|-4.30%|40.15%|False|False
16|Zcash|ZEC|$392,832,755|$218.33|1,799,285|$15,759,877|-0.24%|5.58%|38.20%|False|False
17|Steem|STEEM|$387,000,692|$1.63|237,504,897|$3,339,904|-1.49%|8.58%|74.78%|False|False
18|Waves|WAVES|$376,727,786|$3.77|100,000,000|$3,367,982|-0.79%|12.37%|89.29%|True|False
19|Qtum|QTUM|$359,263,543|$7.04|51,000,000|$19,820,334|-1.55%|-7.90%|76.70%|True|False
20|Tether|USDT|$318,889,568|$0.998085|319,501,313|$141,757,658|0.06%|0.27%|-0.19%|True|False
21|Iconomi|ICN|$302,375,433|$3.02|100,000,000|$1,580,803|-0.29%|6.54%|87.22%|True|False
22|Bytecoin|BCN|$294,776,082|$0.001609|183,161,814,437|$1,006,554|-0.24%|12.50%|32.22%|False|False
23|Status|SNT|$289,145,105|$0.083316|3,470,483,788|$115,567,852|-0.18%|102.17%|251.74%|True|False
24|Siacoin|SC|$275,427,413|$0.009847|27,971,541,682|$17,525,893|-0.88%|6.76%|57.86%|False|False
25|Golem|GNT|$257,183,196|$0.308731|833,032,000|$7,041,934|-1.02%|4.42%|52.88%|True|False
26|Gnosis|GNO|$255,513,160|$231.32|1,104,590|$928,300|-0.29%|1.52%|41.05%|True|False
27|Stellar Lumens|XLM|$238,078,315|$0.022143|10,751,694,795|$17,838,647|-0.93%|12.67%|29.43%|True|False
28|Augur|REP|$235,994,356|$21.45|11,000,000|$2,501,693|-0.29%|5.41%|24.34%|True|False
29|Lisk|LSK|$232,455,818|$2.11|109,949,092|$4,876,432|-1.13%|8.55%|52.54%|True|False
30|Dogecoin|DOGE|$227,654,323|$0.002063|110,333,699,228|$9,349,227|-0.62%|4.36%|42.33%|False|False
31|Byteball|GBYTE|$200,791,758|$548.76|365,903|$809,806|-0.41%|0.34%|45.14%|True|False
32|Factom|FCT|$183,073,496|$20.91|8,753,219|$6,513,477|-0.60%|13.35%|63.18%|True|False
33|MaidSafeCoin|MAID|$171,031,910|$0.377927|452,552,412|$1,487,075|-0.70%|5.17%|43.90%|True|False
34|GameCredits|GAME|$160,813,477|$2.53|63,580,428|$5,413,971|-0.94%|16.88%|95.34%|False|False
