#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 1,219,756,097|$ 107.73|11,322,468|Low Vol|-0.06 %|-0.86 %|7.56 %|False|False
2|Litecoin|LTC|$ 58,786,218|$ 3.13|18,796,430|Low Vol|0.29 %|7.04 %|51.07 %|False|False
3|Namecoin|NMC|$ 3,191,634|$ 0.540011|5,910,314|Low Vol|-0.22 %|1.61 %|44.47 %|False|False
4|Peercoin|PPC|$ 2,406,170|$ 0.124103|19,388,477|Low Vol|0.07 %|-5.72 %|12.47 %|False|False
5|Novacoin|NVC|$ 1,029,229|$ 3.45|297,939|Low Vol|-0.05 %|-2.08 %|5.32 %|False|False
6|Feathercoin|FTC|$ 703,624|$ 0.088320|7,966,787|Low Vol|1.30 %|-2.57 %|-22.15 %|False|False
7|Devcoin|DVC|$ 413,516|$ 0.000087|4,727,210,303|Low Vol|-0.39 %|-2.55 %|-4.45 %|False|False
8|Terracoin|TRC|$ 399,551|$ 0.134319|2,974,636|Low Vol|0.19 %|-10.72 %|-17.68 %|False|False
9|Freicoin|FRC|$ 330,179|$ 0.015150|21,793,865|Low Vol|-2.27 %|5.29 %|-11.25 %|False|False
10|CHNCoin|CNC|$ 128,012|$ 0.024441|5,237,489|Low Vol|-4.00 %|-38.74 %|-42.52 %|False|False
11|Digitalcoin|DGC|$ 81,607|$ 0.027938|2,921,009|Low Vol|-0.46 %|-4.73 %|-4.96 %|False|False
12|Yacoin|YAC|$ 81,512|$ 0.021648|3,765,251|Low Vol|-0.05 %|2.77 %|7.82 %|False|False
13|BBQCoin|BQC|$ 79,595|$ 0.004096|19,433,987|Low Vol|-0.78 %|-0.16 %|-1.71 %|False|False
14|WorldCoin|WDC|$ 67,725|$ 0.009751|6,945,743|Low Vol|-0.06 %|-0.73 %|-0.69 %|False|False
15|BitBar|BTB|$ 24,587|$ 6.57|3,742|Low Vol|-0.06 %|-17.31 %|-9.53 %|False|False
16|Mincoin|MNC|$ 24,300|$ 0.021550|1,127,614|Low Vol|-0.06 %|6.42 %|-44.07 %|False|False
17|GoldCoin|GLD|$ 18,695|$ 0.001233|15,157,822|Low Vol|1.08 %|-13.84 %|-4.82 %|False|False
18|Memecoin|MEM|$ 13,775|$ 0.001143|12,046,237|Low Vol|0.09 %|0.45 %|49.99 %|False|False
19|Bytecoin|BTE|$ 12,322|$ 0.013411|918,811|Low Vol|-3.31 %|-79.65 %|?|False|False
20|Luckycoin|LKY|$ 11,293|$ 0.002846|3,968,285|Low Vol|-0.29 %|1.63 %|9.99 %|False|False
21|Franko|FRK|$ 4,266|$ 0.167050|25,535|Low Vol|-0.06 %|-0.91 %|23.18 %|False|False
22|Nibble|NBL|$ 3,236|$ 0.004313|750,311|Low Vol|-0.06 %|17.09 %|64.75 %|False|False
23|AmericanCoin|AMC|$ 2,466|$ 0.002335|1,055,776|Low Vol|-0.53 %|6.93 %|10.99 %|False|False
24|Junkcoin|JKC|$ 2,089|$ 0.000382|5,472,727|Low Vol|0.29 %|3.64 %|8.83 %|False|False
25|Elacoin|ELC|$ 1,867|$ 0.086218|21,652|Low Vol|-0.06 %|12.30 %|34.37 %|False|False
