#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$16,338,199,761|$1007.04|16,223,986|$630,454,937|0.30%|-7.83%|-14.61%|False|False
2|Ethereum|ETH|$3,513,230,597|$39.08|89,892,938|$300,609,340|1.26%|-8.73%|76.35%|False|False
3|Dash|DASH|$768,856,379|$107.18|7,173,279|$77,183,710|0.20%|7.82%|51.71%|False|False
4|Monero|XMR|$310,351,921|$21.95|14,139,344|$18,098,083|1.00%|4.58%|42.62%|False|False
5|Ripple|XRP|$250,035,339|$0.006697|37,338,114,912|$7,388,719|0.07%|7.94%|8.52%|True|False
6|Litecoin|LTC|$198,645,911|$3.95|50,250,303|$10,676,151|-0.16%|-3.13%|4.05%|False|False
7|Ethereum Classic|ETC|$158,217,459|$1.76|89,854,502|$8,915,953|0.33%|-2.88%|26.71%|False|False
8|NEM|XEM|$110,185,824|$0.012243|8,999,999,999|$942,966|0.49%|4.45%|21.48%|True|False
9|Augur|REP|$78,969,917|$7.18|11,000,000|$1,329,431|0.68%|-8.29%|17.21%|True|False
10|MaidSafeCoin|MAID|$71,691,756|$0.158416|452,552,412|$852,018|0.35%|-5.70%|-1.29%|True|False
11|Zcash|ZEC|$60,749,901|$67.82|895,704|$31,323,357|0.43%|38.06%|74.03%|False|False
12|Steem|STEEM|$49,692,294|$0.208103|238,786,731|$6,161,221|1.41%|-3.15%|183.75%|False|False
13|Tether|USDT|$44,952,938|$1.00|44,950,863|$51,968,760|0.00%|0.00%|0.00%|True|False
14|Factom|FCT|$30,284,036|$3.46|8,753,219|$2,246,364|0.43%|-5.68%|10.86%|True|False
15|DigixDAO|DGD|$27,564,635|$13.78|2,000,000|$130,360|0.42%|-7.75%|45.05%|True|False
16|Waves|WAVES|$26,780,933|$0.267809|100,000,000|$227,745|-0.25%|-2.85%|7.68%|True|False
17|Golem|GNT|$26,084,703|$0.031811|820,000,000|$938,084|0.90%|-17.80%|29.04%|True|False
18|Iconomi|ICN|$25,607,748|$0.294342|87,000,000|$265,909|0.15%|-0.67%|-16.15%|True|False
19|Decred|DCR|$24,604,383|$6.07|4,054,029|$1,221,253|0.21%|30.75%|74.98%|False|False
20|Dogecoin|DOGE|$24,051,421|$0.000221|108,591,893,293|$490,120|-0.06%|1.36%|3.55%|False|False
21|Melon|MLN|$18,473,984|$30.82|599,400|$602,849|0.98%|-9.70%|-4.53%|True|False
22|Lisk|LSK|$18,471,048|$0.176683|104,543,495|$576,126|0.37%|5.09%|58.09%|True|False
23|Ardor|ARDR|$15,753,765|$0.015770|998,999,495|$126,388|0.69%|-7.81%|-0.47%|True|False
24|GameCredits|GAME|$14,590,086|$0.237646|61,394,285|$292,767|0.02%|-2.64%|6.20%|False|False
25|Stellar Lumens|XLM|$13,620,663|$0.001949|6,987,295,521|$748,127|0.29%|-1.64%|6.93%|True|False
26|Peercoin|PPC|$12,868,544|$0.537148|23,957,184|$589,061|0.37%|-16.67%|35.22%|False|False
27|ShadowCash|SDC|$12,615,983|$1.90|6,641,077|$2,676,448|-0.45%|-19.94%|-6.27%|True|False
28|BitShares|BTS|$11,736,046|$0.004532|2,589,707,014|$633,578|0.09%|-7.88%|25.46%|True|False
29|Emercoin|EMC|$10,690,451|$0.269164|39,717,204|$130,129|0.26%|-8.23%|29.59%|False|False
