#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 3,468,521,806|$ 247.86|13,993,898|$ 16,007,181|-0.24 %|-1.33 %|-4.80 %|False|False
2|Ripple|XRP|$ 280,374,885|$ 0.008787|31,908,551,587|$ 186,420|-0.14 %|-0.53 %|-13.43 %|True|False
3|Litecoin|LTC|$ 63,186,459|$ 1.68|37,683,412|$ 891,723|-0.18 %|-1.28 %|-4.17 %|False|False
4|Dash|DASH|$ 25,375,582|$ 4.85|5,236,654|$ 219,472|-0.32 %|0.12 %|3.95 %|False|False
5|BitShares|BTS|$ 17,060,110|$ 0.006810|2,504,975,101|$ 66,314|-0.22 %|4.69 %|-9.55 %|True|False
6|Dogecoin|DOGE|$ 12,702,639|$ 0.000129|98,804,678,252|$ 50,607|-0.18 %|-1.76 %|-2.43 %|False|False
7|Stellar|STR|$ 12,453,877|$ 0.002900|4,293,716,832|$ 21,781|-0.35 %|-6.05 %|-0.27 %|True|False
8|Nxt|NXT|$ 10,561,144|$ 0.010561|999,997,096|$ 13,057|-0.34 %|-0.79 %|-13.12 %|True|False
9|MaidSafeCoin|MAID|$ 9,491,674|$ 0.020974|452,552,412|$ 5,897|0.25 %|-4.05 %|-11.13 %|True|False
10|PayCoin|XPY|$ 8,827,272|$ 0.591205|14,930,997|$ 52,698|-0.78 %|-0.91 %|-11.83 %|False|True
11|Peercoin|PPC|$ 7,382,184|$ 0.332731|22,186,620|$ 12,184|-0.32 %|-0.61 %|-6.07 %|False|False
12|Monero|XMR|$ 5,468,917|$ 0.788632|6,934,686|$ 55,451|-0.28 %|-2.58 %|4.73 %|False|False
13|BanxShares|BANX|$ 4,821,049|$ 1.34|3,600,882|$ 12,195|-0.24 %|-1.28 %|-4.77 %|True|False
14|Namecoin|NMC|$ 4,646,221|$ 0.414484|11,209,651|$ 3,165|-0.32 %|-2.21 %|-7.16 %|False|False
15|Rimbit|RBT|$ 4,207,916|$ 0.037512|112,175,443|$ 313|0.34 %|58.90 %|106.03 %|True|False
16|Counterparty|XCP|$ 3,016,735|$ 1.14|2,646,359|$ 755|-0.25 %|-4.71 %|-8.48 %|True|False
17|YbCoin|YBC|$ 2,844,314|$ 0.948105|3,000,000|$ 25,110|-0.24 %|1.47 %|5.04 %|True|False
