#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$25,764,555,031|$1579.18|16,315,180|$617,303,973|-0.03%|1.30%|19.82%|False|False
2|Ethereum|ETH|$8,794,353,554|$96.24|91,383,653|$138,302,702|-0.09%|2.13%|39.05%|False|False
3|Ripple|XRP|$4,127,097,878|$0.108735|37,955,579,225|$90,944,104|2.31%|9.29%|108.67%|True|False
4|Litecoin|LTC|$1,525,287,837|$29.92|50,983,883|$142,364,747|0.47%|13.51%|88.77%|False|False
5|Dash|DASH|$726,219,134|$99.74|7,281,119|$16,904,995|0.03%|0.50%|5.48%|False|False
6|NEM|XEM|$665,663,158|$0.073963|8,999,999,999|$6,163,148|0.51%|0.64%|51.06%|True|False
7|Ethereum Classic|ETC|$661,203,955|$7.24|91,383,593|$30,725,739|0.00%|-1.56%|30.69%|False|False
8|Monero|XMR|$423,240,289|$29.35|14,418,791|$14,118,589|0.14%|0.63%|23.65%|False|False
9|Golem|GNT|$206,829,437|$0.252231|820,000,000|$4,569,161|-0.08%|2.45%|42.05%|True|False
10|Stellar Lumens|XLM|$199,476,571|$0.021409|9,317,265,511|$116,575,833|1.62%|70.48%|316.67%|True|False
11|Augur|REP|$195,490,649|$17.77|11,000,000|$2,214,131|0.13%|3.24%|6.84%|True|False
12|MaidSafeCoin|MAID|$147,299,438|$0.325486|452,552,412|$4,755,603|1.92%|15.55%|22.09%|True|False
13|Dogecoin|DOGE|$138,926,212|$0.001271|109,269,142,397|$25,107,713|1.10%|48.62%|68.85%|False|False
14|Zcash|ZEC|$131,783,427|$105.67|1,247,071|$8,157,608|-0.40%|0.93%|10.36%|False|False
15|Gnosis|GNO|$124,390,410|$112.61|1,104,590|$6,834,926|-0.60%|18.72%|?|True|False
16|Stratis|STRAT|$117,834,535|$1.20|98,374,711|$1,760,617|0.12%|-1.04%|61.91%|True|False
17|Steem|STEEM|$110,719,647|$0.471122|235,012,724|$6,112,844|0.52%|45.98%|63.10%|False|False
18|Factom|FCT|$90,051,304|$10.29|8,753,219|$6,527,359|0.87%|16.93%|27.05%|True|False
