#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 5,737,913,252|$ 448.86|12,783,202|$ 2,658,028|-0.01 %|-0.07 %|-0.36 %|False|False
2|Litecoin|LTC|$ 295,534,726|$ 10.38|28,458,907|$ 758,043|0.01 %|-0.24 %|-2.44 %|False|False
3|Ripple|XRP|$ 50,017,530|$ 0.006398|7,817,889,792|$ 262,825|-0.21 %|-6.31 %|9.31 %|True|False
4|Peercoin|PPC|$ 44,862,487|$ 2.10|21,410,737|$ 60,916|0.01 %|-0.45 %|-1.80 %|False|False
5|Nxt|NXT|$ 40,594,943|$ 0.040595|999,997,120|$ 248,740|-0.45 %|8.67 %|30.66 %|True|False
6|Dogecoin|DOGE|$ 35,306,602|$ 0.000452|78,179,132,359|$ 269,513|-0.04 %|0.01 %|-4.08 %|False|False
7|Dash|DASH|$ 19,583,711|$ 4.56|4,297,488|$ 1,546,493|0.16 %|-19.00 %|72.46 %|False|False
8|Namecoin|NMC|$ 17,716,861|$ 2.02|8,789,482|$ 22,588|-0.03 %|-1.33 %|-3.32 %|False|False
9|Mastercoin (...|MSC|$ 15,527,329|$ 25.07|619,478|$ 6,198|0.10 %|-1.97 %|-16.85 %|True|False
10|MaidSafeCoin|MAID|$ 6,315,298|$ 0.013955|452,552,416|$ 12,321|-0.26 %|10.33 %|5.63 %|True|False
11|BitShares PTS|PTS|$ 5,777,559|$ 3.53|1,636,995|$ 10,725|-0.02 %|-1.30 %|-2.28 %|True|False
12|BlackCoin|BLK|$ 5,746,886|$ 0.077101|74,536,838|$ 226,753|1.48 %|-3.13 %|-37.69 %|True|False
13|Counterparty|XCP|$ 5,059,593|$ 1.91|2,649,276|$ 9,742|0.05 %|9.38 %|3.09 %|True|False
14|Vertcoin|VTC|$ 4,597,405|$ 1.04|4,434,498|$ 72,835|-0.15 %|-0.84 %|12.51 %|False|False
15|Quark|QRK|$ 4,176,255|$ 0.016850|247,853,183|$ 8,776|-0.02 %|-2.17 %|-5.57 %|False|False
16|Auroracoin|AUR|$ 3,963,012|$ 0.366364|10,817,132|$ 3,168|-0.30 %|0.18 %|-20.26 %|False|True
17|Primecoin|XPM|$ 3,493,136|$ 0.609602|5,730,194|$ 15,835|-0.03 %|-1.27 %|-12.60 %|False|False
18|Feathercoin|FTC|$ 3,361,472|$ 0.077568|43,335,921|$ 15,348|-0.12 %|-1.02 %|-0.65 %|False|False
19|Zetacoin|ZET|$ 2,289,429|$ 0.014269|160,448,878|$ 43,628|-0.19 %|-1.54 %|-28.79 %|False|False
20|Megacoin|MEC|$ 2,162,628|$ 0.092026|23,500,089|$ 8,660|-0.13 %|-1.81 %|3.10 %|False|False
21|Novacoin|NVC|$ 1,910,795|$ 2.39|799,718|$ 13,548|-0.14 %|-4.12 %|-11.37 %|False|False
22|Infinitecoin|IFC|$ 1,596,263|$ 0.000018|90,549,504,398|$ 4,382|-0.61 %|-0.29 %|-15.76 %|False|False
23|WorldCoin|WDC|$ 1,581,059|$ 0.028440|55,592,732|$ 6,067|-0.09 %|0.23 %|1.33 %|False|False
24|YbCoin|YBC|$ 1,566,367|$ 1.06|1,476,117|$ 5,247|-0.27 %|-1.59 %|-6.21 %|True|False
25|MaxCoin|MAX|$ 1,518,245|$ 0.074640|20,340,810|$ 111,428|-0.43 %|31.71 %|23.51 %|False|False
26|Billioncoin|BIL|$ 1,269,497|$ 0.000170|7,487,816,192|$ 187,901|-0.08 %|-4.13 %|6.64 %|False|False
27|Marinecoin|MTC|$ 1,234,492|$ 0.169800|7,270,272|$ 17|-1.90 %|-30.42 %|-47.02 %|False|True
28|Ixcoin|IXC|$ 1,174,180|$ 0.059911|19,598,655|$ 689|0.35 %|-1.48 %|1.50 %|True|False
29|Cinni|CINNI|$ 993,124|$ 0.066163|15,010,295|$ 608,102|-0.64 %|40.03 %|-36.28 %|True|False
