#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 3,967,699,974|$ 269.27|14,735,081|$ 35,379,995|-0.08 %|0.61 %|10.12 %|False|False
2|Ripple|XRP|$ 169,655,372|$ 0.005117|33,156,211,683|$ 383,928|-0.22 %|-4.88 %|1.49 %|True|False
3|Litecoin|LTC|$ 131,100,617|$ 3.07|42,769,214|$ 1,732,905|-0.08 %|-1.29 %|-1.51 %|False|False
4|Ethereum|ETH|$ 40,313,248|$ 0.544664|74,014,832|$ 261,992|-0.15 %|2.40 %|-13.32 %|False|False
5|Dash|DASH|$ 14,346,097|$ 2.43|5,902,635|$ 31,851|-0.16 %|1.30 %|1.95 %|False|False
6|Dogecoin|DOGE|$ 12,368,338|$ 0.000122|101,428,592,345|$ 62,183|0.07 %|0.18 %|2.80 %|False|False
7|BitShares|BTS|$ 10,350,944|$ 0.004121|2,511,953,117|$ 242,897|0.28 %|1.60 %|-28.67 %|True|False
8|Stellar|STR|$ 9,315,946|$ 0.001926|4,837,356,606|$ 4,603|-0.27 %|-1.16 %|-7.97 %|True|False
9|Peercoin|PPC|$ 8,546,236|$ 0.376465|22,701,247|$ 32,284|-0.09 %|0.45 %|-1.17 %|False|False
10|MaidSafeCoin|MAID|$ 7,949,991|$ 0.017567|452,552,412|$ 25,558|-0.00 %|-5.53 %|-12.00 %|True|False
11|Nxt|NXT|$ 7,321,436|$ 0.007321|999,997,096|$ 23,612|-0.21 %|-3.92 %|-7.98 %|True|False
12|Bytecoin|BCN|$ 5,444,289|$ 0.000031|176,861,079,020|$ 8,951|-0.16 %|4.29 %|14.92 %|False|False
13|TRMB|TRMB|$ 5,061,132|$ 0.157417|32,151,143|$ 27,629|0.00 %|-0.01 %|-0.11 %|True|False
14|Namecoin|NMC|$ 4,614,936|$ 0.363759|12,686,798|$ 43,069|-0.00 %|-3.47 %|-2.94 %|False|False
15|Monero|XMR|$ 4,093,917|$ 0.421416|9,714,666|$ 21,870|-0.14 %|-0.10 %|9.06 %|False|False
16|Counterparty|XCP|$ 2,503,714|$ 0.948998|2,638,272|$ 690|-0.38 %|11.25 %|10.72 %|True|False
17|DigiByte|DGB|$ 2,149,764|$ 0.000415|5,181,300,781|$ 63,085|0.18 %|-2.93 %|261.40 %|False|False
18|NuShares|NSR|$ 2,056,682|$ 0.002461|835,563,608|$ 770|-0.13 %|-0.40 %|13.53 %|True|False
19|BlackCoin|BLK|$ 1,942,467|$ 0.025888|75,032,935|$ 6,673|-0.27 %|-1.09 %|-3.37 %|True|False
20|GridCoin|GRC|$ 1,910,139|$ 0.005185|368,415,261|$ 14,761|-0.29 %|0.71 %|47.12 %|False|False
21|Mastercoin (...|MSC|$ 1,791,633|$ 3.27|548,276|$ 1,048|0.03 %|-7.22 %|34.74 %|True|False
22|Rubycoin|RBY|$ 1,729,013|$ 0.077521|22,303,805|$ 5,327|-0.71 %|-4.66 %|-6.67 %|True|False
23|YbCoin|YBC|$ 1,672,690|$ 0.557563|3,000,000|$ 23,301|-0.10 %|-0.75 %|0.40 %|True|False
24|MonaCoin|MONA|$ 1,599,459|$ 0.068186|23,457,351|$ 3,010|0.46 %|0.46 %|-0.79 %|False|False
25|Factom|FCT|$ 1,388,093|$ 0.158518|8,756,684|$ 21,411|-0.13 %|27.26 %|26.35 %|True|False
26|SuperNET|UNITY|$ 1,351,887|$ 1.66|816,061|$ 1,867|-0.06 %|-3.48 %|-10.09 %|True|False
27|BitcoinDark|BTCD|$ 1,341,098|$ 1.08|1,237,493|$ 6,092|-0.36 %|-13.39 %|-12.34 %|False|False
28|Bitcrystals|BCY|$ 1,272,004|$ 0.028627|44,433,901|$ 1,329|-0.73 %|4.42 %|63.24 %|True|False
29|GetGems|GEMZ|$ 1,198,468|$ 0.013598|88,135,217|$ 948|-0.63 %|-10.60 %|-1.98 %|True|False
30|NEM|XEM|$ 1,132,436|$ 0.000126|8,999,999,999|$ 2,425|0.28 %|11.80 %|10.33 %|True|False
31|Novacoin|NVC|$ 1,129,393|$ 0.948870|1,190,250|$ 11,893|-0.04 %|-1.97 %|-4.01 %|False|False
32|BlockShares|BKS|$ 1,099,675|$ 5.93|185,425|$ 89|-0.08 %|?|?|True|False
33|DNotes|NOTE|$ 1,091,067|$ 0.010423|104,680,342|$ 1,413|0.45 %|2.17 %|6.83 %|False|False
34|Startcoin|START|$ 999,276|$ 0.029918|33,401,010|$ 6,292|-0.21 %|-5.34 %|-9.47 %|False|True
