#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$76,620,461,968|$4632.25|16,540,648|$2,378,847,504|0.08%|-3.08%|6.27%|False|False
2|Ethereum|ETH|$33,306,590,330|$352.83|94,399,345|$1,377,186,191|0.01%|-4.83%|4.90%|False|False
3|Bitcoin Cash|BCH|$9,689,220,122|$585.18|16,557,771|$273,617,132|0.04%|-3.54%|-4.36%|False|False
4|Ripple|XRP|$8,777,439,026|$0.228914|38,343,841,883|$280,082,124|0.00%|-3.91%|11.21%|True|False
5|Litecoin|LTC|$4,202,999,713|$79.66|52,758,687|$1,091,254,796|-0.07%|-4.77%|46.32%|False|False
6|NEM|XEM|$2,801,814,736|$0.311313|8,999,999,999|$8,971,029|0.33%|-0.28%|15.05%|True|False
7|Dash|DASH|$2,717,136,912|$360.83|7,530,222|$50,821,086|0.12%|-4.39%|-5.81%|False|False
8|IOTA|MIOTA|$2,068,052,794|$0.744030|2,779,530,283|$40,215,348|0.41%|0.41%|-19.63%|True|False
9|Monero|XMR|$1,897,200,191|$126.24|15,028,196|$101,935,726|-0.01%|-5.55%|-5.67%|False|False
10|Ethereum Classic|ETC|$1,870,944,022|$19.66|95,147,730|$442,201,203|-0.31%|-7.41%|27.12%|False|False
11|NEO|NEO|$1,576,931,862|$31.54|50,000,000|$77,777,944|-0.15%|1.03%|-17.22%|True|False
12|OmiseGO|OMG|$1,063,880,308|$10.82|98,312,024|$74,285,835|-0.18%|-2.22%|32.60%|True|False
13|Qtum|QTUM|$946,519,920|$16.04|59,000,000|$101,226,914|-0.37%|-8.63%|6.13%|True|False
14|Hshare|HSR|$924,225,414|$27.51|33,600,000|$53,870,224|-1.12%|-10.33%|-32.38%|True|False
15|BitConnect|BCC|$871,171,445|$132.33|6,583,335|$5,212,933|0.08%|-3.41%|16.80%|False|False
16|Lisk|LSK|$761,390,906|$6.81|111,747,052|$23,069,387|-0.03%|-3.15%|-0.48%|True|False
17|Stratis|STRAT|$632,376,174|$6.42|98,528,140|$10,217,039|0.13%|-6.83%|0.16%|True|False
18|Zcash|ZEC|$547,199,808|$260.53|2,100,309|$50,786,925|0.07%|-9.51%|-6.81%|False|False
19|Waves|WAVES|$536,758,615|$5.37|100,000,000|$6,398,754|0.05%|-4.31%|0.04%|True|False
20|EOS|EOS|$403,383,653|$1.25|323,201,851|$27,829,415|0.11%|-6.04%|-7.71%|True|False
21|BitShares|BTS|$381,969,869|$0.146980|2,598,782,083|$36,320,460|-0.28%|-10.59%|7.63%|True|False
22|Bytecoin|BCN|$375,718,936|$0.002050|183,253,534,612|$4,481,000|0.03%|-11.01%|38.01%|False|False
23|TenX|PAY|$369,744,430|$3.53|104,661,310|$14,615,572|-0.37%|-7.03%|-2.28%|True|False
24|Stellar Lumens|XLM|$355,322,203|$0.021422|16,586,874,013|$4,974,652|0.17%|-6.42%|2.64%|True|False
25|Tether|USDT|$347,465,961|$1.01|343,998,283|$307,761,494|-0.02%|0.05%|0.90%|True|False
26|Steem|STEEM|$336,693,364|$1.40|240,112,724|$1,609,271|0.11%|-5.91%|-6.67%|False|False
27|MaidSafeCoin|MAID|$313,563,473|$0.692878|452,552,412|$3,506,419|0.54%|-3.27%|13.15%|True|False
28|MCAP|MCAP|$290,196,200|$3.18|91,246,083|$3,211,629|-0.67%|63.99%|102.26%|True|False
29|Golem|GNT|$281,500,719|$0.337923|833,032,000|$4,652,948|0.03%|-6.60%|12.79%|True|False
30|Augur|REP|$279,865,443|$25.44|11,000,000|$2,912,210|0.25%|-5.02%|-15.04%|True|False
31|Iconomi|ICN|$253,367,056|$2.54|99,900,350|$912,472|-0.03%|-5.22%|-7.99%|True|False
32|Factom|FCT|$251,900,046|$28.80|8,745,102|$4,300,392|0.33%|-4.70%|-6.23%|True|False
33|Basic Attenti...|BAT|$251,840,616|$0.251841|1,000,000,000|$4,018,711|0.06%|-4.72%|22.53%|True|False
34|Dogecoin|DOGE|$249,858,858|$0.002253|110,914,421,045|$15,177,596|0.05%|-8.18%|27.84%|False|False
35|Siacoin|SC|$246,237,307|$0.008466|29,085,119,198|$15,429,155|0.05%|-3.80%|17.79%|False|False
36|Ark|ARK|$241,096,987|$2.48|97,310,110|$2,214,017|0.28%|-0.36%|40.69%|True|False
37|Komodo|KMD|$232,583,056|$2.30|100,945,510|$12,295,847|0.85%|61.66%|62.79%|False|False
38|Veritaseum|VERI|$222,614,299|$110.69|2,011,134|$699,011|1.13%|22.83%|3.70%|True|False
39|Metal|MTL|$217,451,982|$11.27|19,300,994|$6,152,539|0.37%|-6.99%|10.53%|True|False
40|Decred|DCR|$210,888,855|$37.17|5,673,213|$940,101|0.18%|-5.87%|0.51%|False|False
41|DigiByte|DGB|$201,527,293|$0.023052|8,742,253,657|$34,169,559|0.53%|-13.11%|78.15%|False|False
42|Byteball|GBYTE|$197,550,508|$375.34|526,327|$899,052|0.13%|-3.37%|-2.18%|True|False
43|PIVX|PIVX|$191,667,279|$3.54|54,194,898|$1,625,275|0.05%|-2.16%|13.92%|True|False
44|Gnosis|GNO|$188,699,252|$170.83|1,104,590|$809,085|0.02%|-6.11%|-12.05%|True|False
45|Binance Coin|BNB|$182,782,173|$1.83|100,000,000|$15,014,084|-0.58%|-23.66%|-9.24%|True|False
46|DigixDAO|DGD|$173,781,921|$86.89|2,000,000|$707,188|-0.02%|-7.26%|-10.13%|True|False
