#|Name|Symbol|Market Cap|Price|Available Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
1|Bitcoin|BTC|$ 3,430,693,283|$ 234.04|14,658,347|$ 13,082,768|-0.04 %|-0.18 %|1.09 %|False|False
2|Ripple|XRP|$ 210,493,602|$ 0.006479|32,488,247,336|$ 297,922|-0.09 %|-1.84 %|-13.49 %|True|False
3|Litecoin|LTC|$ 122,647,287|$ 2.89|42,465,709|$ 532,269|-0.02 %|0.12 %|1.33 %|False|False
4|Ethereum|ETH|$ 55,863,358|$ 0.760106|73,494,171|$ 350,789|-0.35 %|4.52 %|-13.82 %|False|False
5|BitShares|BTS|$ 15,843,275|$ 0.006307|2,511,953,117|$ 175,852|0.12 %|1.53 %|5.38 %|True|False
6|Dash|DASH|$ 13,717,948|$ 2.36|5,823,937|$ 48,981|0.03 %|-2.45 %|-3.47 %|False|False
7|BanxShares|BANX|$ 12,704,809|$ 1.78|7,142,388|$ 8,824|-0.04 %|-0.16 %|1.10 %|True|False
8|Dogecoin|DOGE|$ 12,374,842|$ 0.000122|101,145,726,969|$ 22,356|-0.02 %|-0.15 %|-3.60 %|False|False
9|Stellar|STR|$ 10,024,856|$ 0.002072|4,837,356,606|$ 6,846|-0.02 %|0.02 %|-6.84 %|True|False
10|MaidSafeCoin|MAID|$ 8,984,815|$ 0.019854|452,552,412|$ 9,683|-0.15 %|-1.71 %|-5.50 %|True|False
11|Nxt|NXT|$ 8,943,854|$ 0.008944|999,997,096|$ 10,308|-0.12 %|-2.28 %|5.42 %|True|False
12|Peercoin|PPC|$ 8,540,522|$ 0.376977|22,655,264|$ 14,724|-0.18 %|-2.85 %|-2.36 %|False|False
13|Bytecoin|BCN|$ 5,106,385|$ 0.000029|176,414,406,039|$ 17,275|0.23 %|-0.58 %|-21.89 %|False|False
14|Namecoin|NMC|$ 4,737,053|$ 0.378014|12,531,439|$ 6,161|-0.11 %|-0.68 %|-2.14 %|False|False
15|Monero|XMR|$ 4,185,317|$ 0.442308|9,462,443|$ 29,928|-0.19 %|-2.32 %|-10.43 %|False|False
16|TRMB|TRMB|$ 3,679,045|$ 0.156871|23,452,704|$ 42,021|0.00 %|0.02 %|-0.16 %|True|False
17|MonaCoin|MONA|$ 2,163,858|$ 0.096182|22,497,456|$ 2,010|-0.34 %|0.05 %|0.97 %|False|False
18|Counterparty|XCP|$ 2,146,828|$ 0.813453|2,639,155|$ 1,188|-0.04 %|-2.80 %|-8.91 %|True|False
19|BlackCoin|BLK|$ 2,106,798|$ 0.028090|75,000,601|$ 10,087|0.14 %|2.71 %|12.52 %|True|False
20|YbCoin|YBC|$ 1,733,623|$ 0.577874|3,000,000|$ 21,800|-0.03 %|-0.36 %|-2.93 %|True|False
21|BitcoinDark|BTCD|$ 1,698,893|$ 1.38|1,234,737|$ 1,189|-0.06 %|0.36 %|13.91 %|False|False
22|SuperNET|UNITY|$ 1,605,725|$ 1.97|816,061|$ 12|-0.12 %|1.08 %|9.92 %|True|False
23|NuShares|NSR|$ 1,511,352|$ 0.001804|837,564,893|$ 790|0.14 %|-4.87 %|-1.93 %|True|False
24|GetGems|GEMZ|$ 1,314,486|$ 0.014914|88,135,217|$ 496|-0.02 %|-0.32 %|-2.83 %|True|False
25|Clams|CLAM|$ 1,261,266|$ 1.27|994,818|$ 6,640|0.01 %|-2.95 %|-10.86 %|True|False
26|DNotes|NOTE|$ 1,245,950|$ 0.011986|103,949,732|$ 2,225|-0.47 %|-0.24 %|-5.51 %|False|False
27|NEM|XEM|$ 1,196,312|$ 0.000133|8,999,999,999|$ 2,076|0.22 %|3.10 %|34.88 %|True|False
28|Mastercoin (...|MSC|$ 1,170,235|$ 2.14|547,752|$ 861|-2.79 %|27.74 %|15.03 %|True|False
29|Novacoin|NVC|$ 1,161,936|$ 0.991096|1,172,375|$ 3,811|-0.06 %|-0.22 %|-0.32 %|False|False
30|Rubycoin|RBY|$ 1,154,109|$ 0.051823|22,270,219|$ 5,122|-0.25 %|-1.48 %|5.10 %|True|False
31|DigitalNote|XDN|$ 1,134,425|$ 0.000166|6,847,102,658|$ 4,521|0.00 %|3.37 %|18.19 %|False|False
32|NeuCoin|NEU|$ 1,121,190|$ 0.011212|100,000,000|$ 22,428|-0.67 %|-24.72 %|?|True|False
33|Startcoin|START|$ 1,118,543|$ 0.034789|32,151,858|$ 7,258|-0.12 %|0.43 %|-8.02 %|False|True
34|EmerCoin|EMC|$ 1,117,092|$ 0.030894|36,159,223|$ 1,383|-0.27 %|-16.09 %|13.70 %|False|False
35|Rimbit|RBT|$ 999,395|$ 0.008820|113,310,103|$ 26|-0.17 %|-7.91 %|-19.83 %|True|False
36|InstantDEX|DEX|$ 894,388|$ 0.894388|1,000,000|$ 195|-0.12 %|-1.37 %|-14.49 %|True|False
37|FuelCoin|FC2|$ 890,008|$ 0.008882|100,206,032|$ 2,420|-0.11 %|-6.35 %|5.49 %|False|True
38|BlockShares|BKS|$ 868,647|$ 4.69|185,126|$ 1,924|-0.02 %|-20.18 %|-5.61 %|True|False
39|Vertcoin|VTC|$ 849,367|$ 0.045319|18,742,148|$ 2,713|-0.46 %|0.67 %|-11.10 %|False|False
40|Mintcoin|MINT|$ 813,847|$ 0.000037|22,069,734,516|$ 163|-0.21 %|-3.53 %|-6.64 %|True|False
41|Storjcoin X|SJCX|$ 784,603|$ 0.017602|44,575,870|$ 612|0.00 %|-0.38 %|9.09 %|True|False
42|Primecoin|XPM|$ 762,165|$ 0.065354|11,662,052|$ 12,148|-0.49 %|3.46 %|0.78 %|False|False
43|GridCoin|GRC|$ 650,935|$ 0.001774|366,973,280|$ 672|-1.17 %|-14.74 %|-19.78 %|False|False
44|NautilusCoin|NAUT|$ 635,487|$ 0.109151|5,822,099|$ 4,075|-1.80 %|13.90 %|70.22 %|True|False
45|GameCredits|GMC|$ 573,482|$ 0.011248|50,984,826|$ 1,400|0.18 %|-2.84 %|-39.18 %|False|False
46|NuBits|NBT|$ 567,037|$ 0.998339|567,981|$ 10,404|-0.02 %|0.31 %|0.35 %|True|False
47|ShadowCash|SDC|$ 541,628|$ 0.083404|6,494,032|$ 1,039|-0.01 %|4.14 %|-13.00 %|True|False
48|WorldCoin|WDC|$ 528,550|$ 0.005922|89,256,616|$ 2,636|0.01 %|-4.12 %|-0.71 %|False|False
49|Megacoin|MEC|$ 521,127|$ 0.017043|30,578,052|$ 5,265|0.03 %|0.01 %|6.68 %|False|False
50|MMNXT|MMNXT|$ 512,805|$ 0.010256|50,000,000|$ 102|0.55 %|-0.14 %|6.48 %|True|False
51|Infinitecoin|IFC|$ 494,107|$ 0.000005|90,596,274,910|$ 15,195|-0.51 %|-17.21 %|-22.86 %|False|False
52|Vanillacoin|VNL|$ 459,830|$ 0.043024|10,687,768|$ 1,853|-0.46 %|0.40 %|-15.67 %|False|False
53|Crypti|XCR|$ 459,315|$ 0.004593|100,000,000|$ 3,030|0.27 %|-1.06 %|10.68 %|True|False
54|Quark|QRK|$ 458,377|$ 0.001838|249,344,341|$ 733|0.01 %|-0.42 %|-3.07 %|False|False
55|VeriCoin|VRC|$ 455,725|$ 0.016710|27,271,774|$ 1,202|-0.71 %|-3.31 %|-12.00 %|False|False
56|Tether|USDT|$ 451,600|$ 1.00|451,600|$ 502|0.00 %|0.00 %|0.00 %|True|False
57|CloakCoin|CLOAK|$ 428,085|$ 0.093041|4,601,060|$ 769|0.00 %|1.11 %|-1.69 %|True|False
58|Gulden|NLG|$ 417,537|$ 0.001512|276,199,247|$ 485|0.29 %|-3.16 %|46.19 %|False|True
59|Feathercoin|FTC|$ 399,203|$ 0.004152|96,155,172|$ 517|0.14 %|1.41 %|-1.50 %|False|False
60|DigiByte|DGB|$ 392,333|$ 0.000078|5,048,806,018|$ 4,088|-0.19 %|-10.25 %|32.06 %|False|False
61|VPNCoin|VPN|$ 358,966|$ 0.000897|400,256,950|$ 2,012|-0.09 %|-0.72 %|-7.17 %|True|False
62|Jinn|JINN|$ 335,378|$ 3.35|100,000|$ 402|-0.12 %|14.51 %|71.58 %|True|False
63|Hyper|HYPER|$ 330,590|$ 0.067898|4,868,902|$ 58|-0.04 %|-0.88 %|-2.36 %|False|False
64|Applecoin|APC|$ 326,301|$ 0.014641|22,286,048|$ 504|0.09 %|0.57 %|3.81 %|True|False
65|ReddCoin|RDD|$ 316,648|$ 0.000011|27,787,152,782|$ 1,060|-0.47 %|6.70 %|13.20 %|True|False
66|SkyNET|SKYNET|$ 307,748|$ 0.344152|894,223|$ 41|-0.12 %|17.14 %|12.40 %|True|False
67|Ixcoin|IXC|$ 295,047|$ 0.014050|20,999,906|$ 23|0.02 %|-0.36 %|4.69 %|True|False
68|Zetacoin|ZET|$ 294,201|$ 0.001805|162,974,573|$ 180|0.41 %|-0.63 %|7.98 %|False|False
69|Unobtanium|UNO|$ 287,983|$ 1.47|195,937|$ 198|-0.53 %|-2.76 %|-1.91 %|False|False
70|Diamond|DMD|$ 285,319|$ 0.221290|1,289,349|$ 229|0.44 %|7.34 %|13.09 %|False|False
71|CureCoin|CURE|$ 284,592|$ 0.011317|25,146,767|$ 63|0.15 %|-8.77 %|32.28 %|False|True
72|BilShares|BILS|$ 273,766|$ 0.000274|1,000,000,000|$ 311|0.48 %|-0.15 %|-2.72 %|True|False
73|TEKcoin|TEK|$ 267,734|$ 0.006811|39,309,684|$ 614|0.08 %|-0.33 %|16.32 %|False|False
74|AmberCoin|AMBER|$ 267,724|$ 0.029342|9,124,227|$ 936|-1.04 %|3.62 %|-6.24 %|False|True
75|Pangea Poker|PANGEA|$ 259,294|$ 0.259462|999,352|$ 56|-0.12 %|-4.89 %|4.25 %|True|False
76|FedoraCoin|TIPS|$ 257,424|$ 9.2e-07|280,846,322,360|$ 1,251|0.04 %|-0.26 %|4.17 %|False|False
77|UnionCoin|UNC|$ 257,378|$ 0.030682|8,388,608|$ 545|0.64 %|1.13 %|16.76 %|False|False
78|ARCHcoin|ARCH|$ 256,269|$ 0.015601|16,426,787|$ 3,790|-0.14 %|-11.08 %|-14.46 %|True|False
79|SolarCoin|SLR|$ 254,027|$ 0.007439|34,148,012|$ 81|-0.04 %|-3.78 %|-7.72 %|True|False
80|Zeitcoin|ZEIT|$ 246,086|$ 0.000008|32,486,897,307|$ 68|4.18 %|41.28 %|46.42 %|False|False
